"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","is.lhn","connectivity.type","layer","ct.layer","User"
792326206,"AVLP045a","ADL26","ADL26c","ADL26i_pct","FALSE","LHN","LHAD1g1","primary","primary","none","none","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1g1",5.22094240837696,5,""
697476780,"LH007a","ADL02","ADL02n","ADL02n_pct","FALSE","LHN","LHAD1h1","primary","primary","11521511","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1h1",2.76655808903366,2,""
5813055865,"LH008a","ADL02","ADL02o","ADL02oo_pct","FALSE","LHN","LHAD1a6","SLPal1","DPLal1","14566263","good","Cha-F-100223","good",FALSE,FALSE,"LHAD1",TRUE,"LHAD1a6",2.77551020408163,2,"AJ"
485745927,"LH008b","ADL02","ADL02o","ADL02op_pct","FALSE","LHN","LHAD1a9","SLPal1","DPLal1","5675915","good","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1a9",2.96689497716895,2,""
392307898,"LH008c","ADL02","ADL02o","ADL02p_pct","FALSE","LHN","LHAD1a3","SLPal1","DPLal1","3324315","poor","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a3",3.22183908045977,3,""
420956213,"LH008c","ADL02","ADL02o","ADL02p_pct","FALSE","LHN","LHAD1a3","SLPal1","DPLal1","5675915","medium","VGlut-F-600424","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a3",3.2271186440678,3,""
453350926,"LH008c","ADL02","ADL02o","ADL02p_pct","FALSE","LHN","LHAD1a3","SLPal1","DPLal1","2115466","good","VGlut-F-700522","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a3",2.98233995584989,3,""
705139000,"LH009a","ADL03","ADL03p","ADL03r_pct","ADL15","LHN","LHAD1c1","LHl2_medial","DPLal2_medial","3080183","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1c1a",2.86221743810549,2,""
454706490,"LH010a","ADL03","ADL03l","ADL03oc_pct","FALSE","LHN","LHAD1a4","SLPal2_ventral","DPLal3_ventral","14843508","medium","120925c1","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a4",2.83747178329571,2,""
697132415,"LH010a","ADL03","ADL03l","ADL03oc_pct","FALSE","LHN","LHAD1a4","SLPal2_ventral","DPLal3_ventral","5675915","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a4",2.73856975381008,2,""
485430376,"LH011a","ADL03","ADL03k","ADL03k_a_pct","FALSE","LHN","LHAD1a2","SLPal2_ventral","DPLal3_ventral","1290929","medium","121206c0","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a2a",2.94672586015538,3,""
667132722,"LH011a","ADL03","ADL03k","ADL03k_a_pct","FALSE","LHN","LHAD1a2","SLPal2_ventral","DPLal3_ventral","11519370","good","L1812#2","medium",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a2a",2.94163860830527,3,""
514073078,"LH011b","ADL03","ADL03k","ADL03k_b_pct","FALSE","LHN","LHAD1a2","SLPal2_ventral","DPLal3_ventral","1290843","medium","Gad1-F-400257","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a2b",2.75108695652174,3,""
760604568,"LH011b","ADL03","ADL03k","ADL03k_b_pct","FALSE","LHN","LHAD1a2","SLPal2_ventral","DPLal3_ventral","2141315","good","L1812#1","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a2b",2.97014925373134,3,""
454045389,"LH011c","ADL03","ADL03k","ADL03k_c_pct","FALSE","LHN","LHAD1a1","SLPal2_ventral","DPLal3_ventral","11519370","good","L1740#8","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a1",3.70215175537939,3,""
483716037,"LH011c","ADL03","ADL03k","ADL03k_c_pct","FALSE","LHN","LHAD1a1","SLPal2_ventral","DPLal3_ventral","11519370","good","Cha-F-000258","medium",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a1",3.09143518518519,3,""
575806223,"LH011c","ADL03","ADL03k","ADL03k_c_pct","FALSE","LHN","LHAD1a1","SLPal2_ventral","DPLal3_ventral","11547595","medium","L1740#8","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a1",2.89965792474344,3,""
