"","cell","cluster","match","JJtype","anatomy.group","cell.type","type"
"JJ100","JJ100",1,"Gad1-F-200232","L15","PV5c","PV5c1","ON"
"JJ102","JJ102",2,"Cha-F-600207","Local1","PV4a","PV4a11","LN"
"JJ107","JJ107",3,"Cha-F-200185","L13","AV6a","AV6a1","ON"
"JJ108","JJ108",3,"Cha-F-200185","L13","AV6a","AV6a1","ON"
"JJ11","JJ11",4,"Cha-F-800096","ML8","PD2b","PD2b1","ON"
"JJ110","JJ110",3,"Cha-F-200185","L13","AV6a","AV6a1","ON"
"JJ111","JJ111",3,"Cha-F-200185","L13","AV6a","AV6a1","ON"
"JJ112","JJ112",3,"Cha-F-200185","L13","AV6a","AV6a1","ON"
"JJ113","JJ113",5,"Cha-F-000258","L1","AD1a","AD1a1","ON"
"JJ114","JJ114",5,"Cha-F-000258","L1","AD1a","AD1a1","ON"
"JJ115","JJ115",3,"Cha-F-20018","L13",NA,NA,NA
"JJ117","JJ117",6,"121217c0","L8","PV5c","PV5c3","ON"
"JJ119","JJ119",7,"UNKNOWN","L4",NA,NA,NA
"JJ120","JJ120",8,"Gad1-F-000096","L6","AV2a","AV2a3","ON"
"JJ121","JJ121",9,"Gad1-F-800082","L11","AV6a","AV6a2","ON"
"JJ123","JJ123",10,"fru-F-400486","Local7","AV4c","AV4c1","ON"
"JJ124","JJ124",2,"Cha-F-000524","Local1","AV4a","AV4a2","LN"
"JJ125","JJ125",11,"VGlut-F-300393","Local5","PV4a","PV4a12","LN"
"JJ126","JJ126",12,"120816c1","ML1","AD1b","AD1b1","ON"
"JJ127","JJ127",13,"130612c0","ML6","PD2a","PD2a2","ON"
"JJ128","JJ128",2,"Cha-F-000524","Local1","AV4a","AV4a2","LN"
"JJ129","JJ129",14,"Gad1-F-400233","ML4","AD1c","AD1c1","ON"
"JJ13","JJ13",15,"Gad1-F-500129","ML11","PD2a","PD2a3","ON"
"JJ130","JJ130",12,"Gad1-F-200039","ML3","AD1b","AD1b2","ON"
"JJ131","JJ131",7,"UNKNOWN","L4",NA,NA,NA
"JJ132","JJ132",13,"121129c0","ML7","AD1c","AD1c1","ON"
"JJ133","JJ133",12,"Gad1-F-200039","ML3","AD1b","AD1b2","ON"
"JJ134","JJ134",6,"121217c0","L8","PV5c","PV5c3","ON"
"JJ135","JJ135",16,"Gad1-F-600106","L9","AV6e","AV6e1","ON"
"JJ136","JJ136",12,"Gad1-F-900037","ML3","AD1b","AD1b2","ON"
"JJ137","JJ137",1,"Gad1-F-200232","L15","PV5c","PV5c1","ON"
"JJ138","JJ138",17,"Gad1-F-800107","CML2","AV6d","AV6d1","ON"
"JJ139","JJ139",11,"VGlut-F-300393","Local3","PV4a","PV4a12","LN"
"JJ14","JJ14",4,"5HT1A-F-300019?","ML8",NA,NA,NA
"JJ140","JJ140",8,"Gad1-F-000096","L6","AV2a","AV2a3","ON"
"JJ141","JJ141",10,"Gad1-F-500140","L3","AV6e","AV6e1","ON"
"JJ142","JJ142",11,"UNKNOWN","Local2",NA,NA,NA
"JJ15","JJ15",18,"Gad1-F-200387","V3","AV1a","AV1a1","ON"
"JJ16","JJ16",18,"Gad1-F-200387","V3","AV1a","AV1a1","ON"
"JJ17","JJ17",18,"Gad1-F-200387","V3","AV1a","AV1a1","ON"
"JJ20","JJ20",13,"121129c0","ML7","AD1c","AD1c1","ON"
"JJ22","JJ22",18,"Gad1-F-200387","V3","AV1a","AV1a1","ON"
"JJ25","JJ25",14,"Gad1-F-400233","ML4","AD1c","AD1c1","ON"
"JJ26","JJ26",10,"Gad1-F-900037","ML3","AD1b","AD1b2","ON"
"JJ27","JJ27",19,"120830c2","ML5","AD1c","AD1c1","ON"
"JJ30","JJ30",17,"Gad1-F-800107","CML2","AV6d","AV6d1","ON"
"JJ31","JJ31",14,"Gad1-F-400233","ML4","AD1c","AD1c1","ON"
"JJ32","JJ32",20,"Gad1-F-000249","ML10","AD1d","AD1c3","ON"
"JJ33","JJ33",14,"Gad1-F-400233","ML4","AD1c","AD1c1","ON"
"JJ37","JJ37",12,"130726c1","ML2","AD1b","AD1b1","ON"
"JJ40","JJ40",21,"fru-F-400486","Local7","AV4c","AV4c1","ON"
"JJ41","JJ41",15,"UNKNOWN","MLV1",NA,NA,NA
"JJ42","JJ42",16,"Cha-F-300272","L9","AD1a","AD1a5","ON"
"JJ43","JJ43",9,"Gad1-F-500363","L12","AV6a","AV6a2","ON"
"JJ44","JJ44",9,"Gad1-F-800082","L11","AV6a","AV6a2","ON"
"JJ46","JJ46",22,"VGlut-F-200319","L7","AD1a","AD1a3","ON"
"JJ47","JJ47",7,"UNKNOWN","UNKNOWN",NA,NA,NA
"JJ48","JJ48",17,"Gad1-F-800107","CML2","AV6d","AV6d1","ON"
"JJ50","JJ50",22,"VGlut-F-200319","L7","AD1a","AD1a3","ON"
"JJ53","JJ53",17,"Gad1-F-800107","CML2","AV6d","AV6d1","ON"
"JJ55","JJ55",17,"Gad1-F-400255","CML1","AV6d","AV6d1","ON"
"JJ56","JJ56",3,"Cha-F-200185","L13","AV6a","AV6a1","ON"
"JJ57","JJ57",3,"Cha-F-200185","L13","AV6a","AV6a1","ON"
"JJ58","JJ58",9,"Gad1-F-500363","L12","AV6a","AV6a2","ON"
"JJ60","JJ60",17,"Gad1-F-800107","CML2","AV6d","AV6d1","ON"
"JJ63","JJ63",5,"Cha-F-000258","L1","AD1a","AD1a1","ON"
"JJ64","JJ64",23,"Cha-F-400165","Local6","PD3a","PD3a1","LN"
"JJ66","JJ66",11,"VGlut-F-300393","Local5","PV4a","PV4a12","LN"
"JJ67","JJ67",5,"Cha-F-000258","L1","AD1a","AD1a1","ON"
"JJ72","JJ72",21,"Gad1-F-400436","Local7","AV4a","AV4a5","LN"
"JJ73","JJ73",21,"fru-F-400486","Local7","AV4c","AV4c1","ON"
"JJ76","JJ76",21,"Gad1-F-400436","Local7","AV4a","AV4a5","LN"
"JJ78","JJ78",23,"Cha-F-400165","Local6","PD3a","PD3a1","LN"
"JJ79","JJ79",24,"Gad1-F-600005","V2","AV2b","AV2b2","ON"
"JJ8","JJ8",25,"5HT1A-F-300019","ML9","PD2a","PD2a1","ON"
"JJ81","JJ81",1,"Cha-F-100141","L14","PV5c","PV5c2","ON"
"JJ82","JJ82",10,"Gad1-F-500140","L3","AV6e","AV6e1","ON"
"JJ83","JJ83",8,"Gad1-F-000096","L6","AV2a","AV2a3","ON"
"JJ84","JJ84",12,"Gad1-F-200039","ML3","AD1b","AD1b2","ON"
"JJ85","JJ85",17,"Gad1-F-800107","CML2","AV6d","AV6d1","ON"
"JJ86","JJ86",16,"Gad1-F-600106","L9","AV6e","AV6e1","ON"
"JJ87","JJ87",18,"Gad1-F-200387","V3","AV1a","AV1a1","ON"
"JJ88","JJ88",4,"Cha-F-800096","ML8","PD2b","PD2b1","ON"
"JJ90","JJ90",25,"5HT1A-F-300019","ML9","PD2a","PD2a1","ON"
"JJ92","JJ92",11,"fru-F-600131","Local4","AV4a","AV4a6","LN"
"JJ94","JJ94",26,"Cha-F-100420","V1","notLHproper","notLHproper","notLH"
"JJ95","JJ95",27,"Gad1-F-200137","LV1","AV4a","AV4a11","LN"
"JJ98","JJ98",1,"Gad1-F-200232","L15","PV5c","PV5c1","ON"
"JJ99","JJ99",1,"Cha-F-100141","L14","PV5c","PV5c2","ON"
