,'D','DA1','DA2','DA3','DA4l','DC1','DC2','DC3','DL1','DL3','DL4','DL5','DM1','DM2','DM3','DM4','DM5','DM6','DP1m','VA1d','VA1v','VA2','VA3','VA4','VA5','VA6','VA7l','VA7m','VC1','VC2','VL1','VL2a','VL2p','VM1','VM2','VM3','VM4','VM7d','VM7v'
'JJ128',10.3199179,0,0,0,0,0,4.536492933,0,0,0,0,7.02396799,1.294254832,0.953383937,1.450560384,1.47781957,1.28431625,0,0,2.110736926,4.788587939,2.128842364,5.299292629,3.483507167,2.716199768,3.990490874,3.986517353,0,7.775788484,5.592895677,0,3.963468106,1.539974846,4.941976302,0,2.479964235,0,1.583690193,2.435548486
'JJ124',10.61254708,0,0,0,0,0,10.37914052,0,0,0,0,0,0,0,0,0,1.700296325,0,0,4.097456911,8.426267944,0,3.333715876,0,0,0,0,0,0,0,0,0,0,3.946883347,0,0,0,0,0
'JJ102',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ142',0,0,0,0,0,0,0,0,0,0,0,2.63889532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ93',0,0,0,0,0,0,0,0,0,0,0,2.827262354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.995932229,3.133197171,0,0,0,0,0,0
'JJ139',0,0,4.617427032,0,0,3.890814737,7.210473322,0,3.837838177,1.560677899,0,3.678135737,4.097278901,5.228595591,3.382292716,0,3.087059851,4.90899748,2.922744608,0,0,0,0,0,0,4.778936868,2.986391589,0,4.137160542,3.382369447,0,0,0,0,0,0,0,4.469474542,0
'JJ92',9.173842148,0,0,0,3.34259693,0,0,1.029487202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.391253378,0,0,2.931443761,1.488418912,0,5.785338929,0,0,0,0.846729056,1.818633058,0,0,0,0,0
'JJ125',1.509561571,0,0,0,7.550974391,4.701578382,0,6.115539289,2.430216894,0,0,2.393001681,2.524191847,0,0,0,0,0,2.460571726,3.987812433,0,0,0,0,0,12.63884804,0,0,0,0,0,5.036135477,3.946265314,0,0,0,0,3.116064795,0
'JJ66',0,0,0,0,2.854846628,0,0,2.070333406,1.486214646,0,0,0,0,0,0,0,0,0,0,2.083782802,0,0,0,0,0,8.784036816,0,0,0,0,0,2.465005881,1.626558963,0,0,0,0,1.774558432,0
'JJ38',0,0,0,0,3.169234872,0,0,2.953803329,0,0,0,0,0,0,0,0,0,0,0,2.854862377,0,0,0,0,0,11.12049086,0,0,0,0,0,3.128979837,0,0,0,0,0,1.491271943,0
'JJ78',0,0,0,0,7.595700757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87164245,0,12.80258293,0,0,0,0,0,0,0,0,0,0,0,0
'JJ64',0,0,0,0,5.974032982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94108792,0,14.36700091,0,7.880888788,0,0,0,0,0,0,0,0,0,0,0,0
'JJ73',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ76',0,9.857907091,0,0,0,0,0,0,0,6.86697909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ72',0,2.369577757,0,0,0,0,0,0,0,1.969693724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ40',0,0,0,0,0,0,0,0,0,3.00831072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ77',0,11.14560294,0,0,0,0,0,0,0,4.786014603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ94',0,0,0,0,0,0,0,0,0,1.078921947,0,2.22492264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ79',0,0,0,0,0,0,0,4.518968309,0,0,0,0,0,0,0,0,0,0,0,0,-5.730908786,0,0,0,0,0,0,0,0,0,0,0.515316333,2.654660829,0,0,0,0,0,0
'JJ75',0,-1.970439758,0,0,0,0,0,4.297118674,0,0,0,0,0,0,0,0,0,0,2.460595037,0,-4.999694518,0,0,0,0,0,0,0,0,0,0,3.107035952,0,0,0,0,0,0,0
'JJ74',0,0,0,0,0,0,0,9.24687486,0,0,0,0,0,0,0,0,0,0,0,5.589175282,-3.718863672,0,0,0,0,0,0,0,0,0,0,3.410452044,0,0,0,0,0,0,0
'JJ87',0,6.144746723,0,0,0,0,2.324823737,8.381871779,0,4.097230631,0,0,0,0,0,0,0,0,0,7.680259451,5.565064384,0,0,0,0,4.201531382,0,0,0,0,0,7.012214733,0,0,0,0,0,0,0
'JJ22',0,2.017458346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ17',0,4.646498785,0,0,0,0,0,0,0,0,4.419570178,0,0,0,0,0,0,0,0,6.608568959,4.724766486,0,0,0,0,4.3113177,0,0,0,0,0,5.300452059,9.174726248,0,0,0,0,0,0
'JJ16',0,0,0,0,0,0,0,3.983559918,0,0,0,0,0,0,0,0,0,0,0,4.707653421,7.023971643,0,0,0,0,3.9041068,0,0,0,0,0,4.065534487,4.58569848,0,0,0,0,0,0
'JJ15',0,0,0,0,3.671790563,0,2.724954726,2.834920257,0,0,1.88668861,0,0,0,0,0,0,0,0,7.088268824,3.321920135,0,0,0,0,3.974659651,0,0,0,0,0,0,4.902651764,2.055894743,0,0,0,0,0
'JJ126',2.70263911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.200423514,0,0,0,6.364921336,0,0,0,0,0,0
'JJ37',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.568210067,0,0
'JJ133',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.077731055,0,0,0,0,0,0,0,0,0,0
'JJ136',4.060753187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.361596574,0,0,0,0,0,0,0,0,0,0
'JJ130',4.792801907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.078085249,3.847661523,4.377643411,4.691711886,3.257496894,0,2.147105483,2.131885527,0,6.597201463,0,0,0,6.026980063,0,0,0,0,0,0
