LHClusters ,NT
29C,ChA
138,"ChA, GABA"
4G,Vglut
101,ChA
137,ChA
151A,ChA
70C,GABA
7A,ChA
4C,Vglut
3D,ChA
116A,Vglut
4F,Vglut
70D,"ChA, GABA"
17A,ChA
16F,ChA
3A,ChA
3B,ChA
16C,ChA
12B,ChA
16D,ChA
1G,GABA
54C,GABA
17C,ChA
147,"ChA, Vglut"
145,Unknown
84,"ChA, GABA"
98,ChA
4E,Vglut
4D,ChA
4A,Vglut
116B,Vglut
76B,Vglut
8A,ChA
1B,GABA
139,ChA
51C,"ChA, GABA"
1E,GABA
27C,Unknown
3E,ChA
4B,Vglut
125,Vglut
70A,GABA
16B,ChA
114,Vglut
141,Vglut
123,ChA
54B,Unknown
1D,GABA
3F,Unknown
51B,Unknown
54A,GABA
12A,ChA
27A,ChA
29D,Vglut
11A,ChA
3C,ChA
120,Vglut
85,GABA
143,GABA
2,Unknown
16A,ChA
29G,Vglut
4I,Unknown
29B,ChA
11D,ChA
113,Vglut
70E,"ChA, GABA"
8B,Unknown
151B,Cha
70B,"ChA, GABA"
1C,GABA
1A,GABA
1F,GABA
12C,ChA
24,"ChA, GABA"
142,Unknown
11C,Unknown
29E,Vglut
29F,Vglut
153,"GABA, Vglut"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
