"","cell.type","Frechter","Dolan","Jeanne","datasets"
"1","AD1a1","FALSE","16D","FALSE","D"
"2","AD1b1","TRUE","FALSE","FALSE","F"
"3","AD1e1","FALSE","16F","FALSE","D"
"4","AD1e3","FALSE","FALSE","ML10","J"
"5","aSP-g1a","FALSE","16F","FALSE","D"
"6","AV4b3","FALSE","1H","FALSE","D"
"7","AV4c1","TRUE","FALSE","FALSE","F"
"8","AV6c1","FALSE","125","FALSE","D"
"9","AVLP005","FALSE","FALSE","V1","J"
"10","AVLP005a","TRUE","1B2","FALSE","FD"
"11","LHAD1a1","TRUE","16D","L1","FDJ"
"12","LHAD1a2","TRUE","16C","FALSE","FD"
"13","LHAD1a3","TRUE","16D","FALSE","FD"
"14","LHAD1a4","TRUE","FALSE","FALSE","F"
"15","LHAD1b1","TRUE","FALSE","ML2","FJ"
"16","LHAD1b2","TRUE","16B","ML1","FDJ"
"17","LHAD1b2","TRUE","16B","ML6","FDJ"
"18","LHAD1b2","TRUE","16B","ML7","FDJ"
"19","LHAD1b2","TRUE","16B","ML3","FDJ"
"20","LHAD1b6","TRUE","16B","ML3","FDJ"
"21","LHAD1c1","TRUE","FALSE","ML7","FJ"
"22","LHAD1c1","TRUE","FALSE","ML4","FJ"
"23","LHAD1c2","FALSE","16A2","ML5","DJ"
"24","LHAD1d1","FALSE","16A","FALSE","D"
"25","LHAD1d2","FALSE","16A","FALSE","D"
"26","LHAD1f1","FALSE","16D","FALSE","D"
"27","LHAD1f2","FALSE","FALSE","L7","J"
"28","LHAD1f2","FALSE","FALSE","L9","J"
"29","LHAD1i2","FALSE","FALSE","L7","J"
"30","LHAD1i2","FALSE","FALSE","L6","J"
"31","LHAD3a1","FALSE","8A","FALSE","D"
"32","LHAD3b1","FALSE","8A","FALSE","D"
"33","LHAD3f1","TRUE","FALSE","FALSE","F"
"34","LHAV1a1","FALSE","17C","FALSE","D"
"35","LHAV1a2","FALSE","17C","V3","DJ"
"36","LHAV1a4","FALSE","17C","FALSE","D"
"37","LHAV2a1","FALSE","27A","FALSE","D"
"38","LHAV2a3","FALSE","1H","FALSE","D"
"39","LHAV2b1","FALSE","84","FALSE","D"
"40","LHAV2b2","FALSE","84","V2","DJ"
"41","LHAV2f1","FALSE","27A1","L6","DJ"
"42","LHAV2f2","FALSE","27A1","FALSE","D"
"43","LHAV2i2","FALSE","27A","FALSE","D"
"44","LHAV2k1","FALSE","FALSE","L6","J"
"45","LHAV2k12","FALSE","FALSE","L3","J"
"46","LHAV2k2","FALSE","27A","FALSE","D"
"47","LHAV2k3","FALSE","101","FALSE","D"
"48","LHAV2k3","FALSE","27A1","FALSE","D"
"49","LHAV2m1","FALSE","FALSE","Local5","J"
"50","LHAV2n1","FALSE","FALSE","Local5","J"
"51","LHAV3c1","FALSE","29B","FALSE","D"
"52","LHAV3k6","FALSE","27C","FALSE","D"
"53","LHAV4a1","FALSE","1D","FALSE","D"
"54","LHAV4a3","FALSE","1B1","FALSE","D"
"55","LHAV4a4","FALSE","1B1","Local7","DJ"
"56","LHAV4a5","FALSE","1D","FALSE","D"
"57","LHAV4b3","FALSE","1A","FALSE","D"
"58","LHAV4c1","FALSE","1A2","Local7","DJ"
"59","LHAV4c1","FALSE","1B1","Local7","DJ"
"60","LHAV4c1","FALSE","1B2","Local7","DJ"
"61","LHAV4c2","FALSE","1B2","FALSE","D"
"62","LHAV4e2","FALSE","1H","FALSE","D"
"63","LHAV4e2","FALSE","1B1","FALSE","D"
"64","LHAV4e4","TRUE","FALSE","FALSE","F"
"65","LHAV4e7","TRUE","FALSE","FALSE","F"
"66","LHAV4g1","FALSE","1B1","FALSE","D"
"67","LHAV4g11","FALSE","1B1","Local7","DJ"
"68","LHAV4g14","FALSE","FALSE","Local1","J"
"69","LHAV4g15","FALSE","1B1","FALSE","D"
"70","LHAV4g2","FALSE","1B1","FALSE","D"
"71","LHAV4g3","TRUE","FALSE","FALSE","F"
"72","LHAV4g4","TRUE","FALSE","FALSE","F"
"73","LHAV4g6","TRUE","FALSE","FALSE","F"
"74","LHAV4g7","TRUE","FALSE","FALSE","F"
"75","LHAV4i2","FALSE","FALSE","LV1","J"
"76","LHAV5d1","TRUE","FALSE","FALSE","F"
"77","LHAV6a1","TRUE","7A","L12","FDJ"
"78","LHAV6a1","TRUE","TypeII","L12","FDJ"
"79","LHAV6a1","TRUE","7A","L11","FDJ"
"80","LHAV6a1","TRUE","TypeII","L11","FDJ"
"81","LHAV6a2","FALSE","FALSE","L13","J"
"82","LHAV6a3","TRUE","7A","L11","FDJ"
"83","LHAV6a4","TRUE","FALSE","L9","FJ"
"84","LHAV6a6","TRUE","TypeII","FALSE","FD"
"85","LHAV6a9","FALSE","FALSE","L5","J"
"86","LHAV6b1","FALSE","7A","FALSE","D"
"87","LHAV6b1","FALSE","27C","FALSE","D"
"88","LHAV6b1","FALSE","TypeII","FALSE","D"
"89","LHAV6b2","FALSE","27C","L9","DJ"
"90","LHAV6b2","FALSE","27C","L3","DJ"
"91","LHAV6b3","FALSE","FALSE","L13","J"
"92","LHAV6f1","FALSE","FALSE","CML2","J"
"93","LHAV6f2","FALSE","FALSE","CML2","J"
"94","LHAV6f3","FALSE","FALSE","CML1","J"
"95","LHAV7a1","FALSE","147","FALSE","D"
"96","LHAV7a2","FALSE","147","FALSE","D"
"97","LHAV7a3","FALSE","147","FALSE","D"
"98","LHPD2a1","TRUE","11A","ML9","FDJ"
"99","LHPD2a2","TRUE","11A","ML11","FDJ"
"100","LHPD2a5","TRUE","FALSE","FALSE","F"
"101","LHPD2a7","TRUE","FALSE","FALSE","F"
"102","LHPD2b1","TRUE","11A","ML8","FDJ"
"103","LHPD3a1","FALSE","116A","FALSE","D"
"104","LHPD3a2","FALSE","116B","FALSE","D"
"105","LHPD3a4","FALSE","116B","FALSE","D"
"106","LHPV2a1","FALSE","54A","FALSE","D"
"107","LHPV2a2","FALSE","54A","FALSE","D"
"108","LHPV2a3","TRUE","FALSE","FALSE","F"
"109","LHPV2b5","TRUE","FALSE","FALSE","F"
"110","LHPV2c1","FALSE","138","FALSE","D"
"111","LHPV2c2","FALSE","138","FALSE","D"
"112","LHPV2f3","TRUE","54C","FALSE","FD"
"113","LHPV4a1","TRUE","4A","FALSE","FD"
"114","LHPV4a10","TRUE","FALSE","FALSE","F"
"115","LHPV4a11","FALSE","4G","Local2","DJ"
"116","LHPV4a12","FALSE","29E","FALSE","D"
"117","LHPV4a12","FALSE","4G","FALSE","D"
"118","LHPV4a2","TRUE","4A","FALSE","FD"
"119","LHPV4a3","TRUE","4A","FALSE","FD"
"120","LHPV4a4","TRUE","4A","FALSE","FD"
"121","LHPV4a5","TRUE","4A","FALSE","FD"
"122","LHPV4a6","FALSE","4A","FALSE","D"
"123","LHPV4a7","TRUE","4A","Local1","FDJ"
"124","LHPV4a9","TRUE","FALSE","FALSE","F"
"125","LHPV4b1","TRUE","29E","FALSE","FD"
"126","LHPV4b2","TRUE","29E","FALSE","FD"
"127","LHPV4b3","FALSE","FALSE","Local3","J"
"128","LHPV4b4","TRUE","29E","FALSE","FD"
"129","LHPV4c1","FALSE","76B","FALSE","D"
"130","LHPV4d1","TRUE","4E","FALSE","FD"
"131","LHPV4d3","TRUE","FALSE","FALSE","F"
"132","LHPV4d4","FALSE","29D","FALSE","D"
"133","LHPV4d5","TRUE","4E","FALSE","FD"
"134","LHPV4f1","TRUE","4A","FALSE","FD"
"135","LHPV4g1","FALSE","29G","FALSE","D"
"136","LHPV4g1","FALSE","4A","FALSE","D"
"137","LHPV4g2","FALSE","29G","FALSE","D"
"138","LHPV4i1","TRUE","4A","FALSE","FD"
"139","LHPV4j1","FALSE","4A","FALSE","D"
"140","LHPV4j1","FALSE","4G","FALSE","D"
"141","LHPV4j2","FALSE","4G","FALSE","D"
"142","LHPV4j3","FALSE","29D","FALSE","D"
"143","LHPV4j4","FALSE","4A","FALSE","D"
"144","LHPV4k1","TRUE","4A","Local4","FDJ"
"145","LHPV5a1","TRUE","16D","FALSE","FD"
"146","LHPV5a1","TRUE","3A","FALSE","FD"
"147","LHPV5a2","TRUE","3A","FALSE","FD"
"148","LHPV5a3","FALSE","3D","FALSE","D"
"149","LHPV5b1","TRUE","3B","FALSE","FD"
"150","LHPV5b2","TRUE","FALSE","FALSE","F"
"151","LHPV5b3","FALSE","3F","FALSE","D"
"152","LHPV5c1","TRUE","12B","L8","FDJ"
"153","LHPV5c1","TRUE","12A","L8","FDJ"
"154","LHPV5c1","TRUE","12B","L15","FDJ"
"155","LHPV5c1","TRUE","12A","L15","FDJ"
"156","LHPV5c1","TRUE","12B","L14","FDJ"
"157","LHPV5c1","TRUE","12A","L14","FDJ"
"158","LHPV5c2","TRUE","FALSE","FALSE","F"
"159","LHPV5c3","TRUE","FALSE","L8","FJ"
"160","LHPV5d1","FALSE","3C","FALSE","D"
"161","LHPV5d3","TRUE","FALSE","FALSE","F"
"162","LHPV5g1","FALSE","3E","FALSE","D"
"163","LHPV5g2","FALSE","3E","FALSE","D"
"164","LHPV6a1","FALSE","29C","FALSE","D"
"165","LHPV6a10","FALSE","29B","FALSE","D"
"166","LHPV6a3","FALSE","29B","Local6","DJ"
"167","LHPV6c1","FALSE","154","FALSE","D"
"168","LHPV6h2","FALSE","29B","FALSE","D"
"169","LHPV6l1","FALSE","114A","FALSE","D"
"170","PD2e2","FALSE","113","FALSE","D"
"171","PD2f1","FALSE","120","FALSE","D"
"172","PV2d1","FALSE","54C","FALSE","D"
"173","PV4b2","TRUE","FALSE","FALSE","F"
"174","PV5b1","FALSE","3C","FALSE","D"
"175","PV5k1","FALSE","141","FALSE","D"
