BodyID,Name,CBF,M-type,C-type
863331646,AOTU001a,ADL06,ADL06f,ADL06c_pct
923989857,AOTU001a,ADL06,ADL06f,ADL06c_pct
986089634,AOTU001a,ADL06,ADL06f,ADL06c_pct
860892243,AOTU001b,ADL06,ADL06f,ADL06e_a_pct
860905704,AOTU001b,ADL06,ADL06f,ADL06e_a_pct
5813078350,AOTU001b,ADL06,ADL06f,ADL06e_a_pct
861237607,AOTU001c,ADL06,ADL06f,ADL06e_b_pct
861924744,AOTU001c,ADL06,ADL06f,ADL06e_b_pct
862270029,AOTU001c,ADL06,ADL06f,ADL06e_b_pct
862270098,AOTU001c,ADL06,ADL06f,ADL06e_b_pct
861574580,AOTU001d,ADL06,ADL06f,ADL06f_pct
862597411,AOTU001d,ADL06,ADL06f,ADL06f_pct
892614148,AOTU001d,ADL06,ADL06f,ADL06f_pct
894707517,AOTU001e,ADL06,ADL06f,ADL06m_pct
955733080,AOTU001e,ADL06,ADL06f,ADL06m_pct
1170935308,AOTU001e,ADL06,ADL06f,ADL06m_pct
769195048,AOTU002a,ADL08,ADL08a,ADL08h_pct
861241941,AOTU002a,ADL08,ADL08a,ADL08h_pct
861928967,AOTU002a,ADL08,ADL08a,ADL08h_pct
862947261,AOTU002a,ADL08,ADL08a,ADL08h_pct
1041395080,AOTU002a,ADL08,ADL08a,ADL08h_pct
5813022469,AOTU002a,ADL08,ADL08a,ADL08h_pct
861237679,AOTU002b,ADL08,ADL08a,ADL08i_a_pct
861583277,AOTU002b,ADL08,ADL08a,ADL08i_a_pct
862270125,AOTU002b,ADL08,ADL08a,ADL08i_a_pct
892268533,AOTU002b,ADL08,ADL08a,ADL08i_a_pct
892609503,AOTU002b,ADL08,ADL08a,ADL08i_a_pct
986098785,AOTU002b,ADL08,ADL08a,ADL08i_a_pct
1008663864,AOTU002b,ADL08,ADL08a,ADL08i_a_pct
1009004209,AOTU002b,ADL08,ADL08a,ADL08i_a_pct
862265395,AOTU002c,ADL08,ADL08a,ADL08i_b_pct
892286449,AOTU002c,ADL08,ADL08a,ADL08i_b_pct
892959869,AOTU002c,ADL08,ADL08a,ADL08i_b_pct
1355115431,AOTU003a,ADL08,ADL08h,ADL08m_pct
5813094683,AOTU004a,ADM03,ADM03t,ADM03v_pct
860905614,AOTU005a,ADM04,ADM04a,ADM04a_pct
673763861,AOTU006a,ADM05,ADM05d,ADM05c_pct
831225810,AOTU006a,ADM05,ADM05d,ADM05c_pct
861246683,AOTU006a,ADM05,ADM05d,ADM05c_pct
861260193,AOTU006a,ADM05,ADM05d,ADM05c_pct
862274410,AOTU006a,ADM05,ADM05d,ADM05c_pct
861578855,AOTU006b,ADM05,ADM05d,ADM05ob_pct
1324762843,AOTU006b,ADM05,ADM05d,ADM05ob_pct
1509957347,AOTU006b,ADM05,ADM05d,ADM05ob_pct
861229043,AOTU006c,ADM05,ADM05d,ADM05oi_pct
861233300,AOTU006c,ADM05,ADM05d,ADM05oi_pct
861237903,AOTU006c,ADM05,ADM05d,ADM05oi_pct
861592758,AOTU006c,ADM05,ADM05d,ADM05oi_pct
830915321,AOTU007a,ADM11,ADM11g,ADM11g_pct
737824168,AOTU007b,ADM11,ADM11g,ADM11m_pct
861937730,AOTU007c,ADM11,ADM11g,ADM11n_pct
892294329,AOTU007d,ADM11,ADM11g,ADM11p_pct
737832306,AOTU008a,ADM11,ADM11i,ADM11i_pct
861583205,AOTU008b,ADM11,ADM11i,ADM11k_pct
799521639,AOTU009a,ADM11,ADM11e,ADM11e_pct
861242327,AOTU009b,ADM11,ADM11e,ADM11f_pct
1191500957,AOTU009b,ADM11,ADM11e,ADM11f_pct
860896571,AOTU010a,AVM16,AVM16d,AVM16b_pct
861233275,AOTU010a,AVM16,AVM16d,AVM16b_pct
892277112,AOTU010a,AVM16,AVM16d,AVM16b_pct
892618060,AOTU010a,AVM16,AVM16d,AVM16b_pct
5813022816,AOTU011a,PDM05,PDM05a,PDM05a_pct
478618011,AOTU012a,PDM30,PDM30f,PDM30b_pct
1291647067,AOTU013a,PVL08,PVL08c,PVL08g_pct
922643119,AOTU014a,PVL08,PVL08i,PVL08k_pct
954705691,AOTU014a,PVL08,PVL08i,PVL08k_pct
982688871,AOTU014a,PVL08,PVL08i,PVL08k_pct
1692782686,AOTU014a,PVL08,PVL08i,PVL08k_pct
892605049,AOTU014b,PVL08,PVL08i,PVL08w_pct
922966733,AOTU014b,PVL08,PVL08i,PVL08w_pct
955024652,AOTU014b,PVL08,PVL08i,PVL08w_pct
1631714973,AOTU014b,PVL08,PVL08i,PVL08w_pct
791039731,AOTU015a,SCB,SCB065,SCB065_pct
800929667,AOTU015a,SCB,SCB065,SCB065_pct
728991288,ATL001a,PDL05,PDL05o,PDL05oh_pct
5813041251,ATL001a,PDL05,PDL05o,PDL05oh_pct
702200873,ATL001b,PDL05,PDL05o,PDL05op_pct
731176276,ATL001b,PDL05,PDL05o,PDL05op_pct
733235394,ATL001b,PDL05,PDL05o,PDL05op_pct
5813049491,ATL001b,PDL05,PDL05o,PDL05op_pct
664787948,ATL002a,PDL06,PDL06b,PDL06b_pct
822229630,ATL002a,PDL06,PDL06b,PDL06b_pct
455141922,ATL003a,PDL16,PDL16l,CSm-At(b)
607373222,ATL003a,PDL16,PDL16l,CSm-At(b)
455483094,ATL004a,PDL20,PDL20r,PDL20u_pct
577697202,ATL004a,PDL20,PDL20r,PDL20u_pct
578034170,ATL004a,PDL20,PDL20r,PDL20u_pct
727968539,ATL004a,PDL20,PDL20r,PDL20u_pct
694813336,ATL005a,PDL23,PDL23b,PDL23h_pct
787909611,ATL005a,PDL23,PDL23b,PDL23h_pct
758636869,ATL005b,PDL23,PDL23b,PDL23ob_pct
727276708,ATL006a,PDM33,PDM33c,PDM33c_pct
696950427,ATL006b,PDM33,PDM33c,PDM33e_pct
759468647,ATL006b,PDM33,PDM33c,PDM33e_pct
5813012531,ATL006b,PDM33,PDM33c,PDM33e_pct
5813057033,ATL007a,PDM33,PDM33b,PDM33b_pct
5813061114,ATL007a,PDM33,PDM33b,PDM33b_pct
542039038,ATL008a,PVL17,PVL17l,PVL17n_pct
759464163,ATL008a,PVL17,PVL17l,PVL17n_pct
5901200623,ATL009a,PVL17,PVL17f,PVL17f_pct
1103996326,AVLP001a,ADL01,ADL01c,ADL01f_pct
1104686732,AVLP001a,ADL01,ADL01c,ADL01f_pct
1228489035,AVLP001a,ADL01,ADL01c,ADL01f_pct
1290562990,AVLP001a,ADL01,ADL01c,ADL01f_pct
1352983123,AVLP001a,ADL01,ADL01c,ADL01f_pct
1321564092,AVLP002a,ADL01,ADL01b,ADL01ot_pct
982252540,AVLP003a,ADL01,ADL01e,ADL01e_pct
1075041096,AVLP003a,ADL01,ADL01e,ADL01e_pct
1013046019,AVLP004a,ADL01,ADL01i,ADL01h_pct
1041602702,AVLP004a,ADL01,ADL01i,ADL01h_pct
1044075948,AVLP004a,ADL01,ADL01i,ADL01h_pct
1166416004,AVLP004a,ADL01,ADL01i,ADL01h_pct
1197449561,AVLP004a,ADL01,ADL01i,ADL01h_pct
983362172,AVLP004b,ADL01,ADL01i,ADL01ov_pct
1166415548,AVLP004c,ADL01,ADL01i,ADL01ow_pct
1197450057,AVLP004c,ADL01,ADL01i,ADL01ow_pct
1197454668,AVLP004c,ADL01,ADL01i,ADL01ow_pct
5812986485,AVLP004c,ADL01,ADL01i,ADL01ow_pct
890925383,AVLP005a,ADL01,ADL01j,ADL01g_pct
949870573,AVLP005a,ADL01,ADL01j,ADL01g_pct
1014051490,AVLP005a,ADL01,ADL01j,ADL01g_pct
1014392280,AVLP005a,ADL01,ADL01j,ADL01g_pct
5813009998,AVLP005a,ADL01,ADL01j,ADL01g_pct
705381843,AVLP005b,ADL01,ADL01j,ADL01og_pct
764006565,AVLP005b,ADL01,ADL01j,ADL01og_pct
766781641,AVLP005b,ADL01,ADL01j,ADL01og_pct
921969630,AVLP005b,ADL01,ADL01j,ADL01og_pct
1103327144,AVLP005c,ADL01,ADL01j,ADL01ola_pct
1106064205,AVLP005c,ADL01,ADL01j,ADL01ola_pct
953004445,AVLP005d,ADL01,ADL01j,ADL01olb_pct
1011616276,AVLP005e,ADL01,ADL01j,ADL01olc_pct
1100952886,AVLP006a,ADL01,ADL01f,ADL01b_pct
1228484534,AVLP006a,ADL01,ADL01f,ADL01b_pct
1290563000,AVLP006a,ADL01,ADL01f,ADL01b_pct
1130605683,AVLP006b,ADL01,ADL01f,ADL01i_pct
1259528984,AVLP006b,ADL01,ADL01f,ADL01i_pct
1134703538,AVLP007a,ADL01,ADL01h,ADL01k_pct
1162711771,AVLP007a,ADL01,ADL01h,ADL01k_pct
1039267479,AVLP007b,ADL01,ADL01h,ADL01of_pct
1291245214,AVLP008a,ADL01,ADL01d,ADL01c_pct
1539542392,AVLP008a,ADL01,ADL01d,ADL01c_pct
1601957221,AVLP008a,ADL01,ADL01d,ADL01c_pct
2160271244,AVLP008a,ADL01,ADL01d,ADL01c_pct
1228489167,AVLP008b,ADL01,ADL01d,ADL01ob_pct
1228489539,AVLP008b,ADL01,ADL01d,ADL01ob_pct
1290904379,AVLP008c,ADL01,ADL01d,ADL01ou_pct
1570922717,AVLP008c,ADL01,ADL01d,ADL01ou_pct
1601957358,AVLP008c,ADL01,ADL01d,ADL01ou_pct
5813075524,AVLP008c,ADL01,ADL01d,ADL01ou_pct
1042957191,AVLP009a,ADL02,ADL02ad,ADL02of_pct
5812982039,AVLP009b,ADL02,ADL02ad,ADL02ou_pct
951234513,AVLP009c,ADL02,ADL02ad,ADL02ov_pct
1041343227,AVLP010a,ADL02,ADL02ab,ADL02oc_pct
701201945,AVLP011a,ADL02,ADL02ac,ADL02oe_pct
947573616,AVLP012a,ADL02,ADL02aa,ADL02od_pct
676479217,AVLP013a,ADL02,ADL02z,ADL02ob_pct
5812983094,AVLP014a,ADL02,ADL02x,ADL02z_pct
5813053731,AVLP015a,ADL03,ADL03h,ADL03h_pct
764377593,AVLP016a,ADL03,ADL03i,ADL03i_pct
390616420,AVLP017a,ADL03,ADL03g,ADL03g_pct
1074678938,AVLP017a,ADL03,ADL03g,ADL03g_pct
1198504136,AVLP017a,ADL03,ADL03g,ADL03g_pct
1229538338,AVLP017a,ADL03,ADL03g,ADL03g_pct
5812989557,AVLP017a,ADL03,ADL03g,ADL03g_pct
5813009518,AVLP017a,ADL03,ADL03g,ADL03g_pct
5813054421,AVLP017a,ADL03,ADL03g,ADL03g_pct
545786279,AVLP017b,ADL03,ADL03g,ADL03op_pct
576143501,AVLP017b,ADL03,ADL03g,ADL03op_pct
609224408,AVLP017b,ADL03,ADL03g,ADL03op_pct
