"L3","GMR_10B09_AV_01-20141114_44_C2","10G01","10B09","113","1","Yes","No","Yes_TI_wk10","Yes-TI_flycore_18Apr-30May16","No","Medium","SplitGAL4annotate/Image/Untitled.jpgSplitGAL4annotate/Image/Untitled.jpg"
"L15","GMR_10G01_AV_01-20141114_44_B2","49F02","10G01","4A","1","Yes","Maybe","Yes_TI_wk16","Yes-TI_wk15-16 (flycore)","Yes","Weak","SplitGAL4annotate/Image/Untitled_2.jpgSplitGAL4annotate/Image/Untitled_2.jpg"
"L16","GMR_10G01_AV_01-20141114_44_F1","67F03","10G01","113","1","Yes","20X_PaavoMike_July_2016","Yes_TI-wk26","Yes_TI_wk27","Yes","Weak","SplitGAL4annotate/Image/Untitled_4.jpgSplitGAL4annotate/Image/Untitled_4.jpg"
"L18","GMR_10G01_AV_01-20141114_44_G1","84F07","10G01","137","1","Yes","Yes","","Case4_Wk2","No","Medium","SplitGAL4annotate/Image/Untitled_6.jpgSplitGAL4annotate/Image/Untitled_6.jpg"
"L17","GMR_10G01_AV_01-20141114_44_I2","79C09","10G01","116B","2","Yes","Yes","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Yes","Medium","SplitGAL4annotate/Image/Untitled_8.jpgSplitGAL4annotate/Image/Untitled_8.jpg"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"L19","GMR_11B07_AV_01-20141114_44_H1","13C04","11B07","8A","1","Yes","Yes","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Yes","Strong","SplitGAL4annotate/Image/Untitled_10.jpgSplitGAL4annotate/Image/Untitled_10.jpg"
"L20","GMR_11B07_AV_01-20141114_44_J1","14B11","11B07","8A","1","Yes","Yes","Yes_TI_wk2","Yes-TI_wk2","No","Strong","SplitGAL4annotate/Image/Untitled_12.jpgSplitGAL4annotate/Image/Untitled_12.jpg"
"L24","GMR_11B07_AV_01-20141212_42_A2","65H10","11B07","8A","1","Yes","Yes","","Yes_TI_wk27","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_14.jpgSplitGAL4annotate/Image/Untitled_14.jpg"
"L28 ","GMR_12E09_AV_01-20141212_42_A4","31D07","12E09","134B","1","Yes","Yes","","","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_16.jpgSplitGAL4annotate/Image/Untitled_16.jpg"
"L39","GMR_13C04_AV_01-20141212_42_B1","11B07","13C04","8A","1","Yes","Yes","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_18.jpgSplitGAL4annotate/Image/Untitled_18.jpg"
"L40","GMR_13C04_AV_01-20141212_42_B4","43D01","13C04","8A","1","Yes","","","","No","Needimage","SplitGAL4annotate/Image/Untitled_20.jpgSplitGAL4annotate/Image/Untitled_20.jpg"
"L62","GMR_14B11_XD_01-20141212_42_C1","16C09","14B11","12A","3","Yes","20X Shiuan-Tze 2015","Yes_TI_wk9","Case4_Wk5","Yes","Weak","SplitGAL4annotate/Image/Untitled_22.jpgSplitGAL4annotate/Image/Untitled_22.jpg"
"","","","","4?","","","","","","","",""
"","","","","29C","","","","","","","",""
"L61","GMR_14B11_XD_01-20141219_42_A4","14E05","14B11","29B","2","Yes","Yes","Yes_TI_wk9"," ","Yes","Needimage","SplitGAL4annotate/Image/Untitled_24.jpgSplitGAL4annotate/Image/Untitled_24.jpg"
"","","","","","","","","","","","",""
"L85","GMR_16H04_AV_01-20141212_41_F5","50H07","16H04","51B","1","Yes","Maybe","Yes_TI-wk20","Yes-TI_flycore_18Apr-30May16","Yes","Medium","SplitGAL4annotate/Image/Untitled_26.jpgSplitGAL4annotate/Image/Untitled_26.jpg"
"L86","GMR_16H04_AV_01-20141212_41_G1","94D12","16H04","54A","1","Yes","20X Paavo 2015","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Yes","Weak","SplitGAL4annotate/Image/Untitled_28.jpgSplitGAL4annotate/Image/Untitled_28.jpg"
"","","","","","","","","","","","",""
"L90","GMR_17B08_AV_01-20141212_42_D3","89A01","17B08","12A","1","Yes","Yes","Yes_TI_wk1","Yes-TI_wk7","Yes","Medium","SplitGAL4annotate/Image/Untitled_30.jpgSplitGAL4annotate/Image/Untitled_30.jpg"
"L94","GMR_18C07_AV_01-20141212_42_D5","22A12","18C07","(27A)","1","Yes","Yes","","","Yes","None","SplitGAL4annotate/Image/Untitled_32.jpgSplitGAL4annotate/Image/Untitled_32.jpg"
"L97","GMR_19A04_AV_01-20141212_42_E1","14E05","19A04","29B","2","Yes","20X Shiuan-Tze 2015","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Yes","Weak","SplitGAL4annotate/Image/Untitled_34.jpgSplitGAL4annotate/Image/Untitled_34.jpg"
"","","","","","","","","","","","",""
"L96","GMR_19A04_AV_01-20141219_42_A5","14B11","19A04","29B","3","Yes","Yes","","","Yes","Weak","SplitGAL4annotate/Image/Untitled_36.jpgSplitGAL4annotate/Image/Untitled_36.jpg"
"","","","","(8A)","","","","","","","",""
"","","","","(7)","","","","","","","",""
"","","","","29C","","","","","","","",""
"L108","GMR_20A03_AV_01-20141212_42_E4","28A10","20A03","12A","2","Yes","Yes","","Yes-TI_flycore_18Apr-30May16","Yes","Needimage","SplitGAL4annotate/Image/Untitled_38.jpgSplitGAL4annotate/Image/Untitled_38.jpg"
"","","","","29B","","","","","","","",""
"L109","GMR_20A03_AV_01-20141212_42_E6","30H02","20A03",,"0","No","Yes","","","Yes","","SplitGAL4annotate/Image/Untitled_40.jpgSplitGAL4annotate/Image/Untitled_40.jpg"
"L130","GMR_20G05_XD_01-20141212_42_F3","21D02","20G05",,"","No","Yes","","","Yes","","SplitGAL4annotate/Image/Untitled_42.jpgSplitGAL4annotate/Image/Untitled_42.jpg"
"L135","GMR_21D06_AV_01-20141212_41_D5","93F07","21D06","54A","1","Yes","Yes","Yes_TI_wk1","Yes-TI_wk7","Yes","Medium","SplitGAL4annotate/Image/Untitled_44.jpgSplitGAL4annotate/Image/Untitled_44.jpg"
"L141","GMR_22A12_AV_01-20141212_42_F5","79C09","22A12","116A","1","Yes","20X Paavo 2015","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Yes","Weak","SplitGAL4annotate/Image/Untitled_46.jpgSplitGAL4annotate/Image/Untitled_46.jpg"
"L146","GMR_22B12_AV_01-20141212_42_G3","20A03","22B12","(16A)","","Yes","","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_48.jpgSplitGAL4annotate/Image/Untitled_48.jpg"
"","","","","(138)","","","","","","","",""
"L153","GMR_22C12_AV_01-20141212_41_E3","20G01","22C12","(1E)","2","Yes","No","","","Yes","Strong","SplitGAL4annotate/Image/Untitled_50.jpgSplitGAL4annotate/Image/Untitled_50.jpg"
"","","","","93","","","","","","","",""
"","","","","70A","","","","","","","",""
"L159","GMR_24C08_AV_01-20141212_41_E5","54G12","24C08","1H","3","Yes","20X Shiuan-Tze 2015","Yes_TI-wk27","Case4_Wk4","Yes","None","SplitGAL4annotate/Image/Untitled_52.jpgSplitGAL4annotate/Image/Untitled_52.jpg"
"","","","","138","","","","","","","",""
"","","","","(102)","","","","","","","",""
