No_Cells,ImageCode,LineCode,old.cell.type
7,JRC_SS03226-20161123_33_A4,L188,29C
6,JRC_SS03226-20161123_33_B3,L188,29C
4,JRC_SS03226-20161123_33_B3,L188,29C
7,JRC_SS16353-20160923_31_H4,L1328,138
10,JRC_SS21825-20160928_31_A2,L567,138
11,JRC_SS21825-20160928_31_A3,L567,138
3,JRC_SS23807-20160812_32_A2,L1850,4G
2,JRC_SS23807-20160812_32_A3,L1850,4G
3,JRC_SS23807-20160812_32_A6,L1850,4G
3,JRC_SS16986-20161207_31_F2,L1594,101
3,JRC_SS16986-20161207_31_F6,L1594,101
3,JRC_SS16986-20161207_31_G1,L1594,101
3,JRC_SS15129-20161207_31_A1,L18,137
4,JRC_SS15129-20161207_31_A3,L18,137
2,JRC_SS15129-20161207_31_A4,L18,137
5,JRC_SS04960-20150929_33_C1,L771,70C
7,JRC_SS04960-20150929_33_C2,L771,70C
7,JRC_SS04960-20150929_33_C3,L771,70C
9,JRC_SS22549-20170103_33_F3,L1139,7A
5,JRC_SS22549-20170103_33_F4,L1139,7A
6,JRC_SS22549-20170103_33_G1,L1139,7A
7,GMR_25B07_AV_01-20150626_32_C1,L163,3D
7,GMR_25B07_AV_01-20150626_32_C3,L163,3D
9,GMR_25B07_AV_01-20150626_32_C4,L163,3D
5,GMR_22A12_AV_01-20150626_32_J1,L141,116A
6,GMR_22A12_AV_01-20150626_32_J3,L141,116A
4,GMR_22A12_AV_01-20150626_32_J4,L141,116A
6,JRC_SS03797-20160621_33_C3,L1531,70D
4,JRC_SS03797-20160621_33_C6,L1531,70D
6,JRC_SS03797-20160621_33_D1,L1531,70D
6,JRC_SS03799-20151014_32_F3,L1543,17A
5,JRC_SS03799-20151014_32_F4,L1543,17A
6,JRC_SS03799-20151014_32_F5,L1543,17A
5,JRC_SS22675-20160622_32_F1,L1614,16F
5,JRC_SS22675-20160622_32_G1,L1614,16F
5,JRC_SS22675-20160622_32_G4,L1614,16F
12,GMR_53B06_AV_01-20150619_32_I1,L378,3A
11,GMR_53B06_AV_01-20150619_32_I2,L378,3A
12,GMR_53B06_AV_01-20150619_32_I3,L378,3A
7,GMR_25B07_AV_01-20150706_31_F5,L168,3B
11,JRC_SS16787-20151231_33_G4,L803,3B
7,JRC_SS16980-20151231_33_I2,L1295,3B
5,JRC_SS22713-20160622_32_I1,L1721,16C
5,JRC_SS22713-20160622_32_I3,L1721,16C
5,JRC_SS22713-20160622_32_I4,L1721,16C
12,JRC_SS04718-20151231_33_F1,L1296,12B
13,JRC_SS04718-20151231_33_F2,L1296,12B
11,JRC_SS04718-20151231_33_F4,L1296,12B
6,JRC_SS22377-20160622_32_C4,L1740,16D
5,JRC_SS22377-20160622_32_D4,L1740,16D
6,JRC_SS22377-20160622_32_D6,L1740,16D
7,JRC_SS16583-20160525_31_G1,L191,1G
8,JRC_SS16583-20160525_31_G3,L191,1G
7,JRC_SS16583-20160525_31_H1,L191,1G
4,JRC_SS23087-20160621_33_H2,L1925,54C
4,JRC_SS23087-20160621_33_I1,L1925,54C
3,JRC_SS23087-20160621_33_I4,L1925,54C
4,JRC_SS16373-20160518_31_E1,L1358,17C
4,JRC_SS16373-20160518_31_E4,L1358,17C
5,JRC_SS16373-20160518_31_F1,L1358,17C
4,JRC_SS23097-20160629_31_C1,L2001,147
4,JRC_SS23097-20160629_31_C3,L2001,147
5,JRC_SS23097-20160629_31_D3,L2001,147
1,JRC_SS23107-20160629_31_E6,L2033,145
1,JRC_SS23107-20160629_31_F4,L2033,145
1,JRC_SS23107-20160629_31_F6,L2033,145
3,JRC_SS24177-20160622_31_A1,L2087,84
3,JRC_SS24177-20160622_31_A2,L2087,84
4,JRC_SS24177-20160622_31_B1,L2087,84
12,JRC_SS23161-20160622_31_C2,L2158,98
13,JRC_SS23161-20160622_31_C5,L2158,98
