bodyid,synonym
1007882308,"PV2c1 (Dolan et al, eLife, 2019)"
1014051490,"AV4c1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
1014392280,"AV4c1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
1037510115,"AV2b1 (Dolan et al, eLife, 2019); V2 (Jeanne et al, Neuron, 2018)"
1039672477,"AVLP-PN1 (Dolan et al, eLife, 2019)"
1039867920,"AV4b4 (Dolan et al, eLife, 2019)"
1042572999,"AV4b8 (Frechter et al, eLife, 2019)"
1068543885,"PV3f1 (Dolan et al, eLife, 2019)"
1228484534,"V1 (Jeanne et al, Neuron, 2018)"
1255634702,"PV5k1 (Dolan et al, eLife, 2019)"
264014957,"PD2a2 (Frechter et al, eLife, 2019)"
294436967,"PPL2ab-PN1 (Dolan et al, eLife, 2019)"
297925478,"PD2e2 (Dolan et al, eLife, 2019)"
298603963,"L7 (Jeanne et al, Neuron, 2018)"
328542009,"L7 (Jeanne et al, Neuron, 2018)"
329211098,"L11 (Jeanne et al, Neuron, 2018)"
329216050,"AV7a1 (Dolan et al, eLife, 2019)"
329581637,"L5 (Jeanne et al, Neuron, 2018)"
356131764,"PD3a2 (Dolan et al, eLife, 2019)"
357146296,"PV4b2 (Dolan et al, eLife, 2019)"
358538040,"PV6a3 (Dolan et al, eLife, 2019)"
359581549,"AV6b1 (Dolan et al, eLife, 2019)"
360254994,"PV5c2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019); L14 (Jeanne et al, Neuron, 2018)"
360314997,"AD1d1 (Dolan et al, eLife, 2019)"
360595711,"AV5a1 (Dolan et al, eLife, 2019)"
361269751,"PV5c2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
386847799,"PD2e2 (Dolan et al, eLife, 2019)"
387944118,"PD2f1 (Dolan et al, eLife, 2019)"
389917104,"PV4d1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
391273276,"L15 (Jeanne et al, Neuron, 2018)"
417536905,"PD2e2 (Dolan et al, eLife, 2019)"
417554241,"PV4c3 (Dolan et al, eLife, 2019)"
417882515,"PD2e2 (Dolan et al, eLife, 2019)"
418552044,"PV6a3 (Dolan et al, eLife, 2019)"
420615275,"AD1a1 (Frechter et al, eLife, 2019)"
421638281,"AV5a1 (Dolan et al, eLife, 2019)"
422666053,"AV2a2 (Dolan et al, eLife, 2019)"
424025668,"L8 (Jeanne et al, Neuron, 2018)"
424780893,"ML5 (Jeanne et al, Neuron, 2018)"
425471220,"AD1b2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
425803370,"CML2 (Jeanne et al, Neuron, 2018)"
448225646,"PD3a3 (Dolan et al, eLife, 2019)"
448234999,"PD2e2 (Dolan et al, eLife, 2019)"
449896330,"PV4b2 (Frechter et al, eLife, 2019)"
454706029,"PV5b1 (Frechter et al, eLife, 2019)"
454706490,"AD1a4 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
456187010,"ML2 (Jeanne et al, Neuron, 2018)"
480923210,"PV6a3 (Dolan et al, eLife, 2019)"
480931899,"PV4b2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
481264051,"Local5 (Jeanne et al, Neuron, 2018)"
483038957,"AV2a2 (Dolan et al, eLife, 2019); L6 (Jeanne et al, Neuron, 2018)"
484355342,"PV5b2 (Dolan et al, eLife, 2019)"
509928512,"ML8 (Jeanne et al, Neuron, 2018)"
510934715,"PD3a1 (Dolan et al, eLife, 2019)"
512982243,"PV4b2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
513050445,"PV5b2 (Dolan et al, eLife, 2019)"
514375643,"AV4b2 (Dolan et al, eLife, 2019)"
514396940,"L13 (Jeanne et al, Neuron, 2018)"
514397189,"L4 (Jeanne et al, Neuron, 2018)"
514713432,"AV6b1 (Dolan et al, eLife, 2019)"
541957126,"PV4d1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
544007573,"L13 (Jeanne et al, Neuron, 2018)"
547158593,"ML10 (Jeanne et al, Neuron, 2018)"
572988717,"CML2 (Jeanne et al, Neuron, 2018)"
573329873,"L13 (Jeanne et al, Neuron, 2018)"
573346324,"AV2a2 (Dolan et al, eLife, 2019)"
573695941,"Local3 (Jeanne et al, Neuron, 2018)"
573774122,"PV4c3 (Dolan et al, eLife, 2019)"
574037479,"PV4c2 (Dolan et al, eLife, 2019)"
574040939,"ML3 (Jeanne et al, Neuron, 2018)"
574372960,"Local6 (Jeanne et al, Neuron, 2018)"
575806223,"L1 (Jeanne et al, Neuron, 2018)"
577205852,"AV6c1 (Dolan et al, eLife, 2019)"
577546843,"PV5a2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
578474318,"AV6b3 (Dolan et al, eLife, 2019)"
579169802,"AV4b8 (Frechter et al, eLife, 2019)"
579562628,"L12 (Jeanne et al, Neuron, 2018)"
5812980658,"PD2a2 (Frechter et al, eLife, 2019)"
5813009995,"L12 (Jeanne et al, Neuron, 2018)"
5813010153,"PD2f1 (Dolan et al, eLife, 2019)"
5813012048,"PV4b3 (Dolan et al, eLife, 2019)"
5813012375,"PV5b1 (Dolan et al, eLife, 2019)"
5813013202,"ML6 (Jeanne et al, Neuron, 2018)"
5813013443,"Local1 (Jeanne et al, Neuron, 2018)"
5813014585,"AV4a3 (Dolan et al, eLife, 2019)"
5813020002,"PV4c3 (Dolan et al, eLife, 2019)"
5813022459,"ML1 (Jeanne et al, Neuron, 2018)"
5813039980,"AV2a3 (Dolan et al, eLife, 2019)"
5813040093,"CML1 (Jeanne et al, Neuron, 2018)"
5813047407,"AV4b5 (Frechter et al, eLife, 2019)"
5813048298,"PV4a4 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
5813052205,"ML3 (Jeanne et al, Neuron, 2018)"
5813055865,"L9 (Jeanne et al, Neuron, 2018)"
5813055963,"PV4b1 (Dolan et al, eLife, 2019); Local2 (Jeanne et al, Neuron, 2018)"
5813061564,"AV2a4 (Dolan et al, eLife, 2019)"
5813062781,"AD3b1 (Dolan et al, eLife, 2019)"
5813067769,"AV6c1 (Dolan et al, eLife, 2019)"
5813069285,"L6 (Jeanne et al, Neuron, 2018)"
5813077898,"L11 (Jeanne et al, Neuron, 2018)"
5813087438,"L3 (Jeanne et al, Neuron, 2018); L9 (Jeanne et al, Neuron, 2018)"
5813090530,"PV2b1 (Dolan et al, eLife, 2019)"
5813105722,"Local5 (Jeanne et al, Neuron, 2018)"
5901193715,"L6 (Jeanne et al, Neuron, 2018)"
5901194039,"AV4a3 (Dolan et al, eLife, 2019)"
5901203780,"AV4a3 (Dolan et al, eLife, 2019)"
604368022,"PV5a2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
604731022,"PV4a5 (Dolan et al, eLife, 2019)"
604735525,"AV2a2 (Dolan et al, eLife, 2019)"
605727696,"PV4a9 (Dolan et al, eLife, 2019)"
606461310,"AD1c1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
607886496,"AV6c1 (Dolan et al, eLife, 2019)"
608166388,"GNG-PN1 (Dolan et al, eLife, 2019)"
608491067,"AV4b3 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
609591823,"AV6c1 (Dolan et al, eLife, 2019)"
611620813,"L8 (Jeanne et al, Neuron, 2018)"
634741770,"PV5b2 (Frechter et al, eLife, 2019)"
635385969,"AV4a5 (Frechter et al, eLife, 2019)"
637121560,"PV4a3 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
638136190,"AV4b5 (Frechter et al, eLife, 2019)"
640220321,"AV4b3 (Dolan et al, eLife, 2019)"
640963556,"PD2a2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
666769954,"Local1 (Jeanne et al, Neuron, 2018)"
669852092,"AV4b5 (Frechter et al, eLife, 2019)"
671933799,"AV4c1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
675800901,"PD2a2 (Frechter et al, eLife, 2019)"
676138357,"PD2a2 (Frechter et al, eLife, 2019)"
698180486,"CML2 (Jeanne et al, Neuron, 2018)"
699203489,"L14 (Jeanne et al, Neuron, 2018)"
699212545,"L3 (Jeanne et al, Neuron, 2018)"
701328333,"PV2d1 (Dolan et al, eLife, 2019)"
703305408,"AV4c2 (Dolan et al, eLife, 2019)"
705139000,"ML4 (Jeanne et al, Neuron, 2018)"
705381843,"AV4c1 (Dolan et al, eLife, 2019)"
727838223,"PV5b1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
728836965,"PV5c2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
729530620,"PV4a4 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
729859814,"PV4a7 (Frechter et al, eLife, 2019)"
729867427,"PV4a4 (Dolan et al, eLife, 2019)"
729867599,"AD1b2 (Frechter et al, eLife, 2019); ML4 (Jeanne et al, Neuron, 2018); ML7 (Jeanne et al, Neuron, 2018)"
730222949,"PV4a6 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
730325440,"PV5b2 (Dolan et al, eLife, 2019)"
731244892,"AV4b3 (Dolan et al, eLife, 2019)"
731917767,"PV5b2 (Frechter et al, eLife, 2019)"
731918732,"AV4a4 (Dolan et al, eLife, 2019)"
731919293,"AV4b8 (Dolan et al, eLife, 2019)"
732354059,"PV5c2 (Dolan et al, eLife, 2019)"
732357920,"PV2d1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
759586113,"LV1 (Jeanne et al, Neuron, 2018)"
760225398,"PV4a2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
760566454,"PV4a2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
760566744,"PV4a3 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
760569606,"PV4a6 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
760907730,"PV4a2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
761232088,"AV4a3 (Dolan et al, eLife, 2019)"
761636549,"AV7a1 (Dolan et al, eLife, 2019)"
762274975,"AD1c1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019); ML7 (Jeanne et al, Neuron, 2018)"
763652770,"PV2e1 (Dolan et al, eLife, 2019)"
769199010,"AD1c1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
789308735,"PV5k1 (Dolan et al, eLife, 2019)"
789588935,"AV1a2 (Dolan et al, eLife, 2019)"
789934899,"PV2b1 (Frechter et al, eLife, 2019)"
790918176,"PV4a4 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
790922968,"PV4b2 (Dolan et al, eLife, 2019)"
793702856,"L13 (Jeanne et al, Neuron, 2018)"
818888010,"AV4b4 (Dolan et al, eLife, 2019)"
820581604,"PV4a7 (Frechter et al, eLife, 2019)"
821306235,"AV4a5 (Frechter et al, eLife, 2019)"
821957319,"PV4a7 (Frechter et al, eLife, 2019)"
826762561,"AV4a4 (Dolan et al, eLife, 2019); Local7 (Jeanne et al, Neuron, 2018)"
850636610,"AV2a1 (Dolan et al, eLife, 2019)"
851314221,"PV4a5 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019); Local4 (Jeanne et al, Neuron, 2018)"
852678239,"AV4a5 (Frechter et al, eLife, 2019)"
853717974,"PV2b1 (Dolan et al, eLife, 2019)"
854093627,"PV2d1 (Dolan et al, eLife, 2019)"
854776068,"PV2c1 (Dolan et al, eLife, 2019)"
855414220,"AD1e1 (Dolan et al, eLife, 2019)"
856407289,"AV4a3 (Dolan et al, eLife, 2019)"
880987844,"PV4c3 (Dolan et al, eLife, 2019)"
887148641,"AD1e1 (Dolan et al, eLife, 2019)"
887433630,"AV4a4 (Dolan et al, eLife, 2019)"
889194717,"PV2c1 (Dolan et al, eLife, 2019)"
912022802,"PV4b2 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
912044495,"PV2d1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
916773484,"AV4a3 (Dolan et al, eLife, 2019); Local7 (Jeanne et al, Neuron, 2018)"
919846263,"AD1e1 (Dolan et al, eLife, 2019)"
942677658,"PV4a3 (Dolan et al, eLife, 2019)"
944379777,"PV4c3 (Dolan et al, eLife, 2019)"
944729312,"AV4a3 (Dolan et al, eLife, 2019)"
946123380,"AV4a3 (Dolan et al, eLife, 2019)"
947103902,"AV4a3 (Dolan et al, eLife, 2019)"
947453617,"AV4a3 (Dolan et al, eLife, 2019)"
949870573,"AV4c1 (Frechter et al, eLife, 2019) (Dolan et al, eLife, 2019)"
979519562,"AV4a4 (Dolan et al, eLife, 2019)"
979857196,"AV4a3 (Dolan et al, eLife, 2019)"
980198319,"AV4a3 (Dolan et al, eLife, 2019); Local7 (Jeanne et al, Neuron, 2018)"
