bodyid,type,lh
487148422,SIP020,ExLH
516832391,SIP020,ExLH
5813014526,SIP020,ExLH
793728667,CRE060,ExLH
794406234,CRE060,ExLH
953755666,CRE060,ExLH
642660081,CRE062,ExLH
671307834,CRE062,ExLH
579235017,CRE064,ExLH
607195856,CRE064,ExLH
912390737,PLP038,ExLH
943420940,PLP038,ExLH
943420877,PLP041,ExLH
1067546905,PLP041,ExLH
1192007205,PLP041,ExLH
1223045702,PLP041,ExLH
1224078043,PLP041,ExLH
943412282,PLP043,ExLH
1098249445,PLP043,ExLH
1013757060,PLP048,ExLH
1066516552,PLP048,ExLH
1067884486,PLP048,ExLH
1099255933,PLP048,ExLH
482732443,SIP015,ExLH
544435277,SIP015,ExLH
548199677,SIP015,ExLH
607212413,SIP015,ExLH
519249805,SIP010,ExLH
609587618,SIP010,ExLH
5813067769,SIP010,ExLH
5813057216,SIP023,ExLH
799945378,CRE064,ExLH
725701350,SIP099,ExLH
5813047774,CL128,ExLH
325743813,PLP099,ExLH
794088227,PLP099,ExLH
831273322,PLP099,ExLH
5813013630,PLP099,ExLH
790641825,PLP100,ExLH
822358700,PLP100,ExLH
642387793,SMP215,ExLH
644761952,SMP215,ExLH
576502536,SMP208,ExLH
579234980,SMP208,ExLH
610601810,PLP180,ExLH
639275368,SIP100,ExLH
642409381,SMP437,ExLH
5812980326,SMP437,ExLH
387568523,SMP427,ExLH
5813055800,SMP427,ExLH
423748579,SIP099,ExLH
854776068,PLP113,ExLH
889194717,PLP113,ExLH
1007882308,PLP113,ExLH
881342447,PLP201,ExLH
5813016163,PLP201,ExLH
882383361,PLP202,ExLH
912045124,PLP202,ExLH
518899665,SIP058,ExLH
849275471,PLP116,ExLH
881696475,PLP147b,ExLH
5813021912,PLP148,ExLH
5813067776,PLP148,ExLH
356503889,SLP354,ExLH
418205694,SLP354,ExLH
540662210,SLP354,ExLH
541007502,SLP354,ExLH
696489026,SLP354,ExLH
5812979935,SLP354,ExLH
541681271,SLP356,ExLH
571346887,SLP357,ExLH
664824047,SLP357,ExLH
296846768,SLP358,ExLH
727182822,SLP358,ExLH
387215056,SLP359,ExLH
417869138,SLP359,ExLH
509968249,SLP359,ExLH
5813047683,WED130,ExLH
885788485,CL056,ExLH
915451074,CL056,ExLH
973765182,CL056,ExLH
1069223047,PLP019,ExLH
2030342003,PLP019,ExLH
2214504597,PLP019,ExLH
1440645010,PLP020,ExLH
853726809,PLP021,ExLH
916828438,PLP021,ExLH
1006854683,PLP022,ExLH
5813013913,PLP022,ExLH
5813020138,PLP022,ExLH
1040609241,PLP067,ExLH
1193378968,PLP067,ExLH
5813041468,PLP096,ExLH
1098928012,PLP097,ExLH
886134689,PLP153,ExLH
698970725,PLP152,ExLH
880668750,PLP202,ExLH
912390224,PLP202,ExLH
942725696,PLP202,ExLH
974460512,PLP202,ExLH
856131667,PLP197,ExLH
1005490210,PLP197,ExLH
1131310385,PLP197,ExLH
947858407,WED004,ExLH
1565802648,WED004,ExLH
2096909904,WED004,ExLH
2096914287,WED004,ExLH
5813055629,WED004,ExLH
2061028219,WED005,ExLH
1539309050,WED009,ExLH
1040609541,WED010,ExLH
1508615283,WED010,ExLH
1607155570,WED036a,ExLH
5812991215,WED036a,ExLH
5812991267,WED036a,ExLH
2214846055,WED018,ExLH
1630048134,WED106,ExLH
639585968,VES001,ExLH
299082033,SIP036,ExLH
640963092,SIP061,ExLH
5813021728,SIP061,ExLH
449205588,SIP062a,ExLH
768192947,SIP062a,ExLH
417834021,SIP062b,ExLH
449205611,SIP062b,ExLH
356429209,SMP253,ExLH
418516266,SMP251,ExLH
540967864,SMP251,ExLH
674096140,SMP251,ExLH
703702863,SMP251,ExLH
514068564,SMP440,ExLH
542751938,CL336,ExLH
299082033,SIP036,ExLH
328611004,SIP036,ExLH
639958133,SIP070,ExLH
700982749,SIP070,ExLH
702010197,SIP070,ExLH
486501502,SIP071,ExLH
608240515,SIP071,ExLH
5813129400,SIP071,ExLH
5901208687,SIP071,ExLH
728974338,SIP072,ExLH
357224041,SMP178,ExLH
579575594,SMP177,ExLH
642504699,SMP177,ExLH
694471913,SLP353,ExLH
695167675,SLP353,ExLH
695508439,SLP353,ExLH
725498630,SLP353,ExLH
787227302,SLP353,ExLH
5813022453,SLP353,ExLH
5813055865,LH032,LH
485745927,LH033,LH
573328325,LH159,LH
574706585,LH159,LH
605046401,LH159,LH
605732731,LH159,LH
575384259,LH157,LH
638136814,LH157,LH
360314997,LH152b,LH
391716661,LH152b,LH
5813096129,LH152b,LH
328542009,SLP042,LH
452323015,SLP042,LH
981547981,SLP042,LH
5901193715,SLP048,LH
451382570,SLP140,LH
455828904,SLP140,LH
5813047019,SLP140,LH
574027813,LH130,LH
760272462,LH130,LH
788519447,LH130,LH
666136034,LH132,LH
917497441,LH132,LH
361968122,LH136,LH
670219670,LH133,LH
330604760,LH134,LH
485093313,LH180,LH
5813040092,LH180,LH
541615964,LH181,LH
421310144,LH166b,LH
580585323,LH166b,LH
5812980272,LH166c,LH
329906396,LH166e,LH
360246734,LH166e,LH
360578907,LH166e,LH
5813010201,LH167a,LH
5813010284,LH167b,LH
5813011756,LH168,LH
359913782,LH169,LH
456427944,LH169,LH
580244242,LH169,LH
580926331,LH170,LH
360583021,LH172,LH
580926422,LH172,LH
580585459,LH173,LH
360914617,LH175,LH
580585427,LH176,LH
5901208044,LH176,LH
422635203,LH164,LH
5813049045,AVLP233,LH
636789034,LH257,LH
542652400,LH187,LH
608188506,LH187,LH
608534083,LH187,LH
5813010471,LH187,LH
329216050,LH189,LH
5813079244,LH189,LH
452673242,LH190,LH
541970375,LH190,LH
453031248,LH185,LH
515096130,LH185,LH
609233083,LH186,LH
732686529,LH183,LH
791307174,LH183,LH
853376855,LH183,LH
761636549,LH184,LH
5813013207,LH215,LH
1068523766,LH217,LH
698888718,LH212,LH
824380581,LH212,LH
361259770,LH245,LH
361959852,LH245,LH
424366776,LH245,LH
424706955,LH245,LH
5813047192,LH246,LH
1199181443,LH225,LH
