"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type","is.lhn","layer","ct.layer","classic.transmitter","other.transmitter"
792326206,"AVLP045a","ADL26","ADL26c","ADL26i_pct","FALSE","LHON","LHAD1g1","primary","primary","none","none","none","none",TRUE,FALSE,"LHAD1","LHAD1g1",TRUE,5.58281573498965,6,"unknown","unknown"
697476780,"LH007a","ADL02","ADL02n","ADL02n_pct","FALSE","LHON","LHAD1h1","primary","primary","11521511","good","none","none",TRUE,FALSE,"LHAD1","LHAD1h1",TRUE,3.53567735263702,4,"unknown","unknown"
5813055865,"LH008a","ADL02","ADL02o","ADL02oo_pct","FALSE","LHON","LHAD1f2","SLPal1","DPLal1","14566263","good","Cha-F-100223","good",FALSE,FALSE,"LHAD1","LHAD1f2",TRUE,3.49948078920042,3,"acetylcholine","acetylcoline"
485745927,"LH008b","ADL02","ADL02o","ADL02op_pct","FALSE","LHON","LHAD1f5","SLPal1","DPLal1","5675915","good","none","none",FALSE,FALSE,"LHAD1","LHAD1f5",TRUE,3.4923391215526,3,"acetylcholine","acetylcoline"
392307898,"LH008c","ADL02","ADL02o","ADL02p_pct","FALSE","LHON","LHAD1f1","SLPal1","DPLal1","3324315","poor","none","none",TRUE,FALSE,"LHAD1","LHAD1f1",TRUE,3.82091097308489,4,"acetylcholine","acetylcoline"
420956213,"LH008c","ADL02","ADL02o","ADL02p_pct","FALSE","LHON","LHAD1f1","SLPal1","DPLal1","5675915","medium","VGlut-F-600424","good",TRUE,FALSE,"LHAD1","LHAD1f1",TRUE,3.9002079002079,4,"acetylcholine","acetylcoline"
453350926,"LH008c","ADL02","ADL02o","ADL02p_pct","FALSE","LHON","LHAD1f1","SLPal1","DPLal1","2115466","good","VGlut-F-700522","good",TRUE,FALSE,"LHAD1","LHAD1f1",TRUE,3.66319082377477,4,"acetylcholine","acetylcoline"
705139000,"LH009a","ADL03","ADL03p","ADL03r_pct","FALSE","LHON","LHAD1c1","LHl2_medial","DPLal2_medial","3080183","good","none","none",TRUE,FALSE,"LHAD1","LHAD1c1b",TRUE,3.69885773624091,4,"acetylcholine","acetylcoline"
454706490,"LH010a","ADL03","ADL03l","ADL03oc_pct","FALSE","LHON","LHAD1a3","SLPal2_ventral","DPLal3_ventral","14843508","medium","120925c1","good",TRUE,FALSE,"LHAD1","LHAD1a3",TRUE,3.57261410788382,3,"acetylcholine","acetylcoline"
697132415,"LH010a","ADL03","ADL03l","ADL03oc_pct","FALSE","LHON","LHAD1a3","SLPal2_ventral","DPLal3_ventral","5675915","good","none","none",TRUE,FALSE,"LHAD1","LHAD1a3",TRUE,3.42311661506708,3,"acetylcholine","acetylcoline"
485430376,"LH011a","ADL03","ADL03k","ADL03k_a_pct","FALSE","LHON","LHAD1a2","SLPal2_ventral","DPLal3_ventral","1290929","medium","121206c0","good",TRUE,FALSE,"LHAD1","LHAD1a2c",TRUE,3.63854166666667,4,"acetylcholine","acetylcoline"
667132722,"LH011a","ADL03","ADL03k","ADL03k_a_pct","FALSE","LHON","LHAD1a2","SLPal2_ventral","DPLal3_ventral","11519370","good","L1812#2","medium",TRUE,FALSE,"LHAD1","LHAD1a2c",TRUE,3.65320910973085,4,"acetylcholine","acetylcoline"
514073078,"LH011b","ADL03","ADL03k","ADL03k_b_pct","FALSE","LHON","LHAD1a2","SLPal2_ventral","DPLal3_ventral","1290843","medium","Gad1-F-400257","good",TRUE,FALSE,"LHAD1","LHAD1a2b",TRUE,3.52659019812304,4,"acetylcholine","acetylcoline"
760604568,"LH011b","ADL03","ADL03k","ADL03k_b_pct","FALSE","LHON","LHAD1a2","SLPal2_ventral","DPLal3_ventral","2141315","good","L1812#1","good",TRUE,FALSE,"LHAD1","LHAD1a2b",TRUE,3.60103092783505,4,"acetylcholine","acetylcoline"
454045389,"LH011c","ADL03","ADL03k","ADL03k_c_pct","FALSE","LHON","LHAD1a1","SLPal2_ventral","DPLal3_ventral","11519370","good","L1740#8","good",TRUE,FALSE,"LHAD1","LHAD1a1",TRUE,4.16701030927835,4,"acetylcholine","acetylcoline"
483716037,"LH011c","ADL03","ADL03k","ADL03k_c_pct","FALSE","LHON","LHAD1a1","SLPal2_ventral","DPLal3_ventral","11519370","good","Cha-F-000258","medium",TRUE,FALSE,"LHAD1","LHAD1a1",TRUE,3.67216494845361,4,"acetylcholine","acetylcoline"
575806223,"LH011c","ADL03","ADL03k","ADL03k_c_pct","FALSE","LHON","LHAD1a1","SLPal2_ventral","DPLal3_ventral","11547595","medium","L1740#8","good",TRUE,FALSE,"LHAD1","LHAD1a1",TRUE,3.58239508700102,4,"acetylcholine","acetylcoline"
573328325,"LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHON","LHAD1c3","LHl2_medial","DPLal2_medial","4181288","medium","Gad1-F-700076","good",FALSE,FALSE,"LHAD1","LHAD1c3",TRUE,3.73819301848049,4,"acetylcholine","acetylcoline"
574706585,"LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHON","LHAD1c3","LHl2_medial","DPLal2_medial","7092087","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1c3",TRUE,3.63608562691131,4,"acetylcholine","acetylcoline"
605046401,"LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHON","LHAD1c3","LHl2_medial","DPLal2_medial","none","none","none","none",FALSE,FALSE,"LHAD1","LHAD1c3",TRUE,3.59228362877998,4,"acetylcholine","acetylcoline"
605732731,"LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHON","LHAD1c3","LHl2_medial","DPLal2_medial","5030032","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1c3",TRUE,3.99795291709314,4,"acetylcholine","acetylcoline"
511617404,"LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHON","LHAD1d1","LHl2_medial","DPLal2_medial","2402951","medium","none","none",TRUE,FALSE,"LHAD1","LHAD1d1",TRUE,3.58127572016461,4,"acetylcholine","acetylcoline"
