"bodyid","pre","post","upstream","downstream","status","statusLabel","cropped","name","type","cellBodyFiber","voxels","soma","class","cell.type","connectivity.type","layer","ct.layer","ItoLee_Hemilineage","pnt","classic.transmitter"
693927941,406,1552,1552,2401,"Traced","Roughly traced",FALSE,"ALIN1_R","ALIN1","PDM13",2072613254,TRUE,"TON","ALIN1","ALIN1",4.00517598343685,4,"DM1","unknown","unknown"
704699661,295,1153,1153,1623,"Traced","Roughly traced",FALSE,"ALIN1_R","ALIN1","PDM13",2026363558,TRUE,"TON","ALIN1","ALIN1",3.84751037344398,4,"DM1","unknown","unknown"
1036504644,307,459,459,2430,"Traced","Roughly traced",FALSE,"ALIN3_R","ALIN3","PVL04",961035642,TRUE,"TON","ALIN3","ALIN3",4.41152263374486,4,"VLPl&p1_posterior","unknown","unknown"
735091236,314,501,501,2420,"Traced","Roughly traced",FALSE,"ALIN3_R","ALIN3","PVL04",1021703998,TRUE,"TON","ALIN3","ALIN3",4.5607476635514,4,"VLPl&p1_posterior","unknown","unknown"
1813089300,222,443,443,1622,"Traced","Roughly traced",FALSE,"AOTU032_R","AOTU032","AVL01",315592755,FALSE,"WEDPN","AOTU032","AOTU032",5.29375,5,"WEDa2","unknown","GABA"
1603054747,320,466,466,2277,"Traced","Roughly traced",FALSE,"AOTU032_R","AOTU032","AVL01",393313304,FALSE,"WEDPN","AOTU032","AOTU032",5.12538860103627,5,"WEDa2","unknown","GABA"
1441331113,212,566,566,1595,"Traced","Roughly traced",FALSE,"AOTU032_R","AOTU032","AVL01",397740675,FALSE,"WEDPN","AOTU032","AOTU032",5.1353305785124,5,"WEDa2","unknown","GABA"
1354774257,268,517,517,1838,"Traced","Roughly traced",FALSE,"AOTU034_R","AOTU034","AVL09",368859642,FALSE,"WEDPN","AOTU034","AOTU034",5.16873706004141,5,"new_clone_3","unknown","unknown"
540290380,243,453,453,1962,"Traced","Roughly traced",FALSE,"AOTU043_R","AOTU043","PDL24",594831469,TRUE,"WEDPN","AOTU043","AOTU043",5.14629049111808,5,"VLPd&p1_posterior","unknown","acetylcholine"
1378574332,327,804,804,2666,"Traced","Roughly traced",FALSE,"AOTU043_R","AOTU043","PDL24",746603335,TRUE,"WEDPN","AOTU043","AOTU043",4.9557157569516,5,"VLPd&p1_posterior","unknown","acetylcholine"
917493211,525,985,985,3160,"Traced","Roughly traced",FALSE,"AOTU065(SCB052)_R","AOTU065",NA,975099458,TRUE,"LHN","AOTU065","AOTU065",6.04830421377184,6,"unknown","unknown","unknown"
758674661,477,1364,1364,4899,"Traced","Roughly traced",FALSE,"ATL003_R","ATL003","ADL29",1151195317,TRUE,"TON","ATL003","ATL003",6.03305785123967,6,"SIPa1_dorsal","unknown","unknown"
729660692,142,376,376,1341,"Traced","Roughly traced",FALSE,"ATL009_R","ATL009","AVM07",452119098,TRUE,"TON","ATL009","ATL009",5.67835051546392,6,"EBa1","unknown","GABA"
729328076,143,349,349,1346,"Traced","Roughly traced",FALSE,"ATL009_R","ATL009","AVM07",443336648,TRUE,"TON","ATL009","ATL009",5.46049896049896,6,"EBa1","unknown","GABA"
5813012217,170,359,359,1727,"Traced","Roughly traced",FALSE,"ATL009_R","ATL009","AVM07",518944555,TRUE,"TON","ATL009","ATL009",5.80434782608696,6,"EBa1","unknown","GABA"
5813049491,634,1225,1225,4980,"Traced","Roughly traced",FALSE,"ATL011_R","ATL011","PDL05",1285484132,TRUE,"TON","ATL011","ATL011",5.58299180327869,6,"DL1_dorsal","unknown","acetylcholine"
731176276,623,1277,1277,4863,"Traced","Roughly traced",FALSE,"ATL011(PDL05)_L","ATL011",NA,922667124,FALSE,"TON","ATL011","ATL011",6.14431934493347,6,"unknown","unknown","unknown"
728991288,635,1249,1249,4538,"Traced","Roughly traced",FALSE,"ATL012_R","ATL012","PDL05",1077842161,TRUE,"TON","ATL012","ATL012",5.64152892561984,6,"DL1_dorsal","unknown","acetylcholine"
702200873,578,751,751,4229,"Traced","Roughly traced",FALSE,"ATL012(PDL05)_L","ATL012",NA,692538629,FALSE,"TON","ATL012","ATL012",6.12130479102956,6,"unknown","unknown","unknown"
5813041251,608,1143,1143,4264,"Traced","Roughly traced",FALSE,"ATL012_R","ATL012","PDL05",1055849738,TRUE,"TON","ATL012","ATL012",5.76200204290092,6,"DL1_dorsal","unknown","acetylcholine"
733235394,596,841,841,4271,"Traced","Roughly traced",FALSE,"ATL012(PDL05)_L","ATL012",NA,711585111,FALSE,"TON","ATL012","ATL012",6.13163265306122,6,"unknown","unknown","unknown"
5813078068,580,1242,1242,4605,"Traced","Roughly traced",FALSE,"ATL015_R","ATL015","PDL06",1332405706,TRUE,"WEDPN","ATL015","ATL015",5.76116303219107,6,"SLPad1_posterior","unknown","unknown"
758636869,114,298,298,802,"Traced","Roughly traced",FALSE,"ATL019_R","ATL019","PDL23",277059369,TRUE,"TON","ATL019","ATL019",4.2672147995889,4,"new_clone_1","unknown","unknown"
694813336,113,235,235,878,"Traced","Roughly traced",FALSE,"ATL020_R","ATL020","PDL23",200820224,TRUE,"TON","ATL020","ATL020",3.71929824561404,4,"new_clone_1","unknown","unknown"
787909611,122,229,229,963,"Traced","Roughly traced",FALSE,"ATL020_R","ATL020","PDL23",284684591,TRUE,"TON","ATL020","ATL020",3.93011305241521,4,"new_clone_1","unknown","unknown"
882487140,531,1477,1477,3999,"Traced","Roughly traced",FALSE,"ATL030_R","ATL030","PDM14",1526136947,TRUE,"TON","ATL030","ATL030",5.53112033195021,6,"DM1","unknown","unknown"
