"pnt","cbf","ItoLee_Hemilineage","classic.transmitter","count"
"LHPV4","PDL08","LHp1","glutamate",99
"LHAV4","ADL01","LHl1_lateral","GABA",96
"LHAV2","ADL04","LHa2","acetylcholine",79
"LHPV6","PDL10","LHp2_lateral","unknown",78
"LHAV5","ADL11","VPNl&d1_dorsal","unknown",69
"LHAV2","AVL07","SLPal1","acetylcholine",62
"LHAV4","ADL05","LHl4_lateral","GABA",60
"LHAV3","ADL10","SLPpl3_lateral","unknown",60
"LHAV6","ADL13","LHa1_medial","acetylcholine",56
"LHPD3","PDL13","LHd2_dorsal","glutamate",52
"LHAD3","ADL17","LHd1","acetylcholine",49
"LHPV2","PVL03","VPNp&v1_posterior","GABA",49
"LHPV4","PDL16","SLPp&v1_posterior","glutamate",49
"LHAD1","ADL15","LHl2_medial","acetylcholine",45
"LHPV5","PDL19","DL2_lateral","acetylcholine",37
"LHPV5","PDL22","DL1_dorsal","acetylcholine",36
"LHPV6","PDL14","LHp2_medial","acetylcholine",34
"LHAD1","ADL03","SLPal2_ventral","acetylcholine",32
"LHPD2","PDL06","VLPd&p1_dorsal","acetylcholine",31
"LHPV2","PDL09","VLPp&l1_dorsal","unknown",27
"LHPV5","PDL23","DL2_medial","unknown",26
"LHPD2","PDL15","VLPd&p1_dorsal","acetylcholine",25
"LHAV1","AVL02","VLPl&p1_anterior","acetylcholine",22
"LHAV7","ADL19","primary","unknown",20
"LHAD1","ADL02","SLPal1","acetylcholine",19
"LHWEDT","AVL01","WEDa2","GABA",18
"LHAV2","ADL22","SLPav3","unknown",17
"LHAV6","ADL16","LHa1_medial","acetylcholine",16
"LHPV3","PVL10","VPNp1_posterior","acetylcholine",16
"LHAV3","AVL18","SLPav1_lateral","unknown",15
"LHPD4","PDL11","SLPpm1","unknown",15
"LHAV2","AVL04","SLPa&l1_lateral","unknown",13
"LHAV3","PDL17","SLPpl3_lateral","unknown",13
"LHAD2","ADL12","VLPd1","unknown",13
"LHPD1","PDL07","SLPad1_posterior","unknown",12
"LHPV5","PDL05","DL1_dorsal","acetylcholine",11
"LHAV3","ADL24","SLPpl3_lateral","unknown",11
"LHAD2","ADL18","SLPad1","unknown",10
"LHPV2","PDL12","LHl4_posterior","unknown",8
"LHAV9","AVM13","unknown","unknown",8
"LHWEDT","ADM06","WEDd1","unknown",8
"LHAV6","ADL09","SIPa1_ventral","glutamate",7
"LHAV7","AVL06","primary","unknown",7
"LHPV6","PDL20","unknown","unknown",7
"LHAV1","AVL10","VLPl&d1_lateral","unknown",7
"LHAV7","AVL08","primary","unknown",6
"LHPV1","PVL17","unknown","unknown",6
"LHPV10","PDM09","SIPp1","unknown",5
"LHPV7","PVL04","VLPl&p1_posterior","unknown",5
"LHPV8","PVL11","primary","unknown",4
"LHAV3","SCB","SLPpl3_lateral","unknown",4
"LHPD4","PDM30","SLPpm1","unknown",4
"LHAD3","ADL14","unknown","unknown",4
"LHPD5","PDM10","VLPd&p1_anterior","unknown",4
"LHPD5","PDM11","VLPd&p1_anterior","unknown",4
"LHPV2","PVL06","DL1_ventral","unknown",3
"LHAV5","ADL07","SLPav2_dorsal","unknown",3
"LHPD5","PDM07","SLPpm3","unknown",3
"LHAV6","ADL23","LHa1_medial","acetylcholine",2
"LHPV2","PVL01","VPNp&v1_posterior","GABA",2
"LHPV12","PVM10","DM4","unknown",2
"LHPV13","PVM04","DM6","unknown",2
"LHWEDT","AVL09","primary","unknown",2
"LHWEDT","AVM19","primary","unknown",2
"LHPV11","PVM14","primary","unknown",2
"LHAD2","ADL27","SLPad1","unknown",2
"LHAV1","AVL03","unknown","unknown",2
"LHPD5","PDM29","VLPd&p1_anterior","unknown",2
"LHWEDT","AVM06","ALlv1","acetylcholine",1
"LHAD4","ADL28","LHd1","acetylcholine",1
"LHPV6","PDL27","LHp2_medial","acetylcholine",1
"LHPD2","PDL26","VLPd&p1_dorsal","acetylcholine",1
"LHPV10","PDM27","DM1","unknown",1
"LHPV10","PDM06","DM3","unknown",1
"LHPV9","PDM08","DM6","unknown",1
"LHPV9","PVM09","DM6","unknown",1
"LHAV6","ADL20","primary","unknown",1
"LHAD1","ADL26","primary","unknown",1
"LHAD5","ADM02","primary","unknown",1
"LHAV8","AVL23","unknown","unknown",1
"LHPV6","PDL28","unknown","unknown",1
"LHPD4","PDM24","unknown","unknown",1
"LHPV1","PVL02","unknown","unknown",1
