skid,paper,pub_name,proposed_name
6852116,Marin et al 2020,AV3f2#1,AV3r1#1
1309241,Marin et al 2020,AV3f2#2,AV3r1#2
11524452,Marin et al 2020,DN1-l,DN1-l
4129363,Marin et al 2020,DN1a#1,DN1a#1
3973434,Marin et al 2020,DN1a#2,DN1a#2
3094186,Marin et al 2020,DNp44,DNp44
11543519,Marin et al 2020/ Bates and Schlegel et al 2020/ Frechter et al 2019/ Dolan et al 2019,AV2d1#1,LHAV2d1#1
11545803,Marin et al 2020/ Bates and Schlegel et al 2020,AV3e1,LHAV3f1#1
2315173,Marin et al 2020,AV3f1,LHAV3q1#1
3439570,Marin et al 2020,AV4c3#1,LHAV4i1#1
57110,Marin et al 2020,AV7d1#1,LHAV8a1#1
5982276,Marin et al 2020,PD4i3,LHPD5a1#1
369583,Marin et al 2020,PV9e1#1,LHPV10c1#1
79579,Marin et al 2020,PV2a1#6,LHPV2a1#1
6292583,Marin et al 2020,PV4c1#1,LHPV4c1#1
3968249,Marin et al 2020,PV4c1#2,LHPV4c1#2
1120955,Marin et al 2020,PV4c1#3,LHPV4c1#3
5605174,Marin et al 2020,PV4c1#4,LHPV4c3#1
1091854,Marin et al 2020,PV4c1#5,LHPV4c4#1
4044728,Marin et al 2020,PV4e3#1,LHPV4h1#1
2466931,Marin et al 2020,PV6c1#2,LHPV6c1#1
8808525,Marin et al 2020,PV6l1#6,LHPV6f1#2
5824712,Marin et al 2020,PV6l1#4,LHPV6f1#3
1868440,Marin et al 2020,PD2c1#1,LHPV6g1#1
9069835,Marin et al 2020,PV6h1#1,LHPV6h1#1
5062598,Marin et al 2020,PV1b2#1,LHPV6k2#1
11210831,Marin et al 2020,PD4i2#1,PD5g1#1
4294123,Marin et al 2020,PD4i2#2,PD5g1#2
9951834,Marin et al 2020,PD4i2#3,PD5g1#3
8820702,Marin et al 2020,PD4i2#4,PD5g1#4
30571,Marin et al 2020,PV1b2#1,PPL202#1
4214681,Marin et al 2020,PV6l1#1,PV6r1#1
4182361,Marin et al 2020,PV6l1#2,PV6r1#2
4182148,Marin et al 2020,PV6l1#3,PV6r1#3
11128057,Marin et al 2020,PV6l1#5,PV6r1#4
8880705,Marin et al 2020,PV7c1#1,PV7c1#1
6292328,Marin et al 2020,PV6g1#2,SLP364#1
6292134,Marin et al 2020,PV6g1#1,SLP364#2
