"old.cell.type","cell.type","type","coreLH","linecode","no.cells","NT"
"101","AV5a1","ON","TRUE","L1594","3±0","ChA"
"102","","","","","",""
"104","","","","","",""
"113","PD2e2","ON","FALSE","","","Vglut"
"114A","PV4b3","ON","TRUE","L509","1±0",""
"114B","","","","","",""
"116A","PD3a1","LN","TRUE","L141","5±1","Vglut"
"116B","PD3a2","LN","TRUE","L17","9±2","Vglut"
"11A","PD2a1/PD2b1","ON/ON","TRUE/TRUE","L989","6±0","ChA"
"11A","PD2a1/PD2b1","ON/ON","TRUE/TRUE","L991","7","ChA"
"120","PD2f1","ON","TRUE","MB072C","5±1","Vglut"
"123","PV3f1","ON","TRUE","L578","4","ChA"
"123","PV3f1","ON","TRUE","L206","6±1","ChA"
"125","AV6c1","ON","FALSE","L409","6","Vglut"
"125","AV6c1","ON","FALSE","L2382","4±2","Vglut"
"12A","PV5c1","ON","TRUE","L90","4","ChA"
"12A","PV5c1","ON","TRUE","L719","8±1","ChA"
"12C","PV5c2","ON","TRUE","L807","5±1","ChA"
"132","","","","","",""
"134B","","","","","",""
"137","LO-PN2","IN","NA","L18","3±1","ChA"
"138","PV2c1","ON","TRUE","L1328","7","ChA, GABA"
"138","PV2c1","ON","TRUE","L567","10±1","ChA, GABA"
"139","PLP-PN1","IN","NA","L260","2±1","ChA"
"140","","","","","",""
"141","PV5k1","ON","FALSE","L528","4±1","Vglut"
"142","","ON","","","","Unknown"
"143","PPL2ab-PN1","IN/ON","NA","","","GABA"
"144","","","","","",""
"145","PV12a1","IN/ON","TRUE","L2033","1±0","Unknown"
"147","AV7a1","ON","TRUE","L2001","4±1","ChA, Vglut"
"150","","","","","",""
"151A","VNC-PN1","IN","","","","ChA"
"151B","","IN","","L2201","1±1","Cha"
"153","","","","","","GABA, Vglut"
"154","PV6c1","ON","TRUE","","",""
"155","","","","","",""
"16A","AD1d1","ON","TRUE","L475","8±1","ChA"
"16B","AD1b2","ON","TRUE","L1395","8±2","ChA"
"16C","AD1a2","ON","TRUE","L1721","5±0","ChA"
"16D","AD1a1/AD1f1/notLHproper","ON/ON/notLHproper","TRUE/TRUE/FALSE","L1740","6±1","ChA"
"16F","AD1e1","ON","TRUE","L1614","5±0","ChA"
"17A","AV1a3","ON","TRUE","L1543","6±1","ChA"
"17B","AV1a2","ON","TRUE","","",""
"17C","AV1a1/AV1a2","ON/ON","TRUE/TRUE","L1358","4±1","ChA"
"1A","AV4b4","ON","TRUE","L412","7±1","GABA"
"1B","","","","L420","6±1","GABA"
"1B","","","","L240","9","GABA"
"1B1","AV4a3/AV4a4","LN/LN","TRUE/TRUE","","",""
"1B2","AV4c1/AV4c2","ON/ON","TRUE/TRUE","","",""
"1BX","AV4a1","LN","TRUE","","",""
"1C","AV6b3","ON","NA","L180","6±1","GABA"
"1D","AV4a1","LN","TRUE","L788","4±1","GABA"
"1E","","","","L283","4±1","GABA"
"1G","AV4b8","ON","FALSE","L191","7±1","GABA"
"1H","","","","L1479","4±1",""
"2","","","","L2338","8±1","Unknown"
"24","","","","","","ChA, GABA"
"27A","AV2a1/AV2a4","ON/ON","TRUE/TRUE","L629","4±0","ChA"
"27A","AV2a1/AV2a4","ON/ON","TRUE/TRUE","L907","3","ChA"
"27C","","","","L325","6±1","Unknown"
"29B","PV6a3","ON","TRUE","L2193","5±1","ChA"
"29C","","","","L188","6±2","ChA"
"29D","","","","L979","4±1","Vglut"
"29E","PV4b1/PV4b2","ON/ON","TRUE/TRUE","L1827","11±2","Vglut"
"29G","PV4c3","ON","TRUE","L1959","7±1","Vglut"
"3A","PV5a1/PV5a2","ON/ON","TRUE/TRUE","L378","12±1","ChA"
"3B","PV5b2","ON","TRUE","L1295","7","ChA"
"3B","PV5b2","ON","TRUE","L803","11","ChA"
"3B","PV5b2","ON","TRUE","L168","7","ChA"
"3C","PV5b1","ON","TRUE","MB036B","11±2","ChA"
"3D","PV5a3","ON","TRUE","L163","8±1","ChA"
"3E","PV5g1/PV5g2","ON/ON","TRUE/TRUE","L374","5±1","ChA"
"3F","PV5b3","ON","TRUE","L433","7","Unknown"
"3F","PV5b3","ON","TRUE","L849","7±1","Unknown"
"4","","","","","",""
"4A","PV4a1/PV4a2/PV4a3/PV4a4/PV4a5","LN/LN/LN/LN/LN","TRUE/TRUE/TRUE/TRUE/TRUE","L1735","8±1","Vglut"
"4E","PV4d1","ON","TRUE","L2233","9±1","Vglut"
"4G","PV4a12/PV4c2","LN/LN","TRUE/TRUE","L1850","3±1","Vglut"
"4I","PV4a10/PV4a9","LN/LN","TRUE/TRUE","L2223","3±1","Unknown"
"51B","WED-PN6","IN/ON","NA","L85","3±0","Unknown"
"51C","","IN","","L279","10±2","ChA, GABA"
"52","","","","","",""
"54A","PV2a1/PV2b1","LN/ON","TRUE/TRUE","L544","7","GABA"
"54A","PV2a1/PV2b1","LN/ON","TRUE/TRUE","L86","5","GABA"
"54A","PV2a1/PV2b1","LN/ON","TRUE/TRUE","L258","8","GABA"
"54B","","","","","","Unknown"
"54C","PV2d1","ON","FALSE","L1925","4±1","GABA"
"6","","","","","",""
"7","","","","","",""
"70A","WED-PN3","IN/ON","NA","L1518","5±1","GABA"
"70B","WED-PN5","IN","NA","MB295B","3","ChA, GABA"
"70B","WED-PN5","IN","NA","L1337","6±1","ChA, GABA"
"70C","WED-PN1","IN","NA","L771","6±1","GABA"
"70D","","IN","","L1531","5±1","ChA, GABA"
"70E","WED-PN4","IN/ON","","L1940","7±1","ChA, GABA"
"76B","PV4c1","ON","TRUE","L2392","5±1","Vglut"
"7A","AV6a1","ON","TRUE","L1139","7±2","ChA"
"7B","","","","","",""
"84","AV2b1/AV2b2","ON/ON","TRUE/TRUE","L2087","3±1","ChA, GABA"
"85","MB-C1","ON","TRUE","MB380B","3±1","GABA"
"8A","AD3b1","ON","TRUE","L1284","6±1","ChA"
"8A","AD3b1","ON","TRUE","L20","4","ChA"
"8B","","","","","","Unknown"
"8C","","","","","",""
"93","","","","","",""
"98","","","","L2158","13±1","ChA"
