bodyid,old.name,citation,name
5813078563,LHPV5k1,Dolan et al. 2019,
732034061,LHPV5k1,Dolan et al. 2019,
5813061116,LHPV5k1,Dolan et al. 2019,
8927505,AVLP-PN1,Dolan et al. 2019,
608166388,GNG-PN1,Dolan et al. 2019,
5812993257,LO-PN1,Dolan et al. 2019,
1067223806,LO-PN2,Dolan et al. 2019,
1663021115,VNC-PN1,Dolan et al. 2019,
542751938,PV9a1,Frechter et al. 2019,DNp44
485430434,AD1e1,Frechter et al. 2019,aSP-g1a
887148641,AD1e1,Frechter et al. 2019,aSP-g1a
949534412,AD1e1,Frechter et al. 2019,aSP-g1a
610916994,AD1e1,Frechter et al. 2019,aSP-g1a
485775679,AD1e1,Frechter et al. 2019,aSP-g1a
855414220,AD1e1,Frechter et al. 2019,aSP-g1b
641278400,AD1e1,Frechter et al. 2019,aSP-g1b
5813115796,AD1e1,Frechter et al. 2019,aSP-g1b
421992069,AD1e1,Frechter et al. 2019,aSP-g1b
329919036,AD1e2,Frechter et al. 2019,aSP-g2a
485430336,AD1e2,Frechter et al. 2019,aSP-g2b
421650982,AD1e2,Frechter et al. 2019,aSP-g2b
