"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt"
"792326206","AVLP045a","ADL26","ADL26c","ADL26i_pct","FALSE","LHN","LHAD1g1","primary","primary","none","none","none","none",TRUE,FALSE,"LHAD1"
"697476780","LH007a","ADL02","ADL02n","ADL02n_pct","FALSE","LHN","LHAD1h1","primary","primary","11521511","good","none","none",TRUE,FALSE,"LHAD1"
"705139000","LH009a","ADL03","ADL03p","ADL03r_pct","ADL15","LHN","LHAD1c1a","LHl2_medial","DPLal2_medial","3080183","good","none","none",TRUE,FALSE,"LHAD1"
"454706490","LH010a","ADL03","ADL03l","ADL03oc_pct","FALSE","LHN","LHAD1a4","SLPal2_ventral","DPLal3_ventral","14843508","medium","L1740#2","medium",TRUE,FALSE,"LHAD1"
"697132415","LH010a","ADL03","ADL03l","ADL03oc_pct","FALSE","LHN","LHAD1a4","SLPal2_ventral","DPLal3_ventral","5675915","good","none","none",TRUE,FALSE,"LHAD1"
"485430376","LH011a","ADL03","ADL03k","ADL03k_a_pct","FALSE","LHN","LHAD1a2a","SLPal2_ventral","DPLal3_ventral","1290929","medium","121206c0","good",TRUE,FALSE,"LHAD1"
"667132722","LH011a","ADL03","ADL03k","ADL03k_a_pct","FALSE","LHN","LHAD1a2a","SLPal2_ventral","DPLal3_ventral","11519370","good","none","none",TRUE,FALSE,"LHAD1"
"514073078","LH011b","ADL03","ADL03k","ADL03k_b_pct","FALSE","LHN","LHAD1a2b","SLPal2_ventral","DPLal3_ventral","1290843","medium","Gad1-F-400257","good",TRUE,FALSE,"LHAD1"
"760604568","LH011b","ADL03","ADL03k","ADL03k_b_pct","FALSE","LHN","LHAD1a2b","SLPal2_ventral","DPLal3_ventral","2141315","good","none","none",TRUE,FALSE,"LHAD1"
"454045389","LH011c","ADL03","ADL03k","ADL03k_c_pct","FALSE","LHN","LHAD1a1","SLPal2_ventral","DPLal3_ventral","11519370","good","L1740#8","good",TRUE,FALSE,"LHAD1"
"483716037","LH011c","ADL03","ADL03k","ADL03k_c_pct","FALSE","LHN","LHAD1a1","SLPal2_ventral","DPLal3_ventral","11519370","good","Cha-F-000258","medium",TRUE,FALSE,"LHAD1"
"575806223","LH011c","ADL03","ADL03k","ADL03k_c_pct","FALSE","LHN","LHAD1a1","SLPal2_ventral","DPLal3_ventral","11547595","medium","L1740#8","good",TRUE,FALSE,"LHAD1"
"573328325","LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHN","LHAD1c3","LHl2_medial","DPLal2_medial","4181288","medium","none","none",FALSE,FALSE,"LHAD1"
"574706585","LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHN","LHAD1c3","LHl2_medial","DPLal2_medial","7092087","medium","none","none",FALSE,FALSE,"LHAD1"
"605046401","LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHN","LHAD1c3","LHl2_medial","DPLal2_medial","none","none","none","none",FALSE,FALSE,"LHAD1"
"605732731","LH037a","ADL15","ADL15e","ADL15e_pct","FALSE","LHN","LHAD1c3","LHl2_medial","DPLal2_medial","5030032","medium","none","none",FALSE,FALSE,"LHAD1"
"511617404","LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHN","LHAD1d1","LHl2_medial","DPLal2_medial","2402951","medium","none","none",TRUE,FALSE,"LHAD1"
"574688277","LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHN","LHAD1d1","LHl2_medial","DPLal2_medial","2402951","medium","none","none",TRUE,FALSE,"LHAD1"
"638472166","LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHN","LHAD1d1","LHl2_medial","DPLal2_medial","11556378","poor","none","none",TRUE,FALSE,"LHAD1"
"5813035242","LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHN","LHAD1d1","LHl2_medial","DPLal2_medial","1811499","medium","none","none",TRUE,FALSE,"LHAD1"
"575384259","LH039a","ADL15","ADL15h","ADL15n_pct","FALSE","LHN","LHAD1b8","LHl2_medial","DPLal2_medial","3080225","medium","none","none",FALSE,FALSE,"LHAD1"
"638136814","LH039a","ADL15","ADL15h","ADL15n_pct","FALSE","LHN","LHAD1b8","LHl2_medial","DPLal2_medial","3729932","medium","none","none",FALSE,FALSE,"LHAD1"
"451995734","LH040a","ADL15","ADL15i","ADL15g_e_pct","FALSE","LHN","LHAD1b3a","LHl2_medial","DPLal2_medial","5031366","good","L2278#2","good",FALSE,FALSE,"LHAD1"
"611352588","LH040a","ADL15","ADL15i","ADL15g_e_pct","FALSE","LHN","LHAD1b3a","LHl2_medial","DPLal2_medial","3075158","good","none","none",FALSE,FALSE,"LHAD1"
"425471220","LH040b","ADL15","ADL15i","ADL15g_f_pct","FALSE","LHN","LHAD1b3b","LHl2_medial","DPLal2_medial","5031366","medium","none","none",FALSE,FALSE,"LHAD1"
"452336897","LH040b","ADL15","ADL15i","ADL15g_f_pct","FALSE","LHN","LHAD1b3b","LHl2_medial","DPLal2_medial","6852364","medium","none","none",FALSE,FALSE,"LHAD1"
"512765816","LH040b","ADL15","ADL15i","ADL15g_f_pct","FALSE","LHN","LHAD1b3b","LHl2_medial","DPLal2_medial","2842610","medium","none","none",FALSE,FALSE,"LHAD1"
"543321179","LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHN","LHAD1b2a","LHl2_medial","DPLal2_medial","5030649","good","120714c4","good",TRUE,FALSE,"LHAD1"
"573683438","LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHN","LHAD1b2a","LHl2_medial","DPLal2_medial","4744251","good","none","none",TRUE,FALSE,"LHAD1"
"574040939","LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHN","LHAD1b2a","LHl2_medial","DPLal2_medial","4744251","medium","none","none",TRUE,FALSE,"LHAD1"
"5813052205","LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHN","LHAD1b2a","LHl2_medial","DPLal2_medial","3080225","good","none","none",TRUE,FALSE,"LHAD1"
"544107335","LH040d","ADL15","ADL15i","ADL15p_a_pct","FALSE","LHN","LHAD1b2b","LHl2_medial","DPLal2_medial","3080086","good","none","none",TRUE,FALSE,"LHAD1"
"673426956","LH040d","ADL15","ADL15i","ADL15p_a_pct","FALSE","LHN","LHAD1b2b","LHl2_medial","DPLal2_medial","3075158","good","none","none",TRUE,FALSE,"LHAD1"
"606461310","LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2c","LHl2_medial","DPLal2_medial","4970161","good","L1539#3","good",TRUE,FALSE,"LHAD1"
"762274975","LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2c","LHl2_medial","DPLal2_medial","1703751","good","none","none",TRUE,FALSE,"LHAD1"
"769199010","LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2c","LHl2_medial","DPLal2_medial","3080086","medium","none","none",TRUE,FALSE,"LHAD1"
"824349873","LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2c","LHl2_medial","DPLal2_medial","1703751","good","none","none",TRUE,FALSE,"LHAD1"
"5813013202","LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2c","LHl2_medial","DPLal2_medial","2969221","poor","none","none",TRUE,FALSE,"LHAD1"
"483017681","LH040f","ADL15","ADL15i","ADL15q_pct","FALSE","LHN","LHAD1b2d","LHl2_medial","DPLal2_medial","3080086","good","none","none",TRUE,TRUE,"LHAD1"
"729867599","LH040f","ADL15","ADL15i","ADL15q_pct","FALSE","LHN","LHAD1c1b","LHl2_medial","DPLal2_medial","2969221","good","fru-M-600162","good",TRUE,TRUE,"LHAD1"
"5813022459","LH040f","ADL15","ADL15i","ADL15q_pct","FALSE","LHN","LHAD1b2d","LHl2_medial","DPLal2_medial","3078257","good","none","none",TRUE,TRUE,"LHAD1"
"424776680","LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","12252260","poor","none","none",TRUE,FALSE,"LHAD1"
"424780893","LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","6520279","good","none","none",TRUE,FALSE,"LHAD1"
"424781115","LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","6837598","medium","none","none",TRUE,FALSE,"LHAD1"
"425121959","LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","7803442","medium","none","none",TRUE,FALSE,"LHAD1"
"551298257","LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","2720102","good","none","none",TRUE,FALSE,"LHAD1"
"360314997","LH041b","ADL15","ADL15k","ADL15i_b_pct","FALSE","LHN","LHAD1d2","LHl2_medial","DPLal2_medial","2402951","good","L2446#1","good",FALSE,FALSE,"LHAD1"
"391716661","LH041b","ADL15","ADL15k","ADL15i_b_pct","FALSE","LHN","LHAD1d2","LHl2_medial","DPLal2_medial","2402951","good","none","none",FALSE,FALSE,"LHAD1"
"5813096129","LH041b","ADL15","ADL15k","ADL15i_b_pct","FALSE","LHN","LHAD1d2","LHl2_medial","DPLal2_medial","2402951","medium","none","none",FALSE,FALSE,"LHAD1"
