"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"421620469","LH045a","ADL17","ADL17d","ADL17b_a_pct",FALSE,"LHN","LHAD3f1","LHd1","DPLd","none","none","none","none",TRUE,FALSE,"LHAD3","LHAD3f1"
"547457113","LH045a","ADL17","ADL17d","ADL17b_a_pct",FALSE,"LHN","LHAD3f1","LHd1","DPLd","none","none","none","none",TRUE,FALSE,"LHAD3","LHAD3f1"
"604700963","LH045a","ADL17","ADL17d","ADL17b_a_pct",FALSE,"LHN","LHAD3f1","LHd1","DPLd","none","none","none","none",TRUE,FALSE,"LHAD3","LHAD3f1"
"329210713","LH045b","ADL17","ADL17d","ADL17b_b_pct",FALSE,"LHN","LHAD3f1","LHd1","DPLd","none","none","none","none",TRUE,TRUE,"LHAD3","LHAD3f1"
"329215976","LH045b","ADL17","ADL17d","ADL17b_b_pct",FALSE,"LHN","LHAD3f1","LHd1","DPLd","none","none","none","none",TRUE,TRUE,"LHAD3","LHAD3f1"
"360238069","LH045b","ADL17","ADL17d","ADL17b_b_pct",FALSE,"LHN","LHAD3f1","LHd1","DPLd","none","none","none","none",TRUE,TRUE,"LHAD3","LHAD3f1"
"641291034","LH045b","ADL17","ADL17d","ADL17b_b_pct",FALSE,"LHN","LHAD3d1","LHd1","DPLd","none","none","none","none",TRUE,TRUE,"LHAD3","LHAD3d1"
"485093313","LH045c","ADL17","ADL17d","ADL17oa_pct",FALSE,"LHN","LHAD3d2","LHd1","DPLd","none","none","none","none",FALSE,TRUE,"LHAD3","LHAD3d2"
"5813040092","LH045c","ADL17","ADL17d","ADL17oa_pct",FALSE,"LHN","LHAD3d5","LHd1","DPLd","none","none","none","none",FALSE,TRUE,"LHAD3","LHAD3d5"
"541615964","LH045d","ADL17","ADL17d","ADL17t_pct",FALSE,"LHN","LHAD3d4","LHd1","DPLd","none","none","none","none",FALSE,FALSE,"LHAD3","LHAD3d4"
"457516218","LH045e","ADL17","ADL17d","ADL17u_pct",FALSE,"LHN","LHAD3b1","LHd1","DPLd","none","none","none","none",TRUE,FALSE,"LHAD3","LHAD3b1"
"361269864","LH046a","ADL17","ADL17f","ADL17d_a_pct",FALSE,"LHN","LHAD3b1","LHd1","DPLd","none","none","none","none",TRUE,FALSE,"LHAD3","LHAD3b1"
"457516092","LH046a","ADL17","ADL17f","ADL17d_a_pct",FALSE,"LHN","LHAD3b1","LHd1","DPLd","none","none","L1828#1","good",TRUE,FALSE,"LHAD3","LHAD3b1"
