"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt"
"5901196932","LH013a","ADL04","ADL04l","ADL04k_pct","ADL10^LBDL6","LHN","LHAV3k1","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"390254536","LH014a","ADL04","ADL04f","ADL04f_pct","ADL10^LBDL6","LHN","LHAV3b8a","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"5813057660","LH014a","ADL04","ADL04f","ADL04f_pct","ADL10^LBDL6","LHN","LHAV3b8a","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"451296290","LH016a","ADL04","ADL04e","ADL04e_pct","ADL10^LBDL6","LHN","LHAV3b9a","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"390931864","LH017a","ADL04","ADL04n","ADL04n_pct","ADL10^LBDL6","LHN","LHAV3b1a","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"698180927","LH024a","ADL10","ADL10a","ADL10a_pct","FALSE","LHN","LHAV3g2b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"360928792","LH025b","ADL10","ADL10f","ADL10g_a_pct","FALSE","LHN","LHAV3b10","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"480262270","LH025b","ADL10","ADL10f","ADL10g_a_pct","FALSE","LHN","LHAV3b10","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"510943286","LH025b","ADL10","ADL10f","ADL10g_a_pct","FALSE","LHN","LHAV3b4","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"390935343","LH025c","ADL10","ADL10f","ADL10g_b_pct","FALSE","LHN","LHAV3b6a","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"419578845","LH025c","ADL10","ADL10f","ADL10g_b_pct","FALSE","LHN","LHAV3b8b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"480257919","LH025c","ADL10","ADL10f","ADL10g_b_pct","FALSE","LHN","LHAV3b8b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"5813057662","LH025c","ADL10","ADL10f","ADL10g_b_pct","FALSE","LHN","LHAV3b6a","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"449223379","LH025d","ADL10","ADL10f","ADL10g_c_pct","FALSE","LHN","LHAV3b11","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"450609707","LH025d","ADL10","ADL10f","ADL10g_c_pct","FALSE","LHN","LHAV3b11","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"480262368","LH025d","ADL10","ADL10f","ADL10g_c_pct","FALSE","LHN","LHAV3b11","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"605090489","LH025d","ADL10","ADL10f","ADL10g_c_pct","FALSE","LHN","LHAV3b11","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"329566467","LH025e","ADL10","ADL10f","ADL10g_d_pct","FALSE","LHN","LHAV3b7","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"449577409","LH025e","ADL10","ADL10f","ADL10g_d_pct","FALSE","LHN","LHAV3b9b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"359555628","LH025f","ADL10","ADL10f","ADL10g_e_pct","FALSE","LHN","LHAV3b8c","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"542643555","LH025f","ADL10","ADL10f","ADL10g_e_pct","FALSE","LHN","LHAV3b8c","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"5813010546","LH025f","ADL10","ADL10f","ADL10g_e_pct","FALSE","LHN","LHAV3b8c","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"419234116","LH025g","ADL10","ADL10f","ADL10i_pct","FALSE","LHN","LHAV3b6b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"421292214","LH025g","ADL10","ADL10f","ADL10i_pct","FALSE","LHN","LHAV3b5","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"449223347","LH025g","ADL10","ADL10f","ADL10i_pct","FALSE","LHN","LHAV3b5","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"450267976","LH025g","ADL10","ADL10f","ADL10i_pct","FALSE","LHN","LHAV3b6b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"541961677","LH025g","ADL10","ADL10f","ADL10i_pct","FALSE","LHN","LHAV3b5","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"541961750","LH025g","ADL10","ADL10f","ADL10i_pct","FALSE","LHN","LHAV3b6b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"391604407","LH025h","ADL10","ADL10f","ADL10j_pct","FALSE","LHN","LHAV3b1b","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"5813098306","LH025h","ADL10","ADL10f","ADL10j_pct","FALSE","LHN","LHAV3b1b","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"449227486","LH025i","ADL10","ADL10f","ADL10m_a_pct","FALSE","LHN","LHAV3b2c","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"541624179","LH025i","ADL10","ADL10f","ADL10m_a_pct","FALSE","LHN","LHAV3b2c","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"5813097073","LH025k","ADL10","ADL10f","ADL10oe_pct","FALSE","LHN","LHAV3m4","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"574377845","LH050b","ADL24","ADL24l","ADL24t_pct","FALSE","LHN","LHAV3e1a","SLPpl3_lateral","new_lateral","11545803","good","none","none",TRUE,FALSE,"LHAV3"
"544699051","LH051b","ADL24","ADL24k","ADL24q_pct","FALSE","LHN","LHAV3g1b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"5813009276","LH051b","ADL24","ADL24k","ADL24q_pct","FALSE","LHN","LHAV3g1b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"359581549","LH052a","ADL24","ADL24h","ADL24k_pct","FALSE","LHN","LHAV3m6","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"482680447","LH052b","ADL24","ADL24h","ADL24oc_pct","FALSE","LHN","LHAV3m3","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"665454282","LH053a","ADL24","ADL24j","ADL24m_pct","FALSE","LHN","LHAV3d1","SLPpl3_lateral","new_lateral","4954486","good","Cha-F-000395","good",TRUE,FALSE,"LHAV3"
"574041014","LH064a","AVL18","AVL18g","AVL18e_pct","FALSE","LHN","LHAV3e6","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"605058898","LH064a","AVL18","AVL18g","AVL18e_pct","FALSE","LHN","LHAV3e6","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"5813011773","LH064a","AVL18","AVL18g","AVL18e_pct","FALSE","LHN","LHAV3e5a","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"390603428","LH064b","AVL18","AVL18g","AVL18f_pct","FALSE","LHN","LHAV3e8","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"575389396","LH064c","AVL18","AVL18g","AVL18g_pct","FALSE","LHN","LHAV3e9","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"390560212","LH064d","AVL18","AVL18g","AVL18u_pct","FALSE","LHN","LHAV3e4","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"5813009781","LH064d","AVL18","AVL18g","AVL18u_pct","FALSE","LHN","LHAV3e4","SLPav1_lateral","BLAl_lateral","1705052","good","none","none",FALSE,FALSE,"LHAV3"
"607441336","LH064e","AVL18","AVL18g","AVL18v_pct","FALSE","LHN","LHAV3e5b","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"666122442","LH064e","AVL18","AVL18g","AVL18v_pct","FALSE","LHN","LHAV3e5b","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"424716408","LH109a","SCB","SCB032","SCB032_pct","FALSE","LHN","LHAV3m1","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"696143413","LH110a","SCB","SCB079","SCB079_pct","FALSE","LHN","LHAV3a5","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"633097828","SLP030a","ADL04","ADL04a","ADL04a_pct","ADL10^LBDL6","LHN","LHAV3e2a","SLPpl3_lateral","new_lateral","2315173","good","none","none",FALSE,FALSE,"LHAV3"
"295807429","SLP057d","ADL10","ADL10d","ADL10k_pct","FALSE","LHN","LHAV3a2","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"325814669","SLP057d","ADL10","ADL10d","ADL10k_pct","FALSE","LHN","LHAV3a2","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"326154371","SLP057d","ADL10","ADL10d","ADL10k_pct","FALSE","LHN","LHAV3a2","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"480257743","SLP057d","ADL10","ADL10d","ADL10k_pct","FALSE","LHN","LHAV3a2","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"480257882","SLP057d","ADL10","ADL10d","ADL10k_pct","FALSE","LHN","LHAV3a2","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"480257914","SLP057d","ADL10","ADL10d","ADL10k_pct","FALSE","LHN","LHAV3a2","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"296120593","SLP057e","ADL10","ADL10d","ADL10oa_pct","FALSE","LHN","LHAV3a4","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"295461871","SLP057f","ADL10","ADL10d","ADL10p_pct","FALSE","LHN","LHAV3a1a","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"480258191","SLP057f","ADL10","ADL10d","ADL10p_pct","FALSE","LHN","LHAV3a1a","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"480599285","SLP057f","ADL10","ADL10d","ADL10p_pct","FALSE","LHN","LHAV3a1a","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"295798962","SLP057g","ADL10","ADL10d","ADL10q_pct","FALSE","LHN","LHAV3a1b","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"419929377","SLP057g","ADL10","ADL10d","ADL10q_pct","FALSE","LHN","LHAV3a1b","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"480257896","SLP057g","ADL10","ADL10d","ADL10q_pct","FALSE","LHN","LHAV3a1b","SLPpl3_lateral","new_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"5813035078","SLP057g","ADL10","ADL10d","ADL10q_pct","FALSE","LHN","LHAV3a1b","SLPpl3_lateral","new_lateral","5341336","good","VGlut-F-500109","good",TRUE,FALSE,"LHAV3"
"5813047178","SLP058a","ADL10","ADL10e","ADL10e_pct","FALSE","LHN","LHAV3b13","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"5813068507","SLP058a","ADL10","ADL10e","ADL10e_pct","FALSE","LHN","LHAV3b13","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"698185483","SLP121a","ADL24","ADL24i","ADL24j_pct","FALSE","LHN","LHAV3g2c","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"5813010511","SLP121b","ADL24","ADL24i","ADL24ob_pct","FALSE","LHN","LHAV3m2","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"822692353","SLP143a","AVL18","AVL18e","AVL18c_pct","FALSE","LHN","LHAV3e1b","SLPav1_lateral","BLAl_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"5813078194","SLP143a","AVL18","AVL18e","AVL18c_pct","FALSE","LHN","LHAV3e1b","SLPav1_lateral","BLAl_lateral","none","none","none","none",TRUE,FALSE,"LHAV3"
"790288721","SLP143b","AVL18","AVL18e","AVL18t_pct","FALSE","LHN","LHAV3e2b","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"822004733","SLP143b","AVL18","AVL18e","AVL18t_pct","FALSE","LHN","LHAV3e2b","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"357855613","SLP228b","PDL17","PDL17f","PDL17f_pct","FALSE","LHN","LHAV3a3b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"388898076","SLP228b","PDL17","PDL17f","PDL17f_pct","FALSE","LHN","LHAV3c2b","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,TRUE,"LHAV3"
"328543014","SLP230a","PDL17","PDL17h","PDL17h_pct","FALSE","LHN","LHAV3m5","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"359555689","SLP231a","PDL17","PDL17i","PDL17i_pct","FALSE","LHN","LHAV3b12","SLPpl3_lateral","new_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"60259229",NA,NA,NA,NA,"FALSE",NA,"LHAV3p1","SLPav1_lateral","BLAl_lateral","none","none","none","none",FALSE,FALSE,"LHAV3"
"389205204","AVL07s_pct","AVL07",NA,NA,"FALSE",NA,"LHAV3e3",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"667832004","AVL18d_pct","AVL18",NA,NA,"FALSE",NA,"LHAV3e7",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"329225149","AVL18i_pct","AVL18",NA,NA,"FALSE",NA,"LHAV3f1",NA,NA,"none","none","none","none",TRUE,FALSE,"LHAV3"
"329897255","AVL18i_pct","AVL18",NA,NA,"FALSE",NA,"LHAV3f1",NA,NA,"none","none","none","none",TRUE,FALSE,"LHAV3"
"5813021535","AVL18j_pct","AVL18",NA,NA,"FALSE",NA,"LHAVf2",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAVf2"
"454386099","ADL16s_pct","ADL16",NA,NA,"FALSE",NA,"LHAV3f3",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"453320313","AVL12d_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g1a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"5901193389","AVL12a_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g2a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"484696850","AVL12f_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g3a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"545427747","AVL12t_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g3b",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"514683250","AVL12e_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g4",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"766734548","AVL12j_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g5",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"448908723","AVL12y_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g6b",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"983007405","AVL12oa_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g6a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"420904348","AVL12oa_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g6a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"760630148","AVL12oa_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3g6a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"669512877","AVL12h_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3h1",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"1354972766","AVL12v_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3j1",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"760971727","AVL12v_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3j1",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"541326096","AVL12g_b_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3j2b",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"480608510","AVL12g_a_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3j2a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"851365481","AVL12g_b_pct","AVL12",NA,NA,"FALSE",NA,"LHAV3j2b",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"294778999","PDL17x_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3a3a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"419575044","ADL24a_pct","ADL24",NA,NA,"FALSE",NA,"LHAV3o1a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"480253500","ADL10r_pct","ADL10",NA,NA,"FALSE",NA,"LHAV3b2b",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"479917126","ADL10m_b_pct","ADL10",NA,NA,"FALSE",NA,"LHAV3b2a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"511271379","ADL10m_b_pct","ADL10",NA,NA,"FALSE",NA,"LHAV3b2a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"297851977","SCB040_pct",NA,NA,NA,"FALSE",NA,"LHAV3l1",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"513029260","SCB086_pct",NA,NA,NA,"FALSE",NA,"LHAV3n1",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"5813021632","ADL28i_pct","ADL28",NA,NA,"FALSE",NA,"LHAV3o1b",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"358538040","PDL17u_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3c1",NA,NA,"none","none","none","none",TRUE,FALSE,"LHAV3"
"5813109792","PDL17u_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3c1",NA,NA,"none","none","none","none",TRUE,FALSE,"LHAV3"
"510956058","PDL17u_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3c1",NA,NA,"none","none","none","none",TRUE,FALSE,"LHAV3"
"358541542","PDL17u_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3c1",NA,NA,"1705004","good","VGlut-F-800054","good",TRUE,FALSE,"LHAV3"
"510956443","PDL17u_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3c1",NA,NA,"none","none","none","none",TRUE,FALSE,"LHAV3"
"358538491","PDL17f_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3c2a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"387538632","PDL17f_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3c2a",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"541965840","PDL17d_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3c3",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
"5901194027","PDL17d_pct","PDL17",NA,NA,"FALSE",NA,"LHAV3c3",NA,NA,"none","none","none","none",FALSE,FALSE,"LHAV3"
