"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"420235118","LH027a","ADL11","ADL11b","ADL11g_pct",FALSE,"LHN","LHAV5a9","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a9"
"419889751","LH027b","ADL11","ADL11b","ADL11s_pct",FALSE,"LHN","LHAV5a9","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a9"
"603003871","LH027b","ADL11","ADL11b","ADL11s_pct",FALSE,"LHN","LHAV5a9","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a9"
"541628695","LH028a","ADL11","ADL11d","ADL11e_pct",FALSE,"LHN","LHAV5c1","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5c1"
"541632940","LH028a","ADL11","ADL11d","ADL11e_pct",FALSE,"LHN","LHAV5c1","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5c1"
"5813047407","LH029b","ADL11","ADL11g","ADL11ob_pct",FALSE,"LHN","LHAV5d1","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",TRUE,FALSE,"LHAV5","LHAV5d1"
"360950551","LH030a","ADL11","ADL11e","ADL11d_pct",FALSE,"LHN","LHAV5c2","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5c2"
"517138678","LH030a","ADL11","ADL11e","ADL11d_pct",FALSE,"LHN","LHAV5c2","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5c2"
"390245740","LH031a","ADL11","ADL11c","ADL11c_a_pct",FALSE,"LHN","LHAV5a7","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,TRUE,"LHAV5","LHAV5a7"
"419543946","LH031a","ADL11","ADL11c","ADL11c_a_pct",FALSE,"LHN","LHAV5a7","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,TRUE,"LHAV5","LHAV5a7"
"419884971","LH031a","ADL11","ADL11c","ADL11c_a_pct",FALSE,"LHN","LHAV5a2","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,TRUE,"LHAV5","LHAV5a2"
"420594200","LH031a","ADL11","ADL11c","ADL11c_a_pct",FALSE,"LHN","LHAV5a7","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,TRUE,"LHAV5","LHAV5a7"
"452655734","LH031a","ADL11","ADL11c","ADL11c_a_pct",FALSE,"LHN","LHAV5a7","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","Cha-F-300258","good",FALSE,TRUE,"LHAV5","LHAV5a7"
"549961114","LH031a","ADL11","ADL11c","ADL11c_a_pct",FALSE,"LHN","LHAV5a7","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,TRUE,"LHAV5","LHAV5a7"
"5813010170","LH031a","ADL11","ADL11c","ADL11c_a_pct",FALSE,"LHN","LHAV5a7","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,TRUE,"LHAV5","LHAV5a7"
"391625677","LH031b","ADL11","ADL11c","ADL11c_b_pct",FALSE,"LHN","LHAV5a1","VPNl&d1_dorsal","BLAvm2_dorsal","3587600","good","L1594#1","good",TRUE,TRUE,"LHAV5","LHAV5a1"
"419207462","LH031b","ADL11","ADL11c","ADL11c_b_pct",FALSE,"LHN","LHAV5a7","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,TRUE,"LHAV5","LHAV5a7"
"421633905","LH031b","ADL11","ADL11c","ADL11c_b_pct",FALSE,"LHN","LHAV5a1","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",TRUE,TRUE,"LHAV5","LHAV5a1"
"450924155","LH031b","ADL11","ADL11c","ADL11c_b_pct",FALSE,"LHN","LHAV5a1","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",TRUE,TRUE,"LHAV5","LHAV5a1"
"451986590","LH031b","ADL11","ADL11c","ADL11c_b_pct",FALSE,"LHN","LHAV5a1","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",TRUE,TRUE,"LHAV5","LHAV5a1"
"451990898","LH031b","ADL11","ADL11c","ADL11c_b_pct",FALSE,"LHN","LHAV5a1","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",TRUE,TRUE,"LHAV5","LHAV5a1"
"542298702","LH031b","ADL11","ADL11c","ADL11c_b_pct",FALSE,"LHN","LHAV5a1","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",TRUE,TRUE,"LHAV5","LHAV5a1"
"390935535","LH031c","ADL11","ADL11c","ADL11c_c_pct",FALSE,"LHN","LHAV5a3","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","Cha-F-700242","good",FALSE,FALSE,"LHAV5","LHAV5a3"
"422312023","LH031c","ADL11","ADL11c","ADL11c_c_pct",FALSE,"LHN","LHAV5a3","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a3"
"668466304","LH031c","ADL11","ADL11c","ADL11c_c_pct",FALSE,"LHN","LHAV5a3","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a3"
"360573708","LH031d","ADL11","ADL11c","ADL11h_a_pct",FALSE,"LHN","LHAV5a4","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a4"
"420230547","LH031d","ADL11","ADL11c","ADL11h_a_pct",FALSE,"LHN","LHAV5a4","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a4"
"419885042","LH031e","ADL11","ADL11c","ADL11h_b_pct",FALSE,"LHN","LHAV5a4","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,TRUE,"LHAV5","LHAV5a4"
"5901195359","LH031e","ADL11","ADL11c","ADL11h_b_pct",FALSE,"LHN","LHAV5a2","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,TRUE,"LHAV5","LHAV5a2"
"419884922","LH031f","ADL11","ADL11c","ADL11h_c_pct",FALSE,"LHN","LHAV5a3","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a3"
"422312019","LH031f","ADL11","ADL11c","ADL11h_c_pct",FALSE,"LHN","LHAV5a3","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a3"
"422312162","LH031f","ADL11","ADL11c","ADL11h_c_pct",FALSE,"LHN","LHAV5a3","VPNl&d1_dorsal","BLAvm2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV5","LHAV5a3"
