"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt"
"5813047774","CL077a","PDL06","PDL06z","PDL06ob_pct",FALSE,"LHN","LHPD1c1","VLPd&p1_posterior ","DPLl2_posterior","none","none","none","none",FALSE,FALSE,"LHPD1"
"5812980658","LH066a","PDL06","PDL06n","PDL06ln_pct",FALSE,"LHN","LHPD2a5a","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"675800901","LH066b","PDL06","PDL06n","PDL06m_pct",FALSE,"LHN","LHPD2a7","SLPad1_posterior","DPLl3_posterior","none","none","none","none",FALSE,FALSE,"LHPD2"
"676138357","LH066b","PDL06","PDL06n","PDL06m_pct",FALSE,"LHN","LHPD2a7","SLPad1_posterior","DPLl3_posterior","none","none","none","none",FALSE,FALSE,"LHPD2"
"695500178","LH066b","PDL06","PDL06n","PDL06m_pct",FALSE,"LHN","LHPD2a7","SLPad1_posterior","DPLl3_posterior","none","none","none","none",FALSE,FALSE,"LHPD2"
"704798196","LH066b","PDL06","PDL06n","PDL06m_pct",FALSE,"LHN","LHPD2a7","SLPad1_posterior","DPLl3_posterior","none","none","none","none",FALSE,FALSE,"LHPD2"
"704078253","LH066c","PDL06","PDL06n","PDL06n_a_pct",FALSE,"LHN","LHPD2a6","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"822358833","LH066c","PDL06","PDL06n","PDL06n_a_pct",FALSE,"LHN","LHPD2a6","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"947859021","LH066c","PDL06","PDL06n","PDL06n_a_pct",FALSE,"LHN","LHPD2a6","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"947862945","LH066c","PDL06","PDL06n","PDL06n_a_pct",FALSE,"LHN","LHPD2a6","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"486850582","LH066e","PDL06","PDL06n","PDL06on_pct",FALSE,"LHN","LHPD2a3","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"735772860","LH066e","PDL06","PDL06n","PDL06on_pct",FALSE,"LHN","LHPD2a3","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"5813099667","LH066e","PDL06","PDL06n","PDL06on_pct",FALSE,"LHN","LHPD2a3","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"263674097","LH066f","PDL06","PDL06n","PDL06oq_pct",FALSE,"LHN","LHPD2a5b","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"264014957","LH066f","PDL06","PDL06n","PDL06oq_pct",FALSE,"LHN","LHPD2a5b","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"5813049920","LH067a","PDL07","PDL07n","PDL07d_pct",FALSE,"LHN","LHPD1e1","primary","primary","1868440","good","Gad1-F-500258","good",FALSE,FALSE,"LHPD1"
"542634516","LH085a","PDL15","PDL15d","PDL15j_pct",FALSE,"LHN","LHPD2a1a","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"571666434","LH085a","PDL15","PDL15d","PDL15j_pct",FALSE,"LHN","LHPD2a1a","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"573329304","LH085a","PDL15","PDL15d","PDL15j_pct",FALSE,"LHN","LHPD2a1a","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"573337611","LH085a","PDL15","PDL15d","PDL15j_pct",FALSE,"LHN","LHPD2a1a","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"640963556","LH085a","PDL15","PDL15d","PDL15j_pct",FALSE,"LHN","LHPD2a1a","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"571666400","LH085b","PDL15","PDL15d","PDL15oi_pct",FALSE,"LHN","LHPD2b1a","SLPad1_posterior","DPLl3_posterior","11547665","good","L989#9","good",TRUE,FALSE,"LHPD2"
"448869118","LH086a","PDL15","PDL15e","PDL15k_pct",FALSE,"LHN","LHPD2a2","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"699178922","LH086a","PDL15","PDL15e","PDL15k_pct",FALSE,"LHN","LHPD2a2","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"5813014640","LH086a","PDL15","PDL15e","PDL15k_pct",FALSE,"LHN","LHPD2a2","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"5813129453","LH086a","PDL15","PDL15e","PDL15k_pct",FALSE,"LHN","LHPD2a2","SLPad1_posterior","DPLl3_posterior","none","none","none","none",TRUE,FALSE,"LHPD2"
"760268555","LH086b","PDL15","PDL15e","PDL15x_pct",FALSE,"LHN","LHPD2a9","SLPad1_posterior","DPLl3_posterior","none","none","none","none",FALSE,FALSE,"LHPD2"
