"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"574351760","LH079a","PDL11","PDL11m","PDL11j_pct",FALSE,"LHN","LHPD4d2","SLPpm1","DPLm1","none","none","none","none",FALSE,FALSE,"LHPD4","LHPD4d2"
"5813057881","LH079a","PDL11","PDL11m","PDL11j_pct",FALSE,"LHN","LHPD4d2","SLPpm1","DPLm1","none","none","none","none",FALSE,FALSE,"LHPD4","LHPD4d2"
"542656552","LH079b","PDL11","PDL11m","PDL11of_pct",FALSE,"LHN","LHPD4a1","SLPpm1","DPLm1","none","none","none","none",TRUE,FALSE,"LHPD4","LHPD4a1"
"573346248","LH079b","PDL11","PDL11m","PDL11of_pct",FALSE,"LHN","LHPD4a1","SLPpm1","DPLm1","none","none","none","none",TRUE,FALSE,"LHPD4","LHPD4a1"
"573354832","LH079b","PDL11","PDL11m","PDL11of_pct",FALSE,"LHN","LHPD4a1","SLPpm1","DPLm1","none","none","none","none",TRUE,FALSE,"LHPD4","LHPD4a1"
"574028395","LH079b","PDL11","PDL11m","PDL11of_pct",FALSE,"LHN","LHPD4a1","SLPpm1","DPLm1","none","none","none","none",TRUE,FALSE,"LHPD4","LHPD4a1"
"542297875","LH079c","PDL11","PDL11m","PDL11op_pct",FALSE,"LHN","LHPD4a2","SLPpm1","DPLm1","none","none","none","none",TRUE,FALSE,"LHPD4","LHPD4a2"
"572650888","LH079c","PDL11","PDL11m","PDL11op_pct",FALSE,"LHN","LHPD4a2","SLPpm1","DPLm1","none","none","none","none",TRUE,FALSE,"LHPD4","LHPD4a2"
"359891881","LH080a","PDL11","PDL11o","PDL11m_pct",FALSE,"LHN","LHPD4e1","SLPpm1","DPLm1","none","none","Gad1-F-000285","good",TRUE,FALSE,"LHPD4","LHPD4e1"
"5813046968","LH080a","PDL11","PDL11o","PDL11m_pct",FALSE,"LHN","LHPD4e1","SLPpm1","DPLm1","none","none","Gad1-F-100218","good",TRUE,FALSE,"LHPD4","LHPD4e1"
"421641859","LH081a","PDL11","PDL11n","PDL11k_pct",FALSE,"LHN","LHPD4c1","SLPpm1","DPLm1","none","none","none","none",TRUE,FALSE,"LHPD4","LHPD4c1"
"386825720","LH083a","PDL13","PDL13g","PDL13f_pct",FALSE,"LHN","LHPD3a4","LHd2_dorsal","DPLm2_dorsal","none","none","none","none",FALSE,FALSE,"LHPD3","LHPD3a4"
"480918798","LH083a","PDL13","PDL13g","PDL13f_pct",FALSE,"LHN","LHPD3a4","LHd2_dorsal","DPLm2_dorsal","none","none","none","none",FALSE,FALSE,"LHPD3","LHPD3a4"
"511267109","LH083a","PDL13","PDL13g","PDL13f_pct",FALSE,"LHN","LHPD3a4","LHd2_dorsal","DPLm2_dorsal","none","none","none","none",FALSE,FALSE,"LHPD3","LHPD3a4"
"511267220","LH083a","PDL13","PDL13g","PDL13f_pct",FALSE,"LHN","LHPD3a4","LHd2_dorsal","DPLm2_dorsal","none","none","none","none",FALSE,FALSE,"LHPD3","LHPD3a4"
"386821081","LH083b","PDL13","PDL13g","PDL13od_pct",FALSE,"LHN","LHPD3a2","LHd2_dorsal","DPLm2_dorsal","none","none","none","none",TRUE,FALSE,"LHPD3","LHPD3a2"
"480922968","LH083b","PDL13","PDL13g","PDL13od_pct",FALSE,"LHN","LHPD3a2","LHd2_dorsal","DPLm2_dorsal","4182038","good","L1749#3","good",TRUE,FALSE,"LHPD3","LHPD3a2"
