"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"478613576","LH098a","PDM30","PDM30b","PDM30e_pct",FALSE,"LHN","LHPD5e1","SLPad1","DPLl3","none","none","none","none",FALSE,FALSE,"LHPD5","LHPD5e1"
"639275368","SIP050a","PDM11","PDM11i","PDM11od_pct",FALSE,"LHN","LHPD5i1","VLPd&p1_anterior","DPLl2","none","none","none","none",FALSE,FALSE,"LHPD5","LHPD5i1"
"296199149","SLP266c","PDM07","PDM07w","PDM07ov_pct",FALSE,"LHN","LHPD5a1","SLPpm3","DPLc3","none","none","L1539#2","medium",TRUE,FALSE,"LHPD5","LHPD5a1"
"326888609","SLP266c","PDM07","PDM07w","PDM07ov_pct",FALSE,"LHN","LHPD5a1","SLPpm3","DPLc3","none","none","none","none",TRUE,FALSE,"LHPD5","LHPD5a1"
"484134987","SLP266c","PDM07","PDM07w","PDM07ov_pct",FALSE,"LHN","LHPD5a1","SLPpm3","DPLc3","none","none","none","none",TRUE,FALSE,"LHPD5","LHPD5a1"
"299272434","SLP291a","PDM29","PDM29c","PDM29k_pct",FALSE,"LHN","LHPD5k1","VLPd&p1_anterior","DPLl2","none","none","none","none",FALSE,FALSE,"LHPD5","LHPD5k1"
"514068564","SMP247a","PDM10","PDM10j","PDM10oe_pct",FALSE,"LHN","LHPD5b1","SLPpm3","DPLc3","5982276","good","none","none",TRUE,FALSE,"LHPD5","LHPD5b1"
"642409381","SMP249a","PDM10","PDM10d","PDM10b_pct",FALSE,"LHN","LHPD5g1","VLPd&p1_anterior","DPLl2","none","none","none","none",FALSE,FALSE,"LHPD5","LHPD5g1"
"5812980326","SMP249a","PDM10","PDM10d","PDM10b_pct",FALSE,"LHN","LHPD5g1","VLPd&p1_anterior","DPLl2","none","none","none","none",FALSE,FALSE,"LHPD5","LHPD5g1"
"387568523","SMP254a","PDM10","PDM10c","PDM10a_pct",FALSE,"LHN","LHPD5f1","VLPd&p1_anterior","DPLl2","none","none","none","none",FALSE,FALSE,"LHPD5","LHPD5f1"
"5813055800","SMP254a","PDM10","PDM10c","PDM10a_pct",FALSE,"LHN","LHPD5f1","VLPd&p1_anterior","DPLl2","none","none","none","none",FALSE,FALSE,"LHPD5","LHPD5f1"
"510680365","SMP257a","PDM11","PDM11c","PDM11ob_pct",FALSE,"LHN","LHPD5h1","VLPd&p1_anterior","DPLl2","none","none","none","none",FALSE,FALSE,"LHPD5","LHPD5h1"
"327933008","SMP260a","PDM11","PDM11b","PDM11oa_pct",FALSE,"LHN","LHPD5d1","VLPd&p1_anterior","DPLl2","none","none","fru-F-000098","good",FALSE,FALSE,"LHPD5","LHPD5d1"
"517514588","SMP262a","PDM11","PDM11g","PDM11y_pct",FALSE,"LHN","LHPD5j1","VLPd&p1_anterior","DPLl2","none","none","none","none",FALSE,FALSE,"LHPD5","LHPD5j1"
"329566197","SMP314a","PDM29","PDM29g","PDM29g_pct",FALSE,"LHN","LHPD5c1","VLPd&p1_anterior","DPLl2","none","none","VGlut-F-100282","good",FALSE,FALSE,"LHPD5","LHPD5c1"
