"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"792338630","AVLP216a","PDL09","PDL09a","PDL09a_pct",FALSE,"LHN","LHPV2e2","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,TRUE,"LHPV2","LHPV2e2"
"823374529","AVLP216a","PDL09","PDL09a","PDL09a_pct",FALSE,"LHN","LHPV2e2","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,TRUE,"LHPV2","LHPV2e2"
"823705448","AVLP216a","PDL09","PDL09a","PDL09a_pct",FALSE,"LHN","LHPV2e1","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",TRUE,TRUE,"LHPV2","LHPV2e1"
"885776346","AVLP216a","PDL09","PDL09a","PDL09a_pct",FALSE,"LHN","LHPV2e1","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",TRUE,TRUE,"LHPV2","LHPV2e1"
"886124924","AVLP216a","PDL09","PDL09a","PDL09a_pct",FALSE,"LHN","LHPV2e2","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,TRUE,"LHPV2","LHPV2e2"
"853386077","AVLP216b","PDL09","PDL09a","PDL09oi_pct",FALSE,"LHN","LHPV2e1","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2e1"
"974788612","AVLP216b","PDL09","PDL09a","PDL09oi_pct",FALSE,"LHN","LHPV2e1","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2e1"
"1039906056","AVLP216b","PDL09","PDL09a","PDL09oi_pct",FALSE,"LHN","LHPV2e1","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2e1"
"5813021291","CA001a","PVL03","PVL03s","PVL03ol_pct",FALSE,"LHN","MB-C1","VPNp&v1_posterior","BLP1_posterior","535060","good","none","none",TRUE,FALSE,"LHPV2","MB-C1"
"5813075020","CA001a","PVL03","PVL03s","PVL03ol_pct",FALSE,"LHN","MB-C1","VPNp&v1_posterior","BLP1_posterior","none","none","L1900#2","medium",TRUE,FALSE,"LHPV2","MB-C1"
"607787538","CL167b","PVL06","PVL06m","PVL06p_b_pct",FALSE,"LHN","LHPV2m1","DL1_ventral","CP2_ventral","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2m1"
"607799924","CL167b","PVL06","PVL06m","PVL06p_b_pct",FALSE,"LHN","LHPV2m1","DL1_ventral","CP2_ventral","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2m1"
"702985703","CL167b","PVL06","PVL06m","PVL06p_b_pct",FALSE,"LHN","LHPV2m1","DL1_ventral","CP2_ventral","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2m1"
"789248033","LH075a","PDL09","PDL09c","PDL09c_pct",FALSE,"LHN","LHPV2c3","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2c3"
"946153322","LH075a","PDL09","PDL09c","PDL09c_pct",FALSE,"LHN","LHPV2c3","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2c3"
"823400451","LH075b","PDL09","PDL09c","PDL09lh_pct",FALSE,"LHN","LHPV2c7","VLPp&l1_dorsal","DPLpv_dorsal","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2c7"
"885435892","LH075c","PDL09","PDL09c","PDL09of_pct",FALSE,"LHN","LHPV2c4","VLPp&l1_dorsal","DPLpv_dorsal","2400220","poor","none","none",FALSE,FALSE,"LHPV2","LHPV2c4"
"913345831","LH075c","PDL09","PDL09c","PDL09of_pct",FALSE,"LHN","LHPV2c4","VLPp&l1_dorsal","DPLpv_dorsal","1710886","good","L568#6","medium",FALSE,FALSE,"LHPV2","LHPV2c4"
"825032139","LH075d","PDL09","PDL09c","PDL09og_pct",FALSE,"LHN","LHPV2c1","VLPp&l1_dorsal","DPLpv_dorsal","3136591","good","Gad1-F-400232","good",TRUE,FALSE,"LHPV2","LHPV2c1"
"856066807","LH075d","PDL09","PDL09c","PDL09og_pct",FALSE,"LHN","LHPV2c1","VLPp&l1_dorsal","DPLpv_dorsal","11524508","good","none","none",TRUE,FALSE,"LHPV2","LHPV2c1"
"819220237","LH075e","PDL09","PDL09c","PDL09oj_pct",FALSE,"LHN","LHPV2c1","VLPp&l1_dorsal","DPLpv_dorsal","11524508","good","L1328#2","good",TRUE,FALSE,"LHPV2","LHPV2c1"
"917842566","LH075e","PDL09","PDL09c","PDL09oj_pct",FALSE,"LHN","LHPV2c1","VLPp&l1_dorsal","DPLpv_dorsal","3687459","medium","L1328#5","medium",TRUE,FALSE,"LHPV2","LHPV2c1"
"543766436","LH082a","PDL12","PDL12a","PDL12f_pct",FALSE,"LHN","LHPV2h1","LHl4_posterior","BLD1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2h1"
"882995659","LH100a","PVL01","PVL01a","PVL01a_pct",FALSE,"LHN","LHPV2g1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2g1"
"914027038","LH100a","PVL01","PVL01a","PVL01a_pct",FALSE,"LHN","LHPV2g1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2g1"
"761247578","LH101a","PVL03","PVL03m","PVL03b_pct",FALSE,"LHN","LHPV2b1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2b1"
"852293337","LH101a","PVL03","PVL03m","PVL03b_pct",FALSE,"LHN","LHPV2b1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2b1"
"883358778","LH101a","PVL03","PVL03m","PVL03b_pct",FALSE,"LHN","LHPV2b1","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2b1"
"573350770","LH101b","PVL03","PVL03m","PVL03ls_pct",FALSE,"LHN","LHPV2b5","VPNp&v1_posterior","BLP1_posterior","1309231","good","none","none",FALSE,FALSE,"LHPV2","LHPV2b5"
"793992755","LH101c","PVL03","PVL03m","PVL03op_pct",FALSE,"LHN","LHPV2b2","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b2"
"698194389","LH101d","PVL03","PVL03m","PVL03os_pct",FALSE,"LHN","LHPV2b5","VPNp&v1_posterior","BLP1_posterior","1316519","good","131030c0","medium",FALSE,FALSE,"LHPV2","LHPV2b5"
"946814479","LH101d","PVL03","PVL03m","PVL03os_pct",FALSE,"LHN","LHPV2b5","VPNp&v1_posterior","BLP1_posterior","1309219","medium","none","none",FALSE,FALSE,"LHPV2","LHPV2b5"
"729527582","LH101e","PVL03","PVL03m","PVL03ou_pct",FALSE,"LHN","LHPV2b2","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b2"
"729535036","LH101e","PVL03","PVL03m","PVL03ou_pct",FALSE,"LHN","LHPV2b2","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b2"
"791946302","LH101e","PVL03","PVL03m","PVL03ou_pct",FALSE,"LHN","LHPV2b2","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b2"
"791946438","LH101e","PVL03","PVL03m","PVL03ou_pct",FALSE,"LHN","LHPV2b2","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b2"
"821946760","LH101e","PVL03","PVL03m","PVL03ou_pct",FALSE,"LHN","LHPV2b2","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b2"
"604735824","LH101f","PVL03","PVL03m","PVL03p_pct",FALSE,"LHN","LHPV2b4","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b4"
"605391864","LH101f","PVL03","PVL03m","PVL03p_pct",FALSE,"LHN","LHPV2b4","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b4"
"700567946","LH101g","PVL03","PVL03m","PVL03x_pct",FALSE,"LHN","LHPV2b3","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b3"
"731922839","LH101g","PVL03","PVL03m","PVL03x_pct",FALSE,"LHN","LHPV2b3","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b3"
"761252954","LH101g","PVL03","PVL03m","PVL03x_pct",FALSE,"LHN","LHPV2b3","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b3"
"761593520","LH101g","PVL03","PVL03m","PVL03x_pct",FALSE,"LHN","LHPV2b3","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b3"
"821987663","LH101g","PVL03","PVL03m","PVL03x_pct",FALSE,"LHN","LHPV2b3","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b3"
"944371051","LH101g","PVL03","PVL03m","PVL03x_pct",FALSE,"LHN","LHPV2b3","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2b3"
"605754137","LH102a","PVL03","PVL03n","PVL03ll_pct",FALSE,"LHN","LHPV2a5","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2a5"
"759586495","LH102a","PVL03","PVL03n","PVL03ll_pct",FALSE,"LHN","LHPV2a5","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",FALSE,FALSE,"LHPV2","LHPV2a5"
"759582415","LH102b","PVL03","PVL03n","PVL03n_pct",FALSE,"LHN","LHPV2a3","VPNp&v1_posterior","BLP1_posterior","none","none","131028c0","medium",TRUE,FALSE,"LHPV2","LHPV2a3"
"789934899","LH102b","PVL03","PVL03n","PVL03n_pct",FALSE,"LHN","LHPV2a3","VPNp&v1_posterior","BLP1_posterior","1104156","good","131031c1","medium",TRUE,FALSE,"LHPV2","LHPV2a3"
"822687493","LH102b","PVL03","PVL03n","PVL03n_pct",FALSE,"LHN","LHPV2a3","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2a3"
"698513115","LH102c","PVL03","PVL03n","PVL03ov_pct",FALSE,"LHN","LHPV2a4","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2a4"
"790948245","LH102c","PVL03","PVL03n","PVL03ov_pct",FALSE,"LHN","LHPV2a4","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2a4"
"791303168","LH102c","PVL03","PVL03n","PVL03ov_pct",FALSE,"LHN","LHPV2a4","VPNp&v1_posterior","BLP1_posterior","none","none","none","none",TRUE,FALSE,"LHPV2","LHPV2a4"
"791311618","LH103a","PVL03","PVL03o","PVL03c_pct",FALSE,"LHN","LHPV2a2","VPNp&v1_posterior","BLP1_posterior","3384008","good","L258#5","good",TRUE,FALSE,"LHPV2","LHPV2a2"
"912045178","LH103a","PVL03","PVL03o","PVL03c_pct",FALSE,"LHN","LHPV2a2","VPNp&v1_posterior","BLP1_posterior","3318224","good","L259#2","good",TRUE,FALSE,"LHPV2","LHPV2a2"
"853717974","LH103b","PVL03","PVL03o","PVL03lb_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","79579","good","L258#13","good",TRUE,FALSE,"LHPV2","LHPV2a1"
"5813090530","LH103b","PVL03","PVL03o","PVL03lb_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","none","none","L258#3","good",TRUE,FALSE,"LHPV2","LHPV2a1"
"758903321","LH103c","PVL03","PVL03o","PVL03lc_pct",FALSE,"LHN","LHPV2a1","VPNp&v1_posterior","BLP1_posterior","1703872","good","L258#1","good",TRUE,FALSE,"LHPV2","LHPV2a1"
