"bodyid","type","cbf","m.type","c.type","cbf.change","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage"
912732057,"PLP148a","PVL10","PVL10g","PVL10k_pct","FALSE","PV3b1","VPNp1_posterior","BLD5_posterior"
1068543885,"PLP148a","PVL10","PVL10g","PVL10k_pct","FALSE","PV3b1","VPNp1_posterior","BLD5_posterior"
1068912795,"PLP148a","PVL10","PVL10g","PVL10k_pct","FALSE","PV3b1","VPNp1_posterior","BLD5_posterior"
947172504,"PLP148b","PVL10","PVL10g","PVL10q_pct","FALSE","PV3b1","VPNp1_posterior","BLD5_posterior"
1006160722,"PLP148b","PVL10","PVL10g","PVL10q_pct","FALSE","PV3b1","VPNp1_posterior","BLD5_posterior"
1037535479,"PLP148b","PVL10","PVL10g","PVL10q_pct","FALSE","PV3b1","VPNp1_posterior","BLD5_posterior"
913681721,"PLP151a","PVL10","PVL10i","PVL10or_pct","FALSE","PV3a1","VPNp1_posterior","BLD5_posterior"
974788614,"PLP151a","PVL10","PVL10i","PVL10or_pct","FALSE","PV3a3","VPNp1_posterior","BLD5_posterior"
1036503560,"PLP151a","PVL10","PVL10i","PVL10or_pct","FALSE","PV3a1","VPNp1_posterior","BLD5_posterior"
914364284,"PLP151b","PVL10","PVL10i","PVL10os_pct","FALSE","PV3a3","VPNp1_posterior","BLD5_posterior"
945057870,"PLP151b","PVL10","PVL10i","PVL10os_pct","FALSE","PV3a3","VPNp1_posterior","BLD5_posterior"
792313813,"PLP151c","PVL10","PVL10i","PVL10s_pct","FALSE","PV3b","VPNp1_posterior","BLD5_posterior"
793677224,"PLP151c","PVL10","PVL10i","PVL10s_pct","FALSE","PV3b","VPNp1_posterior","BLD5_posterior"
5813056930,"PLP151c","PVL10","PVL10i","PVL10s_pct","FALSE","PV3a3","VPNp1_posterior","BLD5_posterior"
NA,NA,NA,NA,NA,"",NA,NA,NA
NA,NA,NA,NA,NA,NA,"PV3a1",NA,NA
