"bodyid","type","cbf","m.type","c.type","cbf.change","ItoLee_Hemilineage","Hartenstein_Hemilineage","cell.type","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change"
"356144721","PDL08d_pct","PDL08",NA,NA,"PDL23",NA,NA,"PV5h3a","none","none","none","none",FALSE,FALSE
"419216386","PDL08d_pct","PDL08",NA,NA,"PDL23",NA,NA,"PV5h3a","none","none","none","none",FALSE,FALSE
"451646125","PDL08e_pct","PDL08",NA,NA,"PDL23",NA,NA,"PV5h4","none","none","none","none",FALSE,TRUE
"485387561","PDL08e_pct","PDL08",NA,NA,"PDL23",NA,NA,"PV5h5","3081576","poor","none","none",FALSE,TRUE
"360587642","PDL22h_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5f1a","none","none","none","none",TRUE,FALSE
"513050445","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b1a","none","none","E0585-F-300073","good",TRUE,TRUE
"705722260","PDL22d_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b3a","4945705","good","L849#1","good",TRUE,FALSE
"611274992","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b8a","none","none","none","none",FALSE,TRUE
"699203489","PDL22b_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1d","none","none","E0585-F-400008","good",TRUE,FALSE
"636798093","PDL05lb_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1c","6179038","medium","E0585-F-400011","good",TRUE,FALSE
"361269751","PDL05la_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1b","11815906","medium","E0585-F-300071","good",TRUE,FALSE
"732354059","PDL05lc_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c4","6197374","medium","E0585-F-300050","good",FALSE,FALSE
"455751103","PDL05c_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c2a","5676478","good","E0585-F-400009","good",TRUE,TRUE
"360254994","PDL05la_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1b","11815906","medium","L1293#12","good",TRUE,FALSE
"391273276","PDL05lb_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1c","11815906","poor","L1293#2","good",TRUE,FALSE
"573328182","PDL05la_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1b","6179038","medium","E0585-F-300047","good",TRUE,FALSE
"485728655","PDL05c_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c2a","5676478","good","121213c0","good",TRUE,TRUE
"422640861","PDL05lb_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1c","6179038","medium","L1293#1","good",TRUE,FALSE
"424025668","PDL05lb_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1c","11815906","medium","L1293#3","good",TRUE,FALSE
"611620813","PDL22c_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c3a","none","none","none","none",TRUE,FALSE
"768132738","PDL22c_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c3a","none","none","none","none",TRUE,FALSE
"763034485","PDL22c_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c3a","none","none","none","none",TRUE,FALSE
"423343583","PDL05c_pct","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1a","5676478","medium","Cha-F-100068","good",TRUE,TRUE
"728836965","PDL22b_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1d","none","none","E0585-F-500009","good",TRUE,FALSE
"422307542","PDL22b_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1d","none","none","Cha-F-600051","good",TRUE,FALSE
"5813009429","PDL22b_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5c1d","none","none","E0585-F-400018","good",TRUE,FALSE
"5813078563","FB2H_a","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5k1a","none","none","none","none",TRUE,FALSE
"732034061","FB2H_b","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5k1b","none","none","none","none",TRUE,FALSE
"5812981264","MBON17","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","OTHERc","none","none","none","none",FALSE,FALSE
"5812981543","MBON17-like","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","OTHERd","none","none","none","none",FALSE,FALSE
"5813020828","MBON18","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","OTHERe","none","none","none","none",FALSE,FALSE
"457175171","MBON15-like","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","OTHERa","none","none","none","none",FALSE,FALSE
"487143497","MBON24","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","OTHERf","none","none","none","none",FALSE,FALSE
"457196643","MBON28","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","OTHERg","none","none","none","none",FALSE,FALSE
"673366098","MBON16","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","OTHERb","none","none","none","none",FALSE,FALSE
"579916831","MBON15-like","PDL05",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","OTHERa","none","none","none","none",FALSE,FALSE
"580244333","PDL22e_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b7a","none","none","none","none",FALSE,FALSE
"5813048099","PDL22e_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b7a","none","none","E0585-F-400015","good",FALSE,FALSE
"361964245","PDL22h_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5f1a","none","none","none","none",TRUE,FALSE
"5812981168","PDL22g_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b2a","none","none","none","none",TRUE,FALSE
"851027931","PDL22d_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b3a","none","none","L849#2","good",TRUE,FALSE
"5901203559","PDL22g_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b2a","5292219","good","130425c1","good",TRUE,FALSE
"634069028","PDL22i_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b2b","none","none","none","none",TRUE,FALSE
"5813048346","PDL22i_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b2b","none","none","130214c1","medium",TRUE,FALSE
"456083341","PDL22k_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b2c","none","none","none","none",TRUE,FALSE
"912049625","PDL22k_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b2c","none","none","none","none",TRUE,FALSE
"487795196","PDL22i_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b2b","none","none","Cha-F-700258","good",TRUE,FALSE
"513058708","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b1a","none","none","none","none",TRUE,TRUE
"634741770","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b1a","none","none","E0585-F-400021","good",TRUE,TRUE
"794333532","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b5a","none","none","none","none",TRUE,TRUE
"482974860","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b1a","none","none","none","none",TRUE,TRUE
"641631962","PDL22j_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b8b","none","none","none","none",FALSE,FALSE
"573005505","PDL22d_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b3a","none","none","E0585-F-400001","medium",TRUE,FALSE
"5901196176","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b1a","none","none","none","none",TRUE,TRUE
"487467388","PDL22e_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b7a","none","none","none","none",FALSE,FALSE
"641631806","PDL22j_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b8b","none","none","none","none",FALSE,FALSE
"484355342","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b5a","none","none","none","none",TRUE,TRUE
"701577869","PDL22d_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b3a","none","none","none","none",TRUE,FALSE
"697853509","PDL22e_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b7a","none","none","E0585-F-500010","medium",FALSE,FALSE
"731917767","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b1a","none","none","E0585-F-300063","good",TRUE,TRUE
"730325440","PDL22f_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b1a","none","none","E0585-F-400002","good",TRUE,TRUE
"575750788","PDL22d_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b3a","none","none","E0585-F-400028","good",TRUE,FALSE
"5813047222","PDL22e_pct","PDL22",NA,NA,"FALSE","DL1_dorsal","CP2_dorsal","PV5b7a","none","none","E0585-F-800004","good",FALSE,FALSE
"294787849","PDL05d_pct","PDL05",NA,NA,"FALSE","DL2_medial","CP3_medial","PV5e3a","none","none","none","none",TRUE,FALSE
"579575594","PDL05y_pct","PDL05",NA,NA,"FALSE","DL2_medial","CP3_medial","PV5e3b","none","none","none","none",TRUE,FALSE
"328611004","PDL05ob_pct","PDL05",NA,NA,"FALSE","DL2_medial","CP3_medial","PV5e1","1185009","good","none","none",TRUE,TRUE
"517514142","PPL104","PDL05",NA,NA,"FALSE","DL2_medial","CP3_medial","OTHERh","none","none","none","none",FALSE,FALSE
"299082033","PDL05ob_pct",NA,NA,NA,"FALSE","DL2_medial","CP3_medial",NA,"1531182","poor","none","none",FALSE,FALSE
"642504699","PDL05y_pct",NA,NA,NA,"FALSE","DL2_medial","CP3_medial","PV5e3b","none","none","none","none",TRUE,FALSE
"5813077562","PDL05e_pct","PDL05",NA,NA,"FALSE","primary","primary","PV5l1","7474777","medium","none","none",TRUE,FALSE
"357224041","PDL05li_pct","PDL05",NA,NA,"FALSE","primary","primary","PV5j1a","none","none","none","none",TRUE,FALSE
"546511447","PDL19f_a_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a1a","5806820","good","none","none",TRUE,FALSE
"573333903","PDL19f_a_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a1a","2204528","good","none","none",TRUE,FALSE
"577546843","PDL19f_a_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a1a","5807209","good","120710c0","good",TRUE,FALSE
"573333284","PDL19f_b_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a1b","2831091","good","L166#1","good",TRUE,FALSE
"573683455","PDL19f_b_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a1b","11522498","good","none","none",TRUE,FALSE
"609941228","PDL19f_b_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a1b","2204528","good","L224#1","good",TRUE,FALSE
"604368022","PDL19f_b_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a1b","5807321","good","L166#3","good",TRUE,FALSE
"573670049","PDL19f_c_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a2a","1299626","good","Gad1-F-500244","good",TRUE,FALSE
"579576294","PDL19f_c_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a2a","1298573","good","Gad1-F-400304","good",TRUE,FALSE
"727838223","PDL19f_c_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a2a","5807249","good","131118c3","good",TRUE,FALSE
"696432315","PDL19f_c_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a2a","1299626","good","none","none",TRUE,FALSE
"264779403","PDL19h_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a3a","2042935","good","Gad1-F-000349","good",TRUE,FALSE
"264783939","PDL19h_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a3a","5807189","good","none","none",TRUE,FALSE
"481268762","PDL19h_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a3a","556874","good","L163#1","good",TRUE,FALSE
"265120324","PDL19h_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a3a","11520049","good","Gad1-F-700139","good",TRUE,FALSE
"265120223","PDL19h_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a3a","5807289","medium","none","none",TRUE,FALSE
"5813009281","PDL19oh_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a4a","5807193","good","none","none",TRUE,FALSE
"5812980156","PDL19oh_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a4a","5807197","good","Cha-F-200402","medium",TRUE,FALSE
"451355706","PDL19m_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a5a","2376528","medium","none","none",FALSE,FALSE
"572651463","PDL19m_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5a5a","5806820","good","Gad1-F-100099","good",FALSE,FALSE
"633684017","PDL19e_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5d1","14950216","medium","Gad1-F-800215","good",TRUE,TRUE
"5813010200","PDL19r_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5d2b","5807321","good","none","none",TRUE,FALSE
"602999843","PDL19r_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5d2b","5807213","good","Gad1-F-900098","medium",TRUE,FALSE
"573333575","PDL19e_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5d2a","1532971","good","none","none",TRUE,TRUE
"329220439","PDL19r_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5d2b","5807269","good","none","none",TRUE,FALSE
"5813012375","PDL19r_pct","PDL19",NA,NA,"FALSE",NA,NA,"PV5d2b","5807209","good","L1554#1","good",TRUE,FALSE
"295805243","PDL23d_pct","PDL23",NA,NA,"FALSE",NA,NA,"PV5d3a","none","none","none","none",TRUE,FALSE
"911012735","PDL23d_pct","PDL23",NA,NA,"FALSE",NA,NA,"PV5d3a","none","none","none","none",TRUE,FALSE
"573056433","PDL23d_pct","PDL23",NA,NA,"FALSE",NA,NA,"PV5d3a","none","none","none","none",TRUE,FALSE
