"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt"
"883479122","CL099a","PDM06","PDM06j","PDM06a_pct",FALSE,"LHN","LHPV10e1","DM3","DPMpm2","2051048","good","Cha-F-700201","good",FALSE,FALSE,"LHPV10"
"542751938","CL217a","PVM09","PVM09b","PVM09g_pct",FALSE,"LHN","LHPV9b1","DM6","CM3","3094186","good","VGlut-F-200225","good",TRUE,FALSE,"LHPV9"
"483337285","CL226a","PVM14","PVM14d","PVM14d_pct",FALSE,"LHN","LHPV11a1","primary","primary","none","none","none","none",TRUE,FALSE,"LHPV11"
"543718301","CL226a","PVM14","PVM14d","PVM14d_pct",FALSE,"LHN","LHPV11a1","primary","primary","none","none","none","none",TRUE,FALSE,"LHPV11"
"602476655","CRE042a","PDM08","PDM08z","PDM08of_pct",FALSE,"LHN","DNp44","DM6","CM3","none","none","none","none",FALSE,FALSE,"LHPV9"
"667857582","CRE053a","PVL04","PVL04ad","PVL04on_pct",FALSE,"LHN","LHPV7c1","VLPl&p1_posterior","BLVp2_posterior","none","none","none","none",TRUE,FALSE,"LHPV7"
"604709727","LH097a","PDM09","PDM09j","PDM09j_pct",FALSE,"LHN","LHPV10b1","SIPp1","DPMpl2","none","none","none","none",TRUE,FALSE,"LHPV10"
"359560762","LH104a","PVL04","PVL04f","PVL04d_pct",FALSE,"LHN","LHPV7b1",NA,NA,"none","none","none","none",TRUE,FALSE,"LHPV7"
"392645639","LH105a","PVL04","PVL04g","PVL04e_pct",FALSE,"LHN","LHPV7a1","VLPl&p1_posterior","BLVp2_posterior","none","none","Cha-F-000278","medium",TRUE,FALSE,"LHPV7"
"451308547","LH105a","PVL04","PVL04g","PVL04e_pct",FALSE,"LHN","LHPV7a1","VLPl&p1_posterior","BLVp2_posterior","none","none","none","none",TRUE,FALSE,"LHPV7"
"480258208","LH106a","PVL11","PVL11j","PVL11u_pct",FALSE,"LHN","LHPV8a1","primary","primary","none","none","Cha-F-500094","medium",TRUE,FALSE,"LHPV8"
"480590566","LH108a","PVM10","PVM10a","PVM10m_pct",FALSE,"LHN","LHPV12a1","DM4","CM4","none","none","L2033#1","good",TRUE,FALSE,"LHPV12"
"574688051","LH108a","PVM10","PVM10a","PVM10m_pct",FALSE,"LHN","LHPV12a1","DM4","CM4","none","none","none","none",TRUE,FALSE,"LHPV12"
"511685955","PLP128a","PVL04","PVL04e","PVL04c_pct",FALSE,"LHN","LHPV7a2","VLPl&p1_posterior","BLVp2_posterior","1093554","good","none","none",FALSE,FALSE,"LHPV7"
"635109166","PLP128a","PVL04","PVL04e","PVL04c_pct",FALSE,"LHN","LHPV7a2","VLPl&p1_posterior","BLVp2_posterior","none","none","none","none",FALSE,FALSE,"LHPV7"
"728205616","PLP157a","PVL11","PVL11m","PVL11oz_pct",FALSE,"LHN","LHPV8b1","primary","primary","none","none","none","none",TRUE,FALSE,"LHPV8"
"694126781","PLP157b","PVL11","PVL11m","PVL11z_pct",FALSE,"LHN","LHPV8d1","primary","primary","none","none","none","none",FALSE,FALSE,"LHPV8"
"694818168","PLP160a","PVL11","PVL11l","PVL11y_pct",FALSE,"LHN","LHPV8c1","primary","primary","none","none","none","none",TRUE,FALSE,"LHPV8"
"5813021874","PLP184a","PVM04","PVM04n","PVM04b_pct",FALSE,"LHN","LHPV13a1","DM6","CM3","none","none","none","none",FALSE,FALSE,"LHPV13"
"5813021882","PLP184a","PVM04","PVM04n","PVM04b_pct",FALSE,"LHN","LHPV13a1","DM6","CM3","none","none","none","none",FALSE,FALSE,"LHPV13"
"423748579","SIP049a","PDM09","PDM09o","PDM09t_pct",FALSE,"LHN","LHPV10d1","SIPp1","DPMpl2","none","none","none","none",FALSE,FALSE,"LHPV10"
"544361987","SLP288a","PDM27","PDM27a","PDM27b_pct",FALSE,"LHN","LHPV10c1","DM1","DPMm1","369583","good","none","none",TRUE,FALSE,"LHPV10"
"387952104","SMP225b","PDM09","PDM09v","PDM09oj_pct",FALSE,"LHN","LHPV10a1","SIPp1","DPMpl2","none","none","Gad1-F-100290","medium",TRUE,FALSE,"LHPV10"
"451049385","SMP225b","PDM09","PDM09v","PDM09oj_pct",FALSE,"LHN","LHPV10a1","SIPp1","DPMpl2","none","none","Gad1-F-400411","medium",TRUE,FALSE,"LHPV10"
