"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt"
"885788485","CL038a","AVL01","AVL01ay","AVL01lb_pct",FALSE,"WEDPN","LHWEDLHPN2","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"915451074","CL038a","AVL01","AVL01ay","AVL01lb_pct",FALSE,"WEDPN","LHWEDLHPN2","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"973765182","CL038a","AVL01","AVL01ay","AVL01lb_pct",FALSE,"WEDPN","LHWEDLHPN2","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"1573741727","LAL028a","AVL01","AVL01y","AVL01lk_pct",FALSE,"WEDPN","LHWEDLHPN7a","primary","primary","none","none","none","none",FALSE,FALSE,"LHWEDT"
"5813015982","LAL028b","AVL01","AVL01y","AVL01z_a_pct",FALSE,"WEDPN","LHWEDLHPN5","WEDa2","BAlp3","none","none","none","none",FALSE,TRUE,"LHWEDT"
"5813056323","LAL028b","AVL01","AVL01y","AVL01z_a_pct",FALSE,"WEDPN","LHWEDLHPN7b","primary","primary","none","none","none","none",FALSE,TRUE,"LHWEDT"
"701328333","LH103f","PVL03","PVL03o","PVL03oq_pct",FALSE,"WEDPN","LHWEDLHPN13",NA,NA,"none","none","Gad1-F-800092","good",FALSE,FALSE,"LHWEDT"
"732357920","LH103f","PVL03","PVL03o","PVL03oq_pct",FALSE,"WEDPN","LHWEDLHPN13",NA,NA,"none","none","131122c1","medium",FALSE,FALSE,"LHWEDT"
"912044495","LH103f","PVL03","PVL03o","PVL03oq_pct",FALSE,"WEDPN","LHWEDLHPN13",NA,NA,"none","none","L1955#1","medium",FALSE,FALSE,"LHWEDT"
"1069223047","PLP019a","AVL01","AVL01ao","AVL01ll_pct",FALSE,"WEDPN","LHWEDLHPN1a","WEDa2","BAlp3","5002989","good","L112#1","good",FALSE,FALSE,"LHWEDT"
"2030342003","PLP019a","AVL01","AVL01ao","AVL01ll_pct",FALSE,"WEDPN","LHWEDLHPN1a","WEDa2","BAlp3","2227995","good","L112#1","good",FALSE,FALSE,"LHWEDT"
"2214504597","PLP019a","AVL01","AVL01ao","AVL01ll_pct",FALSE,"WEDPN","LHWEDLHPN1a","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"1440645010","PLP019b","AVL01","AVL01ao","AVL01olm_pct",FALSE,"WEDPN","LHWEDLHPN1b","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"853726809","PLP019c","AVL01","AVL01ao","AVL01oln_pct",FALSE,"WEDPN","LHWEDLHPN3a","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"916828438","PLP019c","AVL01","AVL01ao","AVL01oln_pct",FALSE,"WEDPN","LHWEDLHPN3a","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"1006854683","PLP019d","AVL01","AVL01ao","AVL01q_pct",FALSE,"WEDPN","LHWEDLHPN3b","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
