"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"885788485","CL038a","AVL01","AVL01ay","AVL01lb_pct",FALSE,"WEDPN","WEDPN2","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT","WEDPN2"
"915451074","CL038a","AVL01","AVL01ay","AVL01lb_pct",FALSE,"WEDPN","WEDPN2","WEDa2","BAlp3","3799421","good","none","none",FALSE,FALSE,"LHWEDT","WEDPN2"
"973765182","CL038a","AVL01","AVL01ay","AVL01lb_pct",FALSE,"WEDPN","WEDPN2","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT","WEDPN2"
"1573741727","LAL028a","AVL01","AVL01y","AVL01lk_pct",FALSE,"WEDPN","WEDPN5","primary","primary","4672476","good","none","none",FALSE,FALSE,"LHWEDT","WEDPN5"
"1163367993","LAL028b","AVL01","AVL01y","AVL01z_a_pct",FALSE,"WEDPN","WEDPN7","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT","WEDPN7"
"5813015982","LAL028b","AVL01","AVL01y","AVL01z_a_pct",FALSE,"WEDPN","WEDPN7","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT","WEDPN7"
"5813056323","LAL028b","AVL01","AVL01y","AVL01z_a_pct",FALSE,"WEDPN","WEDPN7","primary","primary","none","none","none","none",FALSE,FALSE,"LHWEDT","WEDPN7"
"701328333","LH103f","PVL03","PVL03o","PVL03oq_pct",FALSE,"WEDPN","WEDPN14",NA,NA,"none","none","Gad1-F-800092","good",FALSE,FALSE,"LHWEDT","WEDPN14"
"732357920","LH103f","PVL03","PVL03o","PVL03oq_pct",FALSE,"WEDPN","WEDPN14",NA,NA,"none","none","131122c1","medium",FALSE,FALSE,"LHWEDT","WEDPN14"
"912044495","LH103f","PVL03","PVL03o","PVL03oq_pct",FALSE,"WEDPN","WEDPN14",NA,NA,"none","none","L1955#1","medium",FALSE,FALSE,"LHWEDT","WEDPN14"
"1069223047","PLP019a","AVL01","AVL01ao","AVL01ll_pct",FALSE,"WEDPN","WEDPN1","WEDa2","BAlp3","4267053","good","L112#1","good",FALSE,TRUE,"LHWEDT","WEDPN1"
"2030342003","PLP019a","AVL01","AVL01ao","AVL01ll_pct",FALSE,"WEDPN","WEDPN1","WEDa2","BAlp3","2227995","good","L112#1","good",FALSE,TRUE,"LHWEDT","WEDPN1"
"2214504597","PLP019a","AVL01","AVL01ao","AVL01ll_pct",FALSE,"WEDPN","WEDPN1","WEDa2","BAlp3","none","none","none","none",FALSE,TRUE,"LHWEDT","WEDPN1"
