"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"425803370","LH035a","ADL13","ADL13b","ADL13h_pct",FALSE,"LHN","LHAV6f2","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6f2"
"516425902","LH035a","ADL13","ADL13b","ADL13h_pct",FALSE,"LHN","LHAV6f2","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6f2"
"702674134","LH035b","ADL13","ADL13b","ADL13j_pct",FALSE,"LHN","LHAV6f3","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6f3"
"483021600","LH035c","ADL13","ADL13b","ADL13k_pct",FALSE,"LHN","LHAV6f3","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6f3"
"5813040093","LH035d","ADL13","ADL13b","ADL13m_pct",FALSE,"LHN","LHAV6f3","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6f3"
"698180486","LH035e","ADL13","ADL13b","ADL13v_pct",FALSE,"LHN","LHAV6f1","LHa1_medial","BLAd1_medial","none","none","Gad1-F-400255","good",TRUE,FALSE,"LHAV6","LHAV6f1"
"572988717","LH036a","ADL13","ADL13c","ADL13b_pct",FALSE,"LHN","LHAV6f1","LHa1_medial","BLAd1_medial","none","none","Gad1-F-800107","good",TRUE,TRUE,"LHAV6","LHAV6f1"
"696795331","LH036a","ADL13","ADL13c","ADL13b_pct",FALSE,"LHN","LHAV6f1","LHa1_medial","BLAd1_medial","none","none","none","none",TRUE,TRUE,"LHAV6","LHAV6f1"
"764408961","LH036a","ADL13","ADL13c","ADL13b_pct",FALSE,"LHN","LHAV6b2","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,TRUE,"LHAV6","LHAV6b2"
"451304268","LH036b","ADL13","ADL13c","ADL13c_pct",FALSE,"LHN","LHAV6a7","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6a7"
"451646040","LH036b","ADL13","ADL13c","ADL13c_pct",FALSE,"LHN","LHAV6a7","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6a7"
"451995819","LH036b","ADL13","ADL13c","ADL13c_pct",FALSE,"LHN","LHAV6a7","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6a7"
"5812980880","LH036b","ADL13","ADL13c","ADL13c_pct",FALSE,"LHN","LHAV6a7","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6a7"
"544007573","LH036c","ADL13","ADL13c","ADL13n_a_pct",FALSE,"LHN","LHAV6a2","LHa1_medial","BLAd1_medial","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6a2"
"5813010591","LH036c","ADL13","ADL13c","ADL13n_a_pct",FALSE,"LHN","LHAV6a2","LHa1_medial","BLAd1_medial","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6a2"
"665747387","LH036d","ADL13","ADL13c","ADL13n_b_pct",FALSE,"LHN","LHAV6a2","LHa1_medial","BLAd1_medial","none","none","L271#1","good",TRUE,FALSE,"LHAV6","LHAV6a2"
"793702856","LH036d","ADL13","ADL13c","ADL13n_b_pct",FALSE,"LHN","LHAV6a2","LHa1_medial","BLAd1_medial","none","none","L271#2","medium",TRUE,FALSE,"LHAV6","LHAV6a2"
"451644891","LH036e","ADL13","ADL13c","ADL13n_c_pct",FALSE,"LHN","LHAV6a8","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6a8"
"482002701","LH036e","ADL13","ADL13c","ADL13n_c_pct",FALSE,"LHN","LHAV6a8","LHa1_medial","BLAd1_medial","none","none","Gad1-F-200144","good",FALSE,FALSE,"LHAV6","LHAV6a8"
"546083486","LH036e","ADL13","ADL13c","ADL13n_c_pct",FALSE,"LHN","LHAV6a8","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6a8"
"452677169","LH036f","ADL13","ADL13c","ADL13p_pct",FALSE,"LHN","LHAV6b1","LHa1_medial","BLAd1_medial","4902612","good","L1129#5","good",TRUE,FALSE,"LHAV6","LHAV6b1"
"544750318","LH036f","ADL13","ADL13c","ADL13p_pct",FALSE,"LHN","LHAV6b1","LHa1_medial","BLAd1_medial","none","none","L1117#2","good",TRUE,FALSE,"LHAV6","LHAV6b1"
"360578625","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a1","LHa1_medial","BLAd1_medial","1415926","good","Gad1-F-500363","good",TRUE,TRUE,"LHAV6","LHAV6a1"
"391609333","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a3","LHa1_medial","BLAd1_medial","3124814","good","none","none",TRUE,TRUE,"LHAV6","LHAV6a3"
"392640591","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a1","LHa1_medial","BLAd1_medial","1415926","good","130820c0","good",TRUE,TRUE,"LHAV6","LHAV6a1"
"421957711","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a3","LHa1_medial","BLAd1_medial","1298816","good","L1129#4","good",TRUE,TRUE,"LHAV6","LHAV6a3"
"422656780","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a4","LHa1_medial","BLAd1_medial","none","none","Cha-F-400151","good",FALSE,TRUE,"LHAV6","LHAV6a4"
"423330124","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a3","LHa1_medial","BLAd1_medial","1298816","good","Gad1-F-800082","good",TRUE,TRUE,"LHAV6","LHAV6a3"
"452664348","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a4","LHa1_medial","BLAd1_medial","none","none","130815c1","good",FALSE,TRUE,"LHAV6","LHAV6a4"
"453665759","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a4","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,TRUE,"LHAV6","LHAV6a4"
"574011220","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a1","LHa1_medial","BLAd1_medial","1415926","good","Cha-F-800078","good",TRUE,TRUE,"LHAV6","LHAV6a1"
"579562628","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a1","LHa1_medial","BLAd1_medial","3124814","good","130808c2","good",TRUE,TRUE,"LHAV6","LHAV6a1"
"603681826","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a3","LHa1_medial","BLAd1_medial","1298816","medium","130808c1","good",TRUE,TRUE,"LHAV6","LHAV6a3"
"668144344","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a1","LHa1_medial","BLAd1_medial","1415926","good","Gad1-F-200156","good",TRUE,TRUE,"LHAV6","LHAV6a1"
"5813009995","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a1","LHa1_medial","BLAd1_medial","1415926","good","Gad1-F-600143","good",TRUE,TRUE,"LHAV6","LHAV6a1"
"5813077898","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a1","LHa1_medial","BLAd1_medial","1415926","medium","Cha-F-000158","good",TRUE,TRUE,"LHAV6","LHAV6a1"
"5813129316","LH036g","ADL13","ADL13c","ADL13q_pct",FALSE,"LHN","LHAV6a1","LHa1_medial","BLAd1_medial","3793945","poor","140328c1","good",TRUE,TRUE,"LHAV6","LHAV6a1"
"420956527","LH036h","ADL13","ADL13c","ADL13r_pct",FALSE,"LHN","LHAV6b3","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6b3"
"486116439","LH036h","ADL13","ADL13c","ADL13r_pct",FALSE,"LHN","LHAV6b3","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6b3"
"573329873","LH036h","ADL13","ADL13c","ADL13r_pct",FALSE,"LHN","LHAV6b3","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6b3"
"5813010494","LH036h","ADL13","ADL13c","ADL13r_pct",FALSE,"LHN","LHAV6b3","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6b3"
"5813040095","LH036h","ADL13","ADL13c","ADL13r_pct",FALSE,"LHN","LHAV6b3","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6b3"
"390948259","LH036i","ADL13","ADL13c","ADL13s_pct",FALSE,"LHN","LHAV6b1","LHa1_medial","BLAd1_medial","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6b1"
"390948580","LH036i","ADL13","ADL13c","ADL13s_pct",FALSE,"LHN","LHAV6b1","LHa1_medial","BLAd1_medial","none","none","L452#4","medium",TRUE,FALSE,"LHAV6","LHAV6b1"
"511262901","LH036i","ADL13","ADL13c","ADL13s_pct",FALSE,"LHN","LHAV6b1","LHa1_medial","BLAd1_medial","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6b1"
"297921527","LH036j","ADL13","ADL13c","ADL13t_pct",FALSE,"LHN","LHAV6a3","LHa1_medial","BLAd1_medial","1299475","good","none","none",TRUE,FALSE,"LHAV6","LHAV6a3"
"329211098","LH036j","ADL13","ADL13c","ADL13t_pct",FALSE,"LHN","LHAV6a3","LHa1_medial","BLAd1_medial","1299475","medium","none","none",TRUE,FALSE,"LHAV6","LHAV6a3"
"360578457","LH036j","ADL13","ADL13c","ADL13t_pct",FALSE,"LHN","LHAV6a3","LHa1_medial","BLAd1_medial","2647705","poor","L1129#2","medium",TRUE,FALSE,"LHAV6","LHAV6a3"
"454697392","LH036j","ADL13","ADL13c","ADL13t_pct",FALSE,"LHN","LHAV6a3","LHa1_medial","BLAd1_medial","1299475","poor","none","none",TRUE,FALSE,"LHAV6","LHAV6a3"
"422311625","LH036k","ADL13","ADL13c","ADL13u_pct",FALSE,"LHN","LHAV6a6","LHa1_medial","BLAd1_medial","none","none","130807c1","medium",FALSE,TRUE,"LHAV6","LHAV6a6"
"451987038","LH036k","ADL13","ADL13c","ADL13u_pct",FALSE,"LHN","LHAV6a6","LHa1_medial","BLAd1_medial","none","none","130822c0","good",FALSE,TRUE,"LHAV6","LHAV6a6"
"514396940","LH036k","ADL13","ADL13c","ADL13u_pct",FALSE,"LHN","LHAV6a2","LHa1_medial","BLAd1_medial","none","none","Cha-F-200185","good",TRUE,TRUE,"LHAV6","LHAV6a2"
"514375643","LH042a","ADL16","ADL16c","ADL16e_pct",FALSE,"LHN","LHAV6b2","LHa1_medial","BLAd1_medial","none","none","L452#6","medium",FALSE,FALSE,"LHAV6","LHAV6b2"
"514713432","LH042a","ADL16","ADL16c","ADL16e_pct",FALSE,"LHN","LHAV6b2","LHa1_medial","BLAd1_medial","none","none","L452#5","good",FALSE,FALSE,"LHAV6","LHAV6b2"
"5813087438","LH042a","ADL16","ADL16c","ADL16e_pct",FALSE,"LHN","LHAV6b2","LHa1_medial","BLAd1_medial","none","none","Gad1-F-100333","good",FALSE,FALSE,"LHAV6","LHAV6b2"
"391631218","LH043a","ADL16","ADL16b","ADL16d_pct",FALSE,"LHN","LHAV6b4","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6b4"
"482732443","SIP003a","ADL09","ADL09i","ADL09h_pct",FALSE,"LHN","LHAV6c1","SIPa1_ventral","BLAd2_ventral","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6c1"
"544435277","SIP003a","ADL09","ADL09i","ADL09h_pct",FALSE,"LHN","LHAV6c1","SIPa1_ventral","BLAd2_ventral","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6c1"
"548199677","SIP003a","ADL09","ADL09i","ADL09h_pct",FALSE,"LHN","LHAV6c1","SIPa1_ventral","BLAd2_ventral","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6c1"
"607212413","SIP003a","ADL09","ADL09i","ADL09h_pct",FALSE,"LHN","LHAV6c1","SIPa1_ventral","BLAd2_ventral","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6c1"
"519249805","SIP005a","ADL09","ADL09h","ADL09g_pct",FALSE,"LHN","LHAV6d1","SIPa1_ventral","BLAd2_ventral","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6d1"
"609587618","SIP005a","ADL09","ADL09h","ADL09g_pct",FALSE,"LHN","LHAV6d1","SIPa1_ventral","BLAd2_ventral","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6d1"
"5813067769","SIP005a","ADL09","ADL09h","ADL09g_pct",FALSE,"LHN","LHAV6d1","SIPa1_ventral","BLAd2_ventral","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6d1"
"5813057216","SIP011b","ADL23","ADL23f","ADL23oe_pct",FALSE,"LHN","LHAV6g1","LHa1_medial","BLAd1_medial","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6g1"
"329581637","SLP061a","ADL13","ADL13f","ADL13f_pct",FALSE,"LHN","LHAV6a5","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6a5"
"360254511","SLP061a","ADL13","ADL13f","ADL13f_pct",FALSE,"LHN","LHAV6a5","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6a5"
"391954490","SLP061a","ADL13","ADL13f","ADL13f_pct",FALSE,"LHN","LHAV6a5","LHa1_medial","BLAd1_medial","none","none","none","none",FALSE,FALSE,"LHAV6","LHAV6a5"
"5813047255","SLP063a","ADL13","ADL13e","ADL13e_pct",FALSE,"LHN","LHAV6a10","LHa1_medial","BLAd1_medial","1703359","good","none","none",FALSE,FALSE,"LHAV6","LHAV6a10"
"672960748","SLP077a","ADL16","ADL16g","ADL16i_pct",FALSE,"LHN","LHAV6i1","LHa1_medial","BLAd1_medial","none","none","none","none",TRUE,FALSE,"LHAV6","LHAV6i1"
