"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"703033179","LH065a","AVM15","AVM15f","AVM15f_pct",FALSE,"GNGPN","mALd","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALd"
"887165687","LH065a","AVM15","AVM15f","AVM15f_pct",FALSE,"GNGPN","mALd","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALd"
"642723975","LH065b","AVM15","AVM15f","AVM15r_pct",FALSE,"GNGPN","mALd","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALd"
"5813017614","PLP052a","AVM15","AVM15a","AVM15h_pct",FALSE,"GNGPN","mALc","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALc"
"5813057615","PLP052a","AVM15","AVM15a","AVM15h_pct",FALSE,"GNGPN","mALc","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALc"
"887519423","PVLP050a","AVM15","AVM15e","AVM15e_pct",FALSE,"GNGPN","mALb","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALb"
"421650982","SLP022a","ADL03","ADL03r","ADL03og_pct",FALSE,"aSP","aSP-g2b","LHl2_medial","DPLal2_medial","none","none","none","none",FALSE,FALSE,"LHAD1","aSP-g2b"
"485430336","SLP022a","ADL03","ADL03r","ADL03og_pct",FALSE,"aSP","aSP-g2b","LHl2_medial","DPLal2_medial","none","none","none","none",FALSE,FALSE,"LHAD1","aSP-g2b"
"329919036","SLP022b","ADL03","ADL03r","ADL03oh_pct",FALSE,"aSP","aSP-g2a","LHl2_medial","DPLal2_medial","none","none","none","none",FALSE,FALSE,"LHAD1","aSP-g2a"
"421992069","SLP022c","ADL03","ADL03r","ADL03or_pct",FALSE,"aSP","aSP-g1b","LHl2_medial","DPLal2_medial","1149437","good","Gad1-F-700032","good",FALSE,TRUE,"LHAD1","aSP-g1b"
"5813115796","SLP022c","ADL03","ADL03r","ADL03or_pct",FALSE,"aSP","aSP-g1b","LHl2_medial","DPLal2_medial","1041505","good","none","none",FALSE,TRUE,"LHAD1","aSP-g1b"
"485430434","SLP022d","ADL03","ADL03r","ADL03t_pct",FALSE,"aSP","aSP-g1a","LHl2_medial","DPLal2_medial","1064853","good","none","none",FALSE,TRUE,"LHAD1","aSP-g1a"
"485775679","SLP022d","ADL03","ADL03r","ADL03t_pct",FALSE,"aSP","aSP-g1a","LHl2_medial","DPLal2_medial","1070581","good","none","none",FALSE,TRUE,"LHAD1","aSP-g1a"
"610916994","SLP022d","ADL03","ADL03r","ADL03t_pct",FALSE,"aSP","aSP-g1a","LHl2_medial","DPLal2_medial","1070581","medium","none","none",FALSE,TRUE,"LHAD1","aSP-g1a"
"641278400","SLP022d","ADL03","ADL03r","ADL03t_pct",FALSE,"aSP","aSP-g1b","LHl2_medial","DPLal2_medial","2477473","good","Gad1-F-200365","good",FALSE,TRUE,"LHAD1","aSP-g1b"
"855414220","SLP022d","ADL03","ADL03r","ADL03t_pct",FALSE,"aSP","aSP-g1b","LHl2_medial","DPLal2_medial","2477473","good","Gad1-F-200365","medium",FALSE,TRUE,"LHAD1","aSP-g1b"
"887148641","SLP022d","ADL03","ADL03r","ADL03t_pct",FALSE,"aSP","aSP-g1a","LHl2_medial","DPLal2_medial","1074687","medium","fru-F-300009","good",FALSE,TRUE,"LHAD1","aSP-g1a"
"949534412","SLP022d","ADL03","ADL03r","ADL03t_pct",FALSE,"aSP","aSP-g1a","LHl2_medial","DPLal2_medial","1074687","medium","none","none",FALSE,TRUE,"LHAD1","aSP-g1a"
"727153132","SLP098a","ADL18","ADL18d","ADL18h_pct",FALSE,"aSP","aSP-f3","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f3"
"767433432","SLP098a","ADL18","ADL18d","ADL18h_pct",FALSE,"aSP","aSP-f3","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f3"
"790629881","SLP098a","ADL18","ADL18d","ADL18h_pct",FALSE,"aSP","aSP-f3","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f3"
"795745097","SLP098a","ADL18","ADL18d","ADL18h_pct",FALSE,"aSP","aSP-f3","SLPad1_anterior","DPLl3_anterior","none","none","fru-F-500184","good",FALSE,TRUE,"LHAD2","aSP-f3"
"453035422","SLP098b","ADL18","ADL18d","ADL18m_pct",FALSE,"aSP","aSP-f4","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f4"
"453708274","SLP098b","ADL18","ADL18d","ADL18m_pct",FALSE,"aSP","aSP-f3","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f3"
"483042692","SLP098b","ADL18","ADL18d","ADL18m_pct",FALSE,"aSP","aSP-f4","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f4"
"765072733","SLP098b","ADL18","ADL18d","ADL18m_pct",FALSE,"aSP","aSP-f4","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f4"
"5813008942","SLP098b","ADL18","ADL18d","ADL18m_pct",FALSE,"aSP","aSP-f4","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f4"
"578189576","SLP100a","ADL18","ADL18b","ADL18b_pct",FALSE,"aSP","aSP-f2","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f2"
"5813055904","SLP100a","ADL18","ADL18b","ADL18b_pct",FALSE,"aSP","aSP-f1","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f1"
"581013183","SLP100b","ADL18","ADL18b","ADL18ob_pct",FALSE,"aSP","aSP-f1","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f1"
"582027317","SLP100b","ADL18","ADL18b","ADL18ob_pct",FALSE,"aSP","aSP-f2","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f2"
"421318649","SLP100c","ADL18","ADL18b","ADL18s_pct",FALSE,"aSP","aSP-f1","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f1"
"761661626","SLP100c","ADL18","ADL18b","ADL18s_pct",FALSE,"aSP","aSP-f1","SLPad1_anterior","DPLl3_anterior","none","none","none","none",FALSE,TRUE,"LHAD2","aSP-f1"
"486073415","SLP150a","AVM15","AVM15c","AVM15k_pct",FALSE,"GNGPN","mALe","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALe"
"607131089","SLP150a","AVM15","AVM15c","AVM15k_pct",FALSE,"GNGPN","mALe","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALe"
"360958913","SLP151a","AVM15","AVM15d","AVM15b_pct",FALSE,"GNGPN","mALm","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALm"
"390616496","SLP151a","AVM15","AVM15d","AVM15b_pct",FALSE,"GNGPN","mALm","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALm"
"452694446","SLP151a","AVM15","AVM15d","AVM15b_pct",FALSE,"GNGPN","mALm","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALm"
"545453209","SLP151a","AVM15","AVM15d","AVM15b_pct",FALSE,"GNGPN","mALn","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALn"
"609867847","SLP151b","AVM15","AVM15d","AVM15c_pct",FALSE,"GNGPN","mALl","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALl"
"667840305","SLP151b","AVM15","AVM15d","AVM15c_pct",FALSE,"GNGPN","mALl","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALl"
"670914976","SLP151b","AVM15","AVM15d","AVM15c_pct",FALSE,"GNGPN","mALl","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALl"
"670915068","SLP151c","AVM15","AVM15d","AVM15d_pct",FALSE,"GNGPN","mALg","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALg"
"671255587","SLP151c","AVM15","AVM15d","AVM15d_pct",FALSE,"GNGPN","mALg","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALg"
"700235813","SLP151c","AVM15","AVM15d","AVM15d_pct",FALSE,"GNGPN","mALg","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALg"
"825061437","SLP151c","AVM15","AVM15d","AVM15d_pct",FALSE,"GNGPN","mALg","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALg"
"578530106","SLP151d","AVM15","AVM15d","AVM15g_pct",FALSE,"GNGPN","mALo","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALo"
"672653737","SLP151d","AVM15","AVM15d","AVM15g_pct",FALSE,"GNGPN","mALo","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALo"
"764399773","SLP151e","AVM15","AVM15d","AVM15i_pct",FALSE,"GNGPN","mALh","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALh"
"889911741","SLP151e","AVM15","AVM15d","AVM15i_pct",FALSE,"GNGPN","mALh","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALh"
"1014733888","SLP151e","AVM15","AVM15d","AVM15i_pct",FALSE,"GNGPN","mALh","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALh"
"578189223","SLP151f","AVM15","AVM15d","AVM15j_pct",FALSE,"GNGPN","mALk","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALk"
"610571450","SLP151f","AVM15","AVM15d","AVM15j_pct",FALSE,"GNGPN","mALk","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALk"
"668876945","SLP151f","AVM15","AVM15d","AVM15j_pct",FALSE,"GNGPN","mALk","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALk"
"703351975","SLP151f","AVM15","AVM15d","AVM15j_pct",FALSE,"GNGPN","mALk","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALk"
"5812980330","SLP151f","AVM15","AVM15d","AVM15j_pct",FALSE,"GNGPN","mALk","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALk"
"5812980516","SLP151f","AVM15","AVM15d","AVM15j_pct",FALSE,"GNGPN","mALk","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALk"
"638882263","SLP151g","AVM15","AVM15d","AVM15m_pct",FALSE,"GNGPN","mALf","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALf"
"671600919","SLP151h","AVM15","AVM15d","AVM15n_pct",FALSE,"GNGPN","mALj","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALj"
"671604934","SLP151h","AVM15","AVM15d","AVM15n_pct",FALSE,"GNGPN","mALj","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALj"
"734724111","SLP151h","AVM15","AVM15d","AVM15n_pct",FALSE,"GNGPN","mALj","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALj"
"735073668","SLP151h","AVM15","AVM15d","AVM15n_pct",FALSE,"GNGPN","mALj","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALj"
"735415046","SLP151h","AVM15","AVM15d","AVM15n_pct",FALSE,"GNGPN","mALj","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALj"
"921969761","SLP151h","AVM15","AVM15d","AVM15n_pct",FALSE,"GNGPN","mALj","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALj"
"953004705","SLP151h","AVM15","AVM15d","AVM15n_pct",FALSE,"GNGPN","mALj","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALj"
"637850749","SLP151i","AVM15","AVM15d","AVM15od_pct",FALSE,"GNGPN","mALg","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALg"
"666818214","SLP151i","AVM15","AVM15d","AVM15od_pct",FALSE,"GNGPN","mALg","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALg"
"732984478","SLP151i","AVM15","AVM15d","AVM15od_pct",FALSE,"GNGPN","mALg","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALg"
"763686208","SLP151j","AVM15","AVM15d","AVM15p_pct",FALSE,"GNGPN","mALf","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,TRUE,"mAL","mALf"
"577473231","SLP151k","AVM15","AVM15d","AVM15q_pct",FALSE,"GNGPN","mALi","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALi"
"580209760","SLP151k","AVM15","AVM15d","AVM15q_pct",FALSE,"GNGPN","mALi","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALi"
"611323175","VES024a","AVM18","AVM18f","AVM18i_pct",FALSE,"GNGPN","mALx","CREa1_ventral","BAmd1_ventral","none","none","none","none",FALSE,FALSE,"mAL","mALx"
