"L3","10G01","10B09","GMR_10B09_AV_01-20141114_44_C2","113","1","No","Yes_TI_wk10","Yes-TI_flycore_18Apr-30May16","Medium"
"L15","49F02","10G01","GMR_10G01_AV_01-20141114_44_B2","4A","1","Yes","Yes_TI_wk16","Yes-TI_wk15-16 (flycore)","Weak"
"L16","67F03","10G01","GMR_10G01_AV_01-20141114_44_F1","113","1","Yes","Yes_TI-wk26","Yes_TI_wk27","Weak"
"L18","84F07","10G01","GMR_10G01_AV_01-20141114_44_G1","137","1","No","","Case4_Wk2","Medium"
"L17","79C09","10G01","GMR_10G01_AV_01-20141114_44_I2","116B","2","Yes","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Medium"
"","","","","","","","","",""
"","","","","","","","","",""
"L19","13C04","11B07","GMR_11B07_AV_01-20141114_44_H1","8A","1","Yes","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Strong"
"L20","14B11","11B07","GMR_11B07_AV_01-20141114_44_J1","8A","1","No","Yes_TI_wk2","Yes-TI_wk2","Strong"
"L24","65H10","11B07","GMR_11B07_AV_01-20141212_42_A2","8A","1","Yes","","Yes_TI_wk27","Don't Care"
"L28 ","31D07","12E09","GMR_12E09_AV_01-20141212_42_A4","134B","1","Yes","","","Don't Care"
"L39","11B07","13C04","GMR_13C04_AV_01-20141212_42_B1","8A","1","Yes","","","Medium"
"L40","43D01","13C04","GMR_13C04_AV_01-20141212_42_B4","8A","1","No","","","Needimage"
"L62","16C09","14B11","GMR_14B11_XD_01-20141212_42_C1","12B","3","Yes","Yes_TI_wk9","Case4_Wk5","Weak"
"","","","","4?","","","","",""
"","","","","29C","","","","",""
"L61","14E05","14B11","GMR_14B11_XD_01-20141219_42_A4","29B","2","Yes","Yes_TI_wk9"," ","Needimage"
"","","","","","","","","",""
"L85","50H07","16H04","GMR_16H04_AV_01-20141212_41_F5","51B","1","Yes","Yes_TI-wk20","Yes-TI_flycore_18Apr-30May16","Medium"
"L86","94D12","16H04","GMR_16H04_AV_01-20141212_41_G1","54A","1","Yes","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Weak"
"","","","","","","","","",""
"L90","89A01","17B08","GMR_17B08_AV_01-20141212_42_D3","12A","1","Yes","Yes_TI_wk1","Yes-TI_wk7","Medium"
"L94","22A12","18C07","GMR_18C07_AV_01-20141212_42_D5","(27A)","1","Yes","","","None"
"L97","14E05","19A04","GMR_19A04_AV_01-20141212_42_E1","29B","2","Yes","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Weak"
"","","","","(7)","","","","",""
"L96","14B11","19A04","GMR_19A04_AV_01-20141219_42_A5","29B","3","Yes","","","Weak"
"","","","","(8A)","","","","",""
"","","","","(7)","","","","",""
"","","","","29C","","","","",""
"L108","28A10","20A03","GMR_20A03_AV_01-20141212_42_E4","12B","2","Yes","","Yes-TI_flycore_18Apr-30May16","Needimage"
"","","","","29B","","","","",""
"L109","30H02","20A03","GMR_20A03_AV_01-20141212_42_E6",,"0","Yes","","",""
"L130","21D02","20G05","GMR_20G05_XD_01-20141212_42_F3",,"","Yes","","",""
"L135","93F07","21D06","GMR_21D06_AV_01-20141212_41_D5","54A","1","Yes","Yes_TI_wk1","Yes-TI_wk7","Medium"
"L141","79C09","22A12","GMR_22A12_AV_01-20141212_42_F5","116A","1","Yes","Yes_TI_wk1","Yes-TI_flycore_18Apr-30May16","Weak"
"L146","20A03","22B12","GMR_22B12_AV_01-20141212_42_G3","(16A)","","Yes","","","Medium"
"","","","","(138)","","","","",""
"L153","20G01","22C12","GMR_22C12_AV_01-20141212_41_E3","(1E)","2","Yes","","","Strong"
"","","","","93","","","","",""
"","","","","70A","","","","",""
"L159","54G12","24C08","GMR_24C08_AV_01-20141212_41_E5","1H","3","Yes","Yes_TI-wk27","Case4_Wk4","None"
"","","","","138","","","","",""
"","","","","(102)","","","","",""
"L168","46A08","25B07","GMR_25B07_AV_01-20141212_41_F1","3B","1","Yes","Yes_TI_wk11","Yes-TI_wk15-16 (flycore)","None"
"L170","55C05","25B07","GMR_25B07_AV_01-20141212_41_F3","3B","1","Yes","Yes_TI_wk11","Yes-TI_wk7","None"
"L166","31D07","25B07","GMR_25B07_AV_01-20141219_42_B5","3A","1","Yes","Yes_TI-wk22","Yes-TI_wk15-16 (flycore)","Weak"
"L180","24C08","30E03","GMR_30E03_XD_01-20141219_42_C5","1C","1","Yes","Yes_TI_wk1","Yes-TI_wk15-16 (flycore)","Weak"
"L185","20A03","30H02","GMR_30H02_AV_01-20141212_41_A1","29C","1","Yes","","Yes-TI_flycore_18Apr-30May16","Weak"
"L188","47B03","30H02","GMR_30H02_AV_01-20141219_42_D1","29C","1","Yes","Yes_TI_wk11","Case4_Wk1","Weak"
"","","","","(1A)","","","","",""
"L194","22A12","31B01","GMR_31B01_AV_01-20141219_42_D3","116A","2","No","Yes_TI_wk2","Yes-TI_wk7","Needimage"
"L200","25B07","31D07","GMR_31D07_AV_01-20141219_42_D4","3A","1","Yes","Yes_TI_wk2","Yes-TI_flycore_18Apr-30May16","Needimage"
"L204","43D01","31D07","GMR_31D07_AV_01-20141219_42_D5","8A","1","Yes","Yes_TI_wk2","","Needimage"
"L219","25B07","33E02","GMR_33E02_AV_01-20141219_42_D6","3A","2","Yes","Yes_TI_wk2","","Don't Care"
"","","","","3C","","","","",""
"","","","","3B","","","","",""
"L224","31D07","33E02","GMR_33E02_AV_01-20141219_42_E1","3A","1","Yes","Yes_TI_wk9","","Don't Care"
"L234","42D01","34E07","GMR_34E07_AV_01-20141212_41_A5","4A","1","Yes","Yes_TI_wk11","Yes_TI_wk25","Weak"
"L237","47B03","34E09","GMR_34E09_AV_01-20141212_41_B2","29B","1","Yes","Yes_TI-wk22","","Needimage"
"L240","54G12","34G01","GMR_34G01_XD_01-20141212_41_B3","1B","1","Yes","Yes_TI_wk11","Yes_TI_wk25","Medium"
"L249","14B11","34H05","GMR_34H05_AV_01-20141219_41_G3","8A","1","No","Yes_TI_wk2","","Medium"
"L258","21D06","37F05","GMR_37F05_AV_01-20141212_41_C3","54A","1","Yes","Yes_TI_wk2","Yes-rd2","Weak"
"L259","93F07","37F05","GMR_37F05_AV_01-20141212_41_C5","54A","1","Yes","Yes_TI_wk1","Yes-TI_wk7","None"
"L260","46E07","38F08","GMR_38F08_AV_01-20141212_41_D2","139","1","Yes","Yes_TI_wk11","Case4_Wk5","Weak"
"L267","46E11","38F08","GMR_38F08_AV_01-20141219_41_C5","1E","1","Yes","","","Strong"
"L263","14B11","38F08","GMR_38F08_AV_01-20141219_41_G5","3B","1","Yes","Yes_TI_wk11","Yes-TI_flycore_18Apr-30May16","None"
"L272","14E05","41H09","GMR_41H09_AV_01-20141219_41_D1","139","1","Yes","Yes_TI_wk2","Yes","Medium"
"L279","70G05","41H09","GMR_41H09_AV_01-20141219_42_F4","51C","1","Yes","Yes_TI_wk2","Yes-TI_wk15-16 (flycore)","None"
"","","","","(7)","","","","",""
"L291","31D07","45F12","GMR_45F12_AV_01-20141219_42_F2","3A","1","Yes","Yes_TI_wk2","Case4_Wk5","Medium"
"L298","38F08","46E07","GMR_46E07_XD_01-20141219_41_D5",,"","Yes","","","Medium"
"L303","14E05","46E11","GMR_46E11_XD_01-20141219_41_A1","(8A)","2","Yes","","","Strong"
"","","","","29B","","","","",""
"","","","","(6)","","","","",""
"L300","47B03","46E11","GMR_46E11_XD_01-20141219_41_E1","101","2","Yes","","","None"
"","","","","29C","","","","",""
"L307","20G01","47B01","GMR_47B01_XD_01-20141219_41_F3","1A","1","Yes","Yes_TI_wk11","Yes_TI_wk25","Strong"
"L309","55C05","47B01","GMR_47B01_XD_01-20141219_42_F1","123","1","Yes","Yes_TI_wk2","Yes-TI_wk2","Needimage"
"L314","14E05","47B03","GMR_47B03_AV_01-20141219_41_A3","(7)","2","No","Yes_TI_wk2","Yes","Weak"
"","","","","29C","","","","",""
"","","","","29B","","","","",""
"L325","54G12","47B03","GMR_47B03_AV_01-20141219_41_B5","27C","1","Yes","Yes_TI_wk2","Yes_TI_wk25","None"
"","","","","","","","","",""
"L320","33E02","47B03","GMR_47B03_AV_01-20141219_41_D3","7A","2","Yes","Yes_TI_wk3","Yes","None"
"","","","","29B","","","","",""
"","","","","29C","","","","",""
"L354","55C05","48G01","GMR_48G01_AV_01-20141121_43_E6","12A","2","Yes","","","Don't Care"
"","","","","123","","","","",""
"L345","16C09","48G01","GMR_48G01_AV_01-20141219_41_C1","12A","4","Yes","","","Weak"
"","","","","","","","","",""
"","","","","1D","","","","",""
"","","","","140","","","","",""
"L376","20A03","53B06","GMR_53B06_AV_01-20141121_43_A1","132","3","Yes","","","Strong"
"","","","","3B","","","","",""
"L378","31D07","53B06","GMR_53B06_AV_01-20141121_43_A5","3A","1","Yes","Yes_TI_wk9","Yes","Strong"
"L371","10A09","53B06","GMR_53B06_AV_01-20141121_43_F5","PN","","Yes","Yes_TI_wk3","Yes","Weak"
"L372","65H10","53B06","GMR_53B06_AV_01-20141121_43_G2","27C","1","Yes","","","Don't Care"
"","","","","(8A)","","","","",""
"","","","","27A","","","","",""
"L374","13E04","53B06","GMR_53B06_AV_01-20141121_43_G3","3E","1","Yes","Yes_TI-wk26","Yes-TI_wk10","Medium"
"L383","46E11","53C02","GMR_53C02_AV_01-20141121_43_B1","7B","3","Yes","","","Strong"
"","","","","54A","","","","",""
"","","","","(3B)","","","","",""
"L404","42D01","53D01","GMR_53D01_AV_01-20141121_43_B3","4A","2","Yes","","","Strong"
"","","","","137","","","","",""
"","","","","3B","","","","",""
"L408","64E06","53D01","GMR_53D01_AV_01-20141121_43_C1","3B","1","Yes","Yes_TI_wk3","Yes-TI_flycore_18Apr-30May16","Medium"
"L409","79C09","53D01","GMR_53D01_AV_01-20141121_43_C3","125","1","Yes","Yes_TI-wk27","Yes-TI_flycore_18Apr-30May16","Weak"
"","","","","4A","","","","",""
"L416","20A03","54G12","GMR_54G12_AV_01-20141121_43_C6","1A","2","Yes","Yes_TI_wk11","Yes-TI_flycore_18Apr-30May16","Don't Care"
"","","","","1B","","","","",""
"L417","20G01","54G12","GMR_54G12_AV_01-20141121_43_D1","1D","1","Yes","Yes_TI_wk3","","Strong"
"L418","24C08","54G12","GMR_54G12_AV_01-20141121_43_G5","1H","1","Yes","Yes_TI_wk9","Yes_TI_wk26","Weak"
"L419","33D07","54G12","GMR_54G12_AV_01-20141121_43_H2","1B","2","Yes","","","Don't Care"
"","","","","3A","","","","",""
"L420","33E02","54G12","GMR_54G12_AV_01-20141121_43_H3","1B","2","Yes","Yes_TI-wk28","Yes-TI_flycore_18Apr-30May16","Strong"
"","","","","","","","","",""
"L452","65H10","59C09","GMR_59C09_AV_01-20141219_41_B1","70A","2","Yes","Yes_TI_wk3","","Medium"
"","","","","27C","","","","",""
"L451","50H07","59C09","GMR_59C09_AV_01-20141219_42_E6","70A","1","Yes","Yes_TI_wk3","Yes_TI_wk23","Medium"
"L163","16C09","25B07","JRC_SS03224-20150123_41_A1 ","3D","2","Yes","Yes_TI_wk1","Yes-TI_wk15-16 (flycore)","None"
"","","","","","","","","",""
"L173","16C09","28A10","JRC_SS03225-20150123_41_A2","12B","1","Yes","Yes_TI_wk1","Case4_Wk5","None"
"L206","70G02","31D07","JRC_SS03227-20150123_41_A4","123","1","Yes","Yes_TI_wk3","Yes_TI_wk25","Strong"
"L463","65H10","59F02","JRC_SS03234-20150123_41_B5","8A","1","Yes","Yes_TI_wk3","","Medium"
"","","","","","","","","",""
"L544","21D06","93F07","SS03238-20150123_41_C3","54A","1","Yes","Yes_TI_wk3","Yes-TI_wk2","Medium"
"L221","71D08","33E02","JRC_SS03228-20150123_41_A5","3C","1","Yes","","","Strong"
"","","","","V2","","","","",""
"L433","25B07","55C05","JRC_SS03232-20150123_41_B3","3F","1","Yes","Yes_TI_wk3","Yes-TI_wk2","None"
"L528","65H10","81E08","JRC_SS03237-20150123_41_C2","141","1","Yes","Yes_TI_wk3","Yes-TI_wk3","Weak"
"MB077B","25D01","19F09","GMR_MB077B-20140522_31_B3"," 70B","1","Yes","Yes_TI_wk3","Yes-TI_wk3","Weak"
