"old.cell.type","cell.type","type","coreLH"
"101","AV5a1","ON","TRUE"
"102","","",""
"104","","",""
"113","PD2e2","ON","FALSE"
"114A","PV4b3","ON","TRUE"
"114B","","",""
"116A","PD3a1","LN","TRUE"
"116B","PD3a2","LN","TRUE"
"11A","PD2a1/PD2b1","ON/ON","TRUE/TRUE"
"120","PD2f1","ON","TRUE"
"123","PV3f1","ON","TRUE"
"125","AV6c1","ON","FALSE"
"12A","PV5c1","ON","TRUE"
"12B","","",""
"12C","PV5c2","ON","TRUE"
"132","","",""
"134B","","",""
"137","LO-PN2","IN","NA"
"138","PV2c1","ON","TRUE"
"139","PLP-PN1","IN","NA"
"140","","",""
"141","PV5k1","ON","FALSE"
"142","MBON-Calyx","ON","NA"
"143","PPL2ab-PN1","IN/ON","NA"
"144","","",""
"145","PV12a1","IN/ON","TRUE"
"147","AV7a1","ON","TRUE"
"150","","",""
"151A","VNC-PN1","IN",""
"151B","GNG-PN1","IN","NA"
"153","","",""
"154","PV6c1","ON","TRUE"
"155","","",""
"16A","AD1d1","ON","TRUE"
"16B","AD1b1/AD1b2","ON/ON","FALSE/TRUE"
"16C","AD1a2","ON","TRUE"
"16D","AD1a1/AD1f1/notLHproper","ON/ON/notLHproper","TRUE/TRUE/FALSE"
"16F","AD1e1","ON","TRUE"
"17A","AV1a3","ON","TRUE"
"17C","AV1a1","ON","TRUE"
"1A","AV4b4","ON","TRUE"
"1B1","AV4a3/AV4a4","LN/LN","TRUE/TRUE"
"1B2","AV4c1/AV4c2","ON/ON","TRUE/TRUE"
"1BX","","",""
"1C","AV6b3","ON","NA"
"1D","AV4a1","LN","TRUE"
"1E","AV4b2","ON","TRUE"
"1G","AV4b8","ON","FALSE"
"1H","AV4b3","ON","TRUE"
"2","","",""
"24","","",""
"27A","AV2a1/AV2a4","ON/ON","TRUE/TRUE"
"27C","AV6b1","ON","TRUE"
"29B","PV6a3","ON","TRUE"
"29C","PV6a1","ON","TRUE"
"29D","PV4d3/PV4d4","ON/ON","TRUE/TRUE"
"29E","PV4b1/PV4b2","ON/ON","TRUE/TRUE"
"29G","PV4c3","ON","TRUE"
"3A","PV5a1/PV5a2","ON/ON","TRUE/TRUE"
"3B","PV5b2","ON","TRUE"
"3C","PV5b1","ON","TRUE"
"3D","PV5a3","ON","TRUE"
"3E","PV5g1/PV5g2","ON/ON","TRUE/TRUE"
"3F","PV5b3","ON","TRUE"
"4","","",""
"4A","PV4a1/PV4a2/PV4a3/PV4a4/PV4a5","LN/LN/LN/LN/LN","TRUE/TRUE/TRUE/TRUE/TRUE"
"4E","PV4d1","ON","TRUE"
"4G","PV4a12/PV4c2","LN/LN","TRUE/TRUE"
"4I","PV4a9","LN","TRUE"
"51B","WED-PN6","IN/ON","NA"
"51C","AVLP-PN1","IN","NA"
"52","","",""
"54A","PV2a1/PV2b1","LN/ON","TRUE/TRUE"
"54B","","",""
"54C","PV2d1","ON","FALSE"
"6","","",""
"7","","",""
"70A","WED-PN3","IN/ON","NA"
"70B","WED-PN5","IN","NA"
"70C","WED-PN1","IN","NA"
"70D","WED-PN2","IN","NA"
"70E","WED-PN4","IN/ON",""
"76B","PV4c1","ON","TRUE"
"7A","AV6a1","ON","TRUE"
"7B","","",""
"84","AV2b1/AV2b2","ON/ON","TRUE/TRUE"
"85","MB-C1","ON","TRUE"
"8A","AD3b1","ON","TRUE"
"8B","","",""
"8C","","",""
"93","","",""
"98","","",""
"NotPaper","","",""
"PN","AL-lALT-PN2/AL-lALT-PN3/AL-mALT-PN10","IN","NA/NA/NA"
"TPN","","",""
"V2","LO-PN2","IN",""
"VisualPN1","LO-PN1","IN","NA"
"NP6099-TypeII","AV6a1","ON","TRUE"
"17B","AV1a2","ON","TRUE"
