"","old","new"
"1","",""
"2"," 70B",""
"3","101","AV4b2"
"4","102",""
"5","104",""
"6","113","PD2e1/PD2e2"
"7","114A","PV4b4"
"8","114B",""
"9","116A","PD3a1/PD3a2/PD3a3"
"10","116B","PD3a2"
"11","11A","b1/PD2a1"
"12","120","PD2f1"
"13","123","PV3f1"
"14","125","AV6c3"
"15","12A","PV5c1"
"16","12B","PV5c1"
"17","12C","PV5c2"
"18","132",""
"19","134B",""
"20","137","LO-PN2"
"21","138","PV2a1"
"22","139","PLP-PN1"
"23","140",""
"24","141","PV5k1"
"25","142","MBON-Calyx"
"26","143","PV1a1"
"27","144",""
"28","145","PV11a1"
"29","147","AV7a1"
"30","150",""
"31","151A","VNC-PN1"
"32","151B","GNG-PN1"
"33","153",""
"34","154",""
"35","155",""
"36","16A","AD1a2"
"37","16B","AD1b1/AD1b2/AD1c1"
"38","16C","AD1a7"
"39","16D","AD1a5"
"40","16F","AD1d1"
"41","17A","AV1a3"
"42","17C","AV1a1/AV1a2"
"43","1A","AV4b3"
"44","1B","AV4a2/AV4a3/AV4a5/AV4c1"
"45","1C","AV6b1"
"46","1D","AV2a4/AV4a2/AV4a3/AV4a4/AV4a5/AV4b2/AV4b3/AV4b7/AV4c3/AV6e1/PV2a2/PV4a2"
"47","1E","AV4b2"
"48","1G","AV4b6"
"49","1H","AV4a1/AV4b6/AV4b7/AV4c1"
"50","2",""
"51","24",""
"52","27A","AV2a1/AV2a2/AV2a3/AV6e1"
"53","27C","AV4b7"
"54","29B","PV4d6"
"55","29C","PV4d2"
"56","29D","PV4d3/PV4d4"
"57","29E","PV4b1/PV4b3/PV4b4"
"58","29G","PV4c3"
"59","3A","PV5a1"
"60","3B","PV5b2"
"61","3C","PV5b1"
"62","3D","PV5a4"
"63","3E","PV5g1/PV5g2"
"64","3F","PV5h1"
"65","4",""
"66","4A","PV4a1/PV4a2/PV4a3/PV4a4/PV4a5/PV4a6/PV4a7/PV4a9/PV4f1"
"67","4E","PV4d1"
"68","4G","PV4c2"
"69","4I","PV4a10/PV4a11"
"70","51B","PV2e1"
"71","51C","LP-PN1"
"72","52",""
"73","54A","PV2a1/PV2b1"
"74","54B",""
"75","54C","PV2c1"
"76","6",""
"77","7",""
"78","70A","WED-PN3"
"79","70B","WED-PN2"
"80","70C","WED-PN1"
"81","70D","WED-PN4"
"82","70E",""
"83","76B","PV4c1"
"84","7A","AV6a2"
"85","7B",""
"86","84","AV2b3"
"87","85","MB-C1"
"88","8A","AD3b1"
"89","8B",""
"90","8C",""
"91","93",""
"92","98",""
"93","PN","AL-lALT-PN2/AL-mALT-PN10"
"94","TPN",""
"95","V2",""
"96","VisualPN1","LO-PN1"
