"","skid","catmaid_name","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","type","primary_neurite","anatomy_group","cell_type","cell","hemibrain_match","Frechter_et_al","closest_light_match","LM_match_quality","status","transmitter","other_names","citation","all_citations","new.cell.type","new.match","is.lhn"
"1","11519370","AD1a1#1 1298753 Synchronize Your Dogmas ASB","SLPal2","SLPal2_ventral","DPLal3","DPLal3_ventral","ON","AD1","AD1a","AD1a1","AD1a1#1","454045389","old","L1740#8","cell.type","complete","acetylcholine","L1","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018","LHAD1a1","454045389",TRUE
"2","1879479","AD2a2#1 LH.R -> SLP.R RJVR 1879478 Aspis-like","SLPal1","SLPal1","DPLal1","DPLal1","ON","AD1","AD1a","AD1a2","AD1a2#1","422669150","old","L1721#3","cell.type","complete","acetylcholine","none","Dolan et al. 2019","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019","LHAD1a8","577835762",FALSE
"3","2115466","AD1a3#1 LH.R -> SIP.R-SLP.R 2026917 FML RJVR Aspis","SLPal1","SLPal1","DPLal1","DPLal1","ON","AD1","AD1a","AD1a3","AD1a3#1","453350926","old","Cha-F-100223","cell.type","rough","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAD1a3","453350926",TRUE
"4","6536624","AD1b1#1 SLP.R-SIP.R-SMP.R aSP-g tract neuron 6536625","LHl2","LHl2_medial","DPLal2","DPLal2_medial","ON","AD1","AD1b","AD1b1","AD1b1#1","5813095395","old","140514c1","cell.type","complete","acetylcholine","ML1","Dolan et al. 2019","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018","LHAD1b1","543412198",NA
"5","4744251","AD1b2#10 3104105 Home World JJ ZM","LHl2","LHl2_medial","DPLal2","DPLal2_medial","ON","AD1","AD1b","AD1b2","AD1b2#1","544107243","old","L2278#3","cell.type","complete","acetylcholine","ML3","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Otto et al. 2020","LHAD1b2","5813052205",TRUE
"6","4970161","neuron 4970162 The Fresno Drop RT & CMM","LHl2","LHl2_medial","DPLal2","DPLal2_medial","ON","AD1","AD1b","AD1b2","AD1b2#10","606461310","old","L1539#3","cell.type","complete","acetylcholine","ML3","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Otto et al. 2020","LHAD1b2","606461310",TRUE
"7","5030649","neuron 5030650 Chop Suey CMM","LHl2","LHl2_medial","DPLal2","DPLal2_medial","ON","AD1","AD1b","AD1b2","AD1b2#11","543321179","old","120714c4","cell.type","complete","acetylcholine","ML3","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Otto et al. 2020","LHAD1b2","483017681",TRUE
"8","5031366","neuron 5031367 Kinetograph CMM","LHl2","LHl2_medial","DPLal2","DPLal2_medial","ON","AD1","AD1b","AD1b2","AD1b2#12","451995734","old","L2278#2","cell.type","complete","acetylcholine","ML3","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Otto et al. 2020","LHAD1b2","573683438",TRUE
"9","4513533","AD1b2#1 4513534 Hamburger CMM","LHl2","LHl2_medial","DPLal2","DPLal2_medial","ON","AD1","AD1b","AD1b2","AD1b2#2","544107243","old","L1539#8","cell.type","complete","acetylcholine","ML3","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Otto et al. 2020","LHAD1b2","544107243",TRUE
"10","3877150","AD1b2#8 3877151 Tech World JJ PS","LHl2","LHl2_medial","DPLal2","DPLal2_medial","ON","AD1","AD1b","AD1b2","AD1b2#3","544107243","old","Gad1-F-200039","cell.type","complete","acetylcholine","ML3","Bates & Schlegel et al. 2020","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018; Otto et al. 2020","LHAD1b2","483017681",TRUE
