old,new
,
,
,
101,AV4b2
102,
104,
113,notLHproper
114A,PV4b2
114B,
116A,PD3a1/PD3a2
116B,PD3a2
11A,PD2a1b1
120,notLHproper
120,
123,PV3f1
125,PD2a5
12A,PV5c1
12B,PV5c1
12C,PV5c2
132,
134B,
137,LO-PN2
138,PV2a1
138,
139,
140,
141,PV5k1
141-sleep,
142,MBON-Calyx
143,PV1a1
144,
145,PV11a1
147,AV7a1
150,
151A,
151B,GNG-PN1
153,
154,
155,
16A,AD1a2
16B,AD1b1/AD1b2/AD1c1
16C,AD1a7
16D,AD1a5
16F,AD1d1
17A,AV1a3
17C,AV1a1/AV1a2
1A,AV4b10
1B,AV4a2/AV4a3/AV4a5/AV4c1
1C,notLHproper
1D,AV2a4/AV4a2/AV4a3/AV4a4/AV4a5/AV4b10/AV4b2/AV4b6/AV4c4/AV6e1/PV2a2/PV4a2
1E,AV4b2
1G,AV4b5
1H,AV4a1/AV4b6/AV4c1
2,NA
24,
27A,AV2a1/AV2a2/AV2a3/AV6e1
27C,AV4b6
29B,PV4d6
29C,PV4d1
29D,
29D,
29E,PV4b1/PV4b2
29G,PV4c2
3A,PV5a1
3B,PV5b2
3C,PV5b1
3D,PV5a4
3E,PV5g1/PV5g2
3F,PV5h1
4,
4?,
4A,PV4a1/PV4a2/PV4a3/PV4a4/PV4a5/PV4a6/PV4a7/PV4a9/PV4f1
4E,PV4d1
4G,PV4c2
4I,PV4a10/PV4a11
51B,PV2e1
51C,
52,PV2a1/PV2a2
54A,PV2a1
54B,
54B,PV2d1
54C,PV2b1
6,
7,
70A,WED-PN3
70A,
70B,WED-PN2
70C,WED-PN1
70D,WED-PN4
70D,
70E,
76B,PV4c1
7A,AV6a2
7B,
84,AV2b3
85,MB-C1
8A,AD3b1
8B,
8C,
93,
98,NA
NotLH,
PN,AL-lALT-PN2/AL-mALT-PN10
PN,
TPN,
V2,
VisualPN1,LO-PN1
